,max_|spearman|,max_|auc-0.5|,max_mi,max_|spearman|_norm,max_|auc-0.5|_norm,max_mi_norm,composite
manhattan_distance,0.59128338362626,0.3629401005944216,0.05320509446777422,1.0,0.8064288536433933,0.4152321223760721,0.740553658673155
candle_aspect_ratio,0.5209012855278167,0.44024030889600163,0.043194935671703405,0.8809672315382862,0.9781847942653947,0.337109162088283,0.7320870626306547
buy_trades,0.5415428433673231,0.3751206625006351,0.05573902093675187,0.9158769861688232,0.833493255065756,0.4350078163426674,0.7281260191924156
parkinson_vol,0.5209318811200316,0.44010059442158206,0.04117977671001949,0.8810189759184974,0.9778743579612801,0.3213821205153752,0.7267584847983842
wave_wavelength,0.5728933284338434,0.34470101102474227,0.05588618695541303,0.9688980686728708,0.76590280521533,0.43615635406977027,0.7236524093193237
fib_size_ratio_count,0.5424680137358487,0.3692336026012295,0.04766627897271025,0.9174416680018416,0.8204125980696506,0.37200516945978873,0.703286478510427
wave_amplitude,0.5206423716724371,0.39619214550627446,0.04412928559697882,0.8805293469933296,0.8803126940226901,0.3444011724943359,0.7017477378367852
range,0.5206423716724371,0.39619214550627446,0.044081462718087217,0.8805293469933296,0.8803126940226901,0.34402794516152246,0.7016233287258474
spectral_entropy,0.5371747357337715,0.36114921505868003,0.04986322010360045,0.9084894834002478,0.8024496246542867,0.3891509059280767,0.7000300046608704
sunflower_score,0.5379918290194805,0.36586140324137584,0.04780502950193988,0.909871381333347,0.8129197945476097,0.3730880296127336,0.69862640183123
trades_per_second,0.5379593580273391,0.3658614032413758,0.047678368136879534,0.9098164652084556,0.8129197945476095,0.37209951774252326,0.6982785924995295
avg_visits_per_level,0.5379913248036651,0.36586140324137584,0.04756099588307716,0.9098705285851904,0.8129197945476097,0.37118350151246204,0.6979912748817539
total_trades,0.5379913248036651,0.36586140324137584,0.047552960251699083,0.9098705285851904,0.8129197945476097,0.3711207884902387,0.6979703705410129
large_trade_count,0.5373542148757513,0.3656645328456028,0.04653031314309608,0.9087930250639407,0.8124823615736297,0.36313967439590744,0.6948050203444925
num_extrema,0.5567050609593128,0.35082939592541784,0.04653153665326215,0.9415198809496674,0.7795196703730879,0.3631492231191658,0.6947295914806403
extrema_density,0.5566897636914895,0.350873850530915,0.0464697128314322,0.9414940096530151,0.7796184455607609,0.36266672727908417,0.6945930608309534
garman_klass_vol,0.5285276491198896,0.42381750749377634,0.031592743178593174,0.8938652154885564,0.9416944177908223,0.24656138538904487,0.6940403395561412
realized_vol,0.5636860816030104,0.35733882030178327,0.041997570542191553,0.953326437394538,0.7939831799966134,0.3277644843095894,0.6916913672335804
market_temperature,0.5636860816030104,0.35733882030178327,0.041997570542191553,0.953326437394538,0.7939831799966134,0.3277644843095894,0.6916913672335804
effective_spread_bps,0.4898404719883028,0.4302951785805009,0.03391008737197421,0.8284360520740127,0.9560873737088671,0.26464679163292043,0.6830567391386001
side_switches,0.5612090789279836,0.353706243966875,0.040241584633763594,0.9491372402284758,0.7859118360896314,0.3140601245501936,0.6830364002894336
centripetal_accel,0.49304529360502825,0.4376619417771681,0.029231970125191964,0.8338561631501447,0.9724558333803691,0.22813704435144436,0.678149680293986
wave_frequency,0.5728920801365056,0.34470101102474215,0.03689067748973329,0.9688959575069351,0.7659028052153298,0.2879084129665669,0.6742357252296106
value_area_width_bps,0.4828665955252482,0.42550678250266727,0.03228591814177939,0.816641578127722,0.9454478749223909,0.2519711777035027,0.6713535435845386
inter_trade_std,0.5611119090648469,0.3304501346339481,0.0412913769361678,0.9489729030158507,0.7342383021956314,0.322253089719072,0.6684880983101847
sell_trades,0.5282035694309256,0.3534966722552456,0.040122766740648075,0.8933171201117229,0.7854461816334593,0.3131328260193265,0.6639653759215028
sell_volume,0.4867275034126414,0.3578087689884672,0.04683036161951737,0.8231712862073145,0.7950273748377265,0.365481363042952,0.6612266746959977
price_path_length,0.5654792452051902,0.33197429253670685,0.036197846541424994,0.9563591010070053,0.7376248800587007,0.28250130547072116,0.6588284288454758
max_visits_level,0.4976858295721299,0.3656073769242493,0.03714542166252244,0.8417044066415175,0.8123553649037647,0.2898965301682804,0.6479854339045208
fib_respect_score,0.4802313289082766,0.3705862927399279,0.038118166105558515,0.8121847192171774,0.8234181859231247,0.29748818550978245,0.6443636968833615
fib_bounce_count,0.5444134299561144,0.3009830818472794,0.04298232341701791,0.9207318267888764,0.6687644635096235,0.33544985786865245,0.6416487160557175
total_notional,0.49559580005172277,0.3493623939440126,0.037610039015471664,0.8381696725727377,0.7762600891798836,0.29352257484478617,0.6359841121991359
pv_work,0.4888723418363356,0.37471422039323277,0.03036963746363419,0.826798715090129,0.8325901676356042,0.23701581861591686,0.6321349004472167
total_volume,0.4888723418363356,0.37471422039323277,0.03036963746363419,0.826798715090129,0.8325901676356042,0.23701581861591686,0.6321349004472167
monotonicity_score,0.4654827756344256,0.3719961387999796,0.03431218493190702,0.7872414286017704,0.8265507704464636,0.2677849088542754,0.6271923693008364
market_inertia,0.4898933724300569,0.37231367169638774,0.02858422550453721,0.8285255192283739,0.8272563075012699,0.22308180713623618,0.6262878779552933
