,tgt_ret_1,tgt_ret_2,tgt_ret_3,tgt_ret_5,tgt_ret_10,tgt_ret_magnitude_1,tgt_ret_magnitude_3,tgt_ret_magnitude_5,tgt_cum_ret_3,tgt_cum_ret_5,tgt_cum_ret_10,tgt_max_drawdown_long_3,tgt_max_drawup_long_3,tgt_max_drawdown_short_3,tgt_max_drawup_short_3,tgt_max_drawdown_long_5,tgt_max_drawup_long_5,tgt_max_drawdown_short_5,tgt_max_drawup_short_5,tgt_max_drawdown_long_10,tgt_max_drawup_long_10,tgt_max_drawdown_short_10,tgt_max_drawup_short_10,tgt_sharpe_5,tgt_sharpe_10,tgt_ret_risk_adj_1,tgt_ret_risk_adj_3,tgt_ret_risk_adj_5,tgt_realized_vol_5,tgt_realized_vol_10,tgt_range_bps_1,tgt_range_bps_3,tgt_range_bps_5,tgt_trend_strength_5,tgt_trend_strength_10,tgt_best_long_entry_pct,tgt_best_short_entry_pct,tgt_slippage_long_bps,tgt_slippage_short_bps,tgt_fwd_spread_bps_1,tgt_fwd_spread_bps_3,tgt_recovery_time_5,tgt_recovery_time_10,tgt_inventory_cost_3,tgt_inventory_cost_5,tgt_inventory_cost_10,tgt_relative_ret_1,tgt_relative_ret_3,tgt_relative_ret_5,tgt_alpha_1,tgt_alpha_3,tgt_alpha_5,tgt_kelly_5,tgt_kelly_10,tgt_optimal_horizon,tgt_pnl_long_bps_1,tgt_pnl_short_bps_1,tgt_pnl_long_bps_3,tgt_pnl_short_bps_3,tgt_pnl_long_bps_5,tgt_pnl_short_bps_5,tgt_pnl_long_bps_10,tgt_pnl_short_bps_10
open,-0.011652451328940444,-0.013676185862611556,-0.013275625107625328,-0.012444855012140302,-0.011086166737993805,0.12618965294623333,0.13050769850962932,0.12916717024995145,-0.045864387633043936,-0.05861799691822747,-0.07494683594303575,-0.15252015381785444,0.08162717076852993,-0.08162717076852993,0.15252015381785444,-0.14983674395742494,0.06916754525282058,-0.06916754525282058,0.14983674395742494,-0.16090987168570275,0.05968347277155242,-0.05968347277155242,0.16090987168570275,-0.05275861272320413,-0.06746709620842052,-0.017025838064262205,-0.020535817728222338,-0.014588189832466895,0.18619308144821692,0.20294365272646803,0.22363194313407173,0.22807136343654186,0.22861465177276238,-0.05559703576633013,-0.07543061846814368,0.032829129892583554,-0.032829129892583554,-0.024192374997600994,0.024192374997600994,0.20641096218991437,0.23914358494125812,0.06576392482698006,0.0573941662985246,0.19163805095153075,0.21448137945486803,0.2507207756001258,-0.04300400817470131,-0.04576593054668904,-0.043121961865144776,-0.04300400817470131,-0.04576593054668904,-0.043121961865144776,-0.051903350045156685,-0.05102100498106887,-0.04204848680211703,-0.011652451328940444,0.011652451328940444,-0.045864387633043936,0.045864387633043936,-0.05861799691822747,0.05861799691822747,-0.07494683594303575,0.07494683594303575
high,-0.011753402225062791,-0.012195411148536959,-0.01267726420748374,-0.012561537705821106,-0.012017143680282184,0.1302499686274454,0.13279590127462199,0.13148861273970047,-0.044610098624945776,-0.05746233933656872,-0.07437865039159346,-0.1551854637316877,0.08677228717146312,-0.08677228717146312,0.1551854637316877,-0.15209755289854696,0.07393962122159213,-0.07393962122159213,0.15209755289854696,-0.1629665022499369,0.064027106101584,-0.064027106101584,0.1629665022499369,-0.05177629701841087,-0.06726693391387042,-0.01750784947609592,-0.01994690570693467,-0.014710268865828543,0.191866987840515,0.20861639729072617,0.23217711965133309,0.23338222590914018,0.2338084577556439,-0.054320352264276124,-0.07524539062709373,0.032263072889581065,-0.032263072889581065,-0.024068827122478282,0.024068827122478282,0.21399632055675535,0.24670696155363592,0.06505560625239293,0.05752673675728051,0.19681741331398978,0.22012358371975735,0.2564196716512063,-0.04414114594784669,-0.04600793825765701,-0.04431720722204915,-0.04414114594784669,-0.04600793825765701,-0.04431720722204915,-0.05072871339699306,-0.051026683667977746,-0.041577357571258966,-0.011753402225062791,0.011753402225062791,-0.044610098624945776,0.044610098624945776,-0.05746233933656872,0.05746233933656872,-0.07437865039159346,0.07437865039159346
low,-0.014735951300264356,-0.013837963973200725,-0.014021604021294602,-0.013881231401062797,-0.012688715331546372,0.11799059603408804,0.1255971524510596,0.12765817535660295,-0.04775263923035118,-0.06073549940805157,-0.07709046856219239,-0.14510595540249954,0.07440792544549615,-0.07440792544549615,0.14510595540249954,-0.1433600487216778,0.06309783437173215,-0.06309783437173215,0.1433600487216778,-0.15503472382626468,0.05494416024591617,-0.05494416024591617,0.15503472382626468,-0.055009090178668035,-0.06982575657293862,-0.018389286688588767,-0.020290077458838193,-0.014966929904873853,0.17828661230887038,0.19516283600451248,0.20925964905132732,0.2185252087977243,0.22161523672572672,-0.05644102429966067,-0.07663815922107449,0.03338712315771467,-0.03338712315771467,-0.02371923526663979,0.02371923526663979,0.1930909703041193,0.22683313740779348,0.06739159866615976,0.05840145847384208,0.18210445516466442,0.20616146676723518,0.2427516139063679,-0.04830873061168538,-0.049433681384334856,-0.048130918774755144,-0.04830873061168538,-0.049433681384334856,-0.048130918774755144,-0.05349626699364605,-0.05295691821457259,-0.0428874953244048,-0.014735951300264356,0.014735951300264356,-0.04775263923035118,0.04775263923035118,-0.06073549940805157,0.06073549940805157,-0.07709046856219239,0.07709046856219239
close,-0.01436854801519434,-0.012264309952427228,-0.013264450191725941,-0.013572729751452841,-0.013422651559175295,0.12333344306855991,0.1280697651698691,0.1299255303681893,-0.04591431565957396,-0.058649176109430774,-0.07568332519172113,-0.14941411739295832,0.08083364413917819,-0.08083364413917819,0.14941411739295832,-0.14717127327872925,0.06922689402135075,-0.06922689402135075,0.14717127327872925,-0.15840602579132523,0.06034595590516242,-0.06034595590516242,0.15840602579132523,-0.053212911186071146,-0.0686997562233495,-0.019011186337208302,-0.019822614408748516,-0.01495187303838206,0.18511892974382152,0.20222479394339155,0.2193083606738275,0.22513815534283818,0.22787394273284453,-0.05468402729460039,-0.0758710061061518,0.03309934737152541,-0.03309934737152541,-0.02365221242671133,0.02365221242671133,0.20197375819865396,0.2358619337420862,0.06594946738205558,0.05813546248893007,0.1886959631684751,0.21304825462472202,0.24978035269996263,-0.04791423858400636,-0.0482380007876668,-0.04718849821217882,-0.04791423858400636,-0.0482380007876668,-0.04718849821217882,-0.05155518784827151,-0.05219619391723542,-0.04238614068375102,-0.01436854801519434,0.01436854801519434,-0.04591431565957396,0.04591431565957396,-0.058649176109430774,0.058649176109430774,-0.07568332519172113,0.07568332519172113
range,0.011619283755530984,0.014099434212406538,0.009395914173715296,0.004328746992779281,0.006056842331922441,0.2677331826398071,0.19352990194736336,0.15484599098590054,-0.0026879319084207763,-0.006854736172228161,-0.008692552961116996,-0.24809412438435655,0.2302424536791443,-0.2302424536791443,0.24809412438435655,-0.22523723593429676,0.2014342885385755,-0.2014342885385755,0.22523723593429676,-0.20797406693403842,0.17351178623221877,-0.17351178623221877,0.20797406693403842,0.005941192608396527,-0.003720543554191335,-0.0038551570648449793,-0.003587370788804458,-0.005164890189415703,0.3329674940250983,0.34392957152515596,0.5206423716724371,0.37209639463801764,0.3348075704723047,-0.003445977263729556,-0.011163462246151716,0.0017139770143245869,-0.0017139770143245869,-0.008140142262637437,0.008140142262637437,0.47440255381633334,0.47764998641457496,0.010264861312524349,0.02263800384622703,0.35235634464888504,0.35734278610924347,0.37715051611538886,0.00925819266309479,0.0090185233443128,0.005821610569012558,0.00925819266309479,0.0090185233443128,0.005821610569012558,0.002844632805978796,-0.00022536322676363577,-0.009537860670197665,0.011619283755530984,-0.011619283755530984,-0.0026879319084207763,0.0026879319084207763,-0.006854736172228161,0.006854736172228161,-0.008692552961116996,0.008692552961116996
return,-0.051754828383988274,0.01478632399576466,0.011896821106482873,-0.008730941879102477,-0.02587339578777306,-0.03811321708539118,-0.035353559785475365,-0.0007715085396838976,0.007245397886116933,0.010533732154210607,0.005273600235867549,0.03387462597595151,0.0005286693728699231,-0.0005286693728699231,-0.03387462597595151,0.031136014459959626,0.01022634517427646,-0.01022634517427646,-0.031136014459959626,0.031145492571826694,0.024352102528462132,-0.024352102528462132,-0.031145492571826694,8.566715026033836e-05,-0.006671694472621724,-0.04953701074755636,0.01880213636470303,0.001256561656961289,-0.008349051230823981,0.006566403572373714,-0.0540432937278748,-0.028226637380252387,-0.002277191399115464,0.02307547120846232,0.011238156349674492,0.011761724386492768,-0.011761724386492768,0.0025746209417605494,-0.0025746209417605494,-0.05487003583894991,-0.03207052177333375,-0.007872051298795186,-0.0019950546984597644,-0.032711080539410735,-0.015346686156770133,0.0038958426999249054,-0.08637620858239783,-0.026978195124535354,-0.049365311715898884,-0.08637620858239783,-0.026978195124535354,-0.049365311715898884,0.01599560360078098,-0.004113631820351784,-0.00121590839809079,-0.051754828383988274,0.051754828383988274,0.007245397886116933,-0.007245397886116933,0.010533732154210607,-0.010533732154210607,0.005273600235867549,-0.005273600235867549
total_volume,0.01853969714892026,0.01654758581766195,0.03290872164789195,0.01651125474143824,0.008351942088063368,0.23788138615537635,0.16230591589804494,0.12007936993840762,0.028472102353745955,0.034024913632721476,0.04061830978660648,-0.21556369786940335,0.2360415531292064,-0.2360415531292064,0.21556369786940335,-0.1840017923839168,0.21306156648792104,-0.21306156648792104,0.1840017923839168,-0.14085179416688723,0.186323700675546,-0.186323700675546,0.14085179416688723,0.03762809917721302,0.03973779731554848,0.0030100537014788,0.020500489428950656,0.006399122235940782,0.3010396761021354,0.278237552708052,0.4888723418363356,0.33414600033703445,0.275255588526749,0.0368843087225475,0.03964643195038761,-0.008034261150393561,0.008034261150393561,0.0016287845421681442,-0.0016287845421681442,0.44127909818311367,0.4417083910795498,-0.018900112339798717,-0.01420136097123994,0.31641763939305423,0.3163319388870484,0.2936782607517751,0.0112014120972914,0.028005667631953057,0.01443060136190404,0.0112014120972914,0.028005667631953057,0.01443060136190404,0.029235432248552,0.0400806901025729,0.023327193239784418,0.01853969714892026,-0.01853969714892026,0.028472102353745955,-0.028472102353745955,0.034024913632721476,-0.034024913632721476,0.04061830978660648,-0.04061830978660648
total_notional,0.015600757940204527,0.011803218409048704,0.02297830514750665,0.01337708079253252,0.003498254539364774,0.24578995378804894,0.18020229755931144,0.14101963213438726,0.013451380470054718,0.015823901334458282,0.017946742158270475,-0.2331705473072712,0.23315746628462905,-0.23315746628462905,0.2331705473072712,-0.204665084432873,0.21005195261172818,-0.21005195261172818,0.204665084432873,-0.17007864855311355,0.1844026566924892,-0.1844026566924892,0.17007864855311355,0.02017902519232271,0.019109527432505956,0.00031082859072276733,0.010849586721656769,0.003941887350531482,0.3192467899414976,0.30408672967751516,0.49559580005172277,0.3616615045372624,0.3077261435734695,0.017585777769987803,0.01613512127778325,0.0011339284123965429,-0.0011339284123965429,-0.004798422814146283,0.004798422814146283,0.4484996455938957,0.4601019595781243,-0.0003375482031159464,0.00033404292134051056,0.3344337471675127,0.3401466557842788,0.33024818537191614,0.0009307057360203752,0.010787818172312306,0.00361608651037265,0.0009307057360203752,0.010787818172312306,0.00361608651037265,0.014339608368869505,0.024494061396194648,0.01161034327835393,0.015600757940204527,-0.015600757940204527,0.013451380470054718,-0.013451380470054718,0.015823901334458282,-0.015823901334458282,0.017946742158270475,-0.017946742158270475
total_trades,0.011225875773222309,0.016039345827877725,0.031833280085163784,0.012088482993283902,0.0063460261291332955,0.2637021752001523,0.18426445072624287,0.1438121120217554,0.016889999596754492,0.015397737289292402,0.01235694524327224,-0.24827634206542265,0.24902410329284747,-0.24902410329284747,0.24827634206542265,-0.2185579685926595,0.2215327972821204,-0.2215327972821204,0.2185579685926595,-0.189457872213141,0.19068362180495962,-0.19068362180495962,0.189457872213141,0.025822354002539537,0.013625942242728431,-0.0045560652395786405,0.017605142438085867,0.0025725113911785886,0.3345364921473178,0.33365357786880223,0.5379913248036651,0.37774791862877316,0.3298456792313214,0.019311855185166864,0.011243015848572168,0.00021689490999073405,-0.00021689490999073405,-0.004555483383357884,0.004555483383357884,0.48769040669041497,0.49245188009811597,-0.006176852429646388,0.006414242841907603,0.35161851625732976,0.35662404659680746,0.36134732002373415,0.0024696671245300708,0.024996500496032525,0.00888280923088783,0.0024696671245300708,0.024996500496032525,0.00888280923088783,0.01890708405887767,0.018031136119890444,0.0012659446933952336,0.011225875773222309,-0.011225875773222309,0.016889999596754492,-0.016889999596754492,0.015397737289292402,-0.015397737289292402,0.01235694524327224,-0.01235694524327224
buy_volume,0.015720359500924153,0.015378154992278245,0.036861939213189095,0.017708606393658143,0.007659979759883187,0.23174926421270386,0.15932020498604596,0.11740766763804222,0.031031891715715614,0.03617685359803819,0.04418317241199371,-0.2131268038199107,0.234957339035509,-0.234957339035509,0.2131268038199107,-0.18210040022307403,0.21380201148654526,-0.21380201148654526,0.18210040022307403,-0.136667174025604,0.18902357575418333,-0.18902357575418333,0.136667174025604,0.03897330308537071,0.042607572272388254,0.00026125052009385745,0.025072857736255793,0.008211517416400986,0.29992717589420737,0.2763616582673508,0.48088894934162635,0.3309338186100826,0.27440253827313305,0.039321769826906265,0.043742232626329876,-0.005598441114137153,0.005598441114137153,0.0005114792464275796,-0.0005114792464275796,0.4328219131802507,0.43699913391904066,-0.020557115864679266,-0.016735285351522803,0.31201030644933647,0.31350121468792713,0.29129218097094184,0.007761140327892977,0.030427015601526077,0.014166204676963527,0.007761140327892977,0.030427015601526077,0.014166204676963527,0.031865542712382774,0.042373262608272275,0.028523488238918034,0.015720359500924153,-0.015720359500924153,0.031031891715715614,-0.031031891715715614,0.03617685359803819,-0.03617685359803819,0.04418317241199371,-0.04418317241199371
