,tgt_ret_1,tgt_ret_3,tgt_ret_5,tgt_cum_ret_5,tgt_cum_ret_10,tgt_sharpe_5,tgt_sharpe_10,tgt_profitable_long_3,tgt_profitable_long_5,tgt_profitable_short_3,tgt_profitable_short_5
open,0.040848304218140896,0.0,0.0,0.0618728222981213,0.09508659994998947,0.04782724346538014,0.07711143951054833,0.004798508886559194,0.013714438786882166,0.0072451980581944575,0.010240885917820908
high,0.028913250955038272,0.006084841699762755,0.005441357703333871,0.05041619037884271,0.10475087429333563,0.05341815066995359,0.11062926615676272,0.0,0.025670195884673674,0.0,0.019522249698430194
low,0.03552455487378925,0.013884301169994728,0.006642405028570941,0.07442656131682135,0.1174463258313505,0.0506797384538169,0.08859847282470312,0.017492882940398413,0.030402359835318027,0.023997011707623805,0.029036321149561672
close,0.03620918221095515,0.016526785281360645,0.0017326676698496968,0.08978699878781171,0.1207907588575825,0.05820759913256701,0.0992335809927356,0.015064606763332655,0.024175894318327895,0.019333804898193474,0.017323538065651345
range,0.04656691818093339,0.01587624229955953,0.0,0.010028011231845824,0.0,0.0,0.0016447126624221653,0.01878490641765085,0.0012808566382442876,0.01175599280753481,0.0
return,0.007259966342028079,0.000909720438500905,0.006800883027155535,0.0,0.0,0.0,0.016463991611162854,0.0,0.0,0.0,0.0
total_volume,0.015308073065336103,0.006032318684319193,0.0,0.014269823011506588,0.010299427976712572,0.0,0.009027494142141101,0.0064275443872623406,0.0022538675912682216,0.010014220536119112,0.006448171702471139
total_notional,0.02319620826643387,0.005721570523836483,0.016761957413720552,0.024349902433813853,0.00042815897962444893,0.013723044186008337,0.004739397073571183,0.0,0.0,0.0,0.0
total_trades,0.04299489331886708,0.012611514224516007,0.010510573470375206,0.013445890969891572,0.01873191915754635,0.006956681146167654,0.003540857010329468,0.0,0.0,0.0,0.0
buy_volume,0.03924904586599709,0.014508780799184606,0.0,0.0,0.0,0.0,0.0,0.010177480996919286,0.0024739233432851115,0.010217436578502603,0.0055157105583307775
sell_volume,0.016462121259761986,0.011669401267517365,0.01650078284725609,0.0023646355390809504,0.0,0.0,0.006625079106791887,0.0,0.0,0.0,0.00027845787784119835
net_volume_delta,0.016336021186321936,5.699012408655335e-07,0.0,0.0012203923803477679,0.0,0.014222525288584364,0.01845532692521168,6.341355401140447e-05,0.0,0.0,0.0
buy_sell_volume_ratio,0.0,0.0,0.0,0.03613507418182138,0.0,0.0017655792623418876,0.0,0.0,0.0026063876370199246,0.0002956867217380754,0.0
