,tgt_ret_sign_1,tgt_ret_sign_3,tgt_ret_sign_5,tgt_ret_sign_10,tgt_vol_regime_5,tgt_vol_regime_10,tgt_vol_expansion_5,tgt_vol_expansion_10,tgt_mean_reversion_5,tgt_mean_reversion_10,tgt_regime_change_5,tgt_regime_change_10,tgt_breakout_up_3,tgt_breakout_down_3,tgt_breakout_any_3,tgt_breakout_up_5,tgt_breakout_down_5,tgt_breakout_any_5,tgt_breakout_up_10,tgt_breakout_down_10,tgt_breakout_any_10,tgt_consolidation_3,tgt_consolidation_5,tgt_fill_prob_long_1,tgt_fill_prob_short_1,tgt_fill_prob_long_3,tgt_fill_prob_short_3,tgt_fill_prob_long_5,tgt_fill_prob_short_5,tgt_tail_event_1,tgt_tail_event_3,tgt_tail_event_5,tgt_crash_3,tgt_crash_5,tgt_crash_10,tgt_liquidation_cascade_3,tgt_liquidation_cascade_5,tgt_mid_reversion_1,tgt_mid_reversion_3,tgt_adverse_selection_1,tgt_adverse_selection_3,tgt_adverse_selection_5,tgt_autocorr_break_5,tgt_profitable_long_1,tgt_profitable_short_1,tgt_profitable_long_3,tgt_profitable_short_3,tgt_profitable_long_5,tgt_profitable_short_5,tgt_profitable_long_10,tgt_profitable_short_10,tgt_optimal_action_1,tgt_optimal_action_3,tgt_optimal_action_5,tgt_best_side_1,tgt_best_side_3,tgt_best_side_5
open,,,,,,,0.4957145106996166,0.4936289212198615,0.35175718849840254,0.23932208542331662,0.4603697499309201,0.46821881701687107,0.4726080662335642,0.5119949995673743,0.563045733144743,0.4539699740423974,0.5158067703499933,0.5907022261827093,0.42983957219251334,0.5304153158302019,0.6371749531932598,0.4871440395167247,0.44564642612031813,0.395481515289822,0.39219534459151073,0.49407204742362065,0.37505702554744524,0.2592255125284738,0.37505702554744524,0.513623273619969,0.49569591244209565,0.4922857921311113,0.4941277896496609,0.470274357065124,0.4711963873637304,0.4627386770935158,0.45741521068859203,0.39359560841720037,0.42596097369966723,0.49090243886232937,0.48647686744169266,0.46591135325971544,0.5332303779069767,0.4571131678649329,0.5402610229276896,0.4767070918038525,0.5253965382163913,0.46312227784564713,0.5349138331475287,0.44735723506971686,0.5570317270169105,,,,,,
high,,,,,,,0.49184001064529526,0.4876152597497827,0.35673208580556826,0.23848609211126315,0.4604336487980105,0.4665413044014128,0.4757376131878124,0.5024871474100139,0.5538456702813138,0.4566047331025991,0.5069896137147024,0.5773674076667249,0.43217723453017565,0.5215592235366711,0.6324318701893072,0.4994427297668038,0.4624779199153925,0.3871291647649475,0.40465540848927434,0.4892840857273142,0.38708941605839414,0.23599088838268792,0.38708941605839414,0.5117391696208617,0.49265542425132114,0.4888813493267852,0.4908576784658807,0.46702102067701473,0.4664107052863319,0.4584701857282502,0.45397841726618704,0.3956541628545288,0.4307903152124258,0.4909543489888738,0.48650922241054473,0.46593292100233596,0.5327486883153715,0.4582062623144376,0.5393605145762008,0.4766967235482991,0.5253401033090774,0.46275379109789133,0.5351597753092319,0.4472700630544244,0.557136670737211,,,,,,
low,,,,,,,0.5047423779601964,0.5047365126294433,0.35696029210406205,0.23780209758321935,0.45924547526941145,0.46994166781112556,0.48492608452767816,0.5112699007844947,0.5885179946566085,0.4665166686079404,0.5164349396791728,0.6286141654599557,0.4438675391105059,0.530684007950758,0.7170584564177241,0.4686395351904611,0.4197466275131918,0.38744865358283886,0.40146052031036056,0.485484116127071,0.3856067518248175,0.2430523917995444,0.3856067518248175,0.5195363129930215,0.5024517599660729,0.5008777314865909,0.5,0.4765782690875766,0.4783805469350946,0.4680449657869013,0.46388900308324765,0.3942131747483989,0.42831038308425246,0.49071390128271997,0.4861367254614523,0.4661983701422807,0.5342500354509359,0.4574224558880552,0.5394837638759208,0.47642963728524235,0.5256027746056197,0.4628674908376268,0.5349548926315231,0.4464190981432361,0.5582728005787252,,,,,,
close,,,,,,,0.4988293544015853,0.4962766585964939,0.355591054313099,0.23058215534275728,0.4590546421663443,0.4678741588227216,0.49065185320165405,0.49660794372981076,0.5706207763633506,0.4713722794435755,0.5020792249436563,0.5977913212290948,0.4474633806091607,0.5164793619162742,0.6635947576451009,0.48357454231296826,0.439771529723263,0.38690095846645367,0.40479233226837064,0.4863961088311294,0.3880588503649635,0.22642369020501138,0.3880588503649635,0.5162713195594888,0.4974014402688066,0.49501469208696613,0.4951228127852604,0.4714622830631766,0.47210551444258775,0.4635565330726621,0.4594121274409044,0.39560841720036594,0.4301050708085884,0.4906354131713848,0.48620641308667234,0.4659283585952432,0.5337492909812819,0.4575536438280641,0.5396065981948335,0.4767564447002869,0.5253496474478143,0.4624479636957561,0.5354007405637841,0.4463107557813726,0.5581471169927527,,,,,,
range,,,,,,,0.3412305590717033,0.2777375526174428,0.42094933820173436,0.3932208542331661,0.5157860424150318,0.44447085503403444,0.3847557333613111,0.39478091110982927,0.22813452773848814,0.3688870677892776,0.3898627038313668,0.16875387871361963,0.3496143753944265,0.40440250458989363,0.09665071770334926,0.8155534451830748,0.8473014480035103,0.41022364217252394,0.5073026015518028,0.4958960328317374,0.48380474452554745,0.17015945330296128,0.48380474452554745,0.4039343009931245,0.37461261173093235,0.3462004055843726,0.38377640133882196,0.3566195085629188,0.3210352510543487,0.34863147605083084,0.338365878725591,0.4586688014638609,0.4889708281668081,0.5061096142537732,0.507076197610876,0.4919307609099597,0.4870147653148043,0.49112737767762477,0.5183342670401494,0.4997926348889311,0.5045778668932915,0.4832828185584533,0.5168812543133195,0.4899092165726454,0.5108469497464758,,,,,,
return,,,,,,,0.5353867636197036,0.5303406652068285,0.5529895025102692,0.39808481532147744,0.49225528460900797,0.5070555890089691,0.7316840284967775,0.3007420432914167,0.5784504164702184,0.7189439540417318,0.32105459946307835,0.5057683433317951,0.7149187896502475,0.32131088879560177,0.6191387559808612,0.4803628191938377,0.46304797050738256,0.37763578274760384,0.6899132816065723,0.4076607387140903,0.6705063868613139,0.08337129840546698,0.6705063868613139,0.5336842602209423,0.5258668322241795,0.5329692500827723,0.5106532178243792,0.5179666647574317,0.5120056497175142,0.5087634408602151,0.5293144912641315,0.5338517840805124,0.5579194674672061,0.5039252361287836,0.49174243121872874,0.5007722910915269,0.5014982451786727,0.5085587676304553,0.4872086316007884,0.5094011046754197,0.4942913601476603,0.4983857956657991,0.49834186043425177,0.49773933907008217,0.5021830782606387,,,,,,
total_volume,,,,,,,0.2910839757145781,0.21852904968896733,0.5560931081697854,0.5806353549171608,0.541858938933407,0.45391792293037814,0.4068549088469407,0.39359028899400095,0.20873801665880873,0.39481763120236946,0.38564314596314464,0.14548955333131774,0.38718703291593315,0.3950115569222677,0.08799667152069898,0.7881186029334177,0.8347978383081498,0.49210406207211316,0.5120949338201735,0.5186198510411917,0.5428832116788321,0.6086560364464693,0.5428832116788321,0.37826070162487874,0.33462088960657665,0.30122227127248646,0.3256506122277676,0.29649120797296524,0.2653895122145301,0.34061909416748126,0.31362795477903394,0.5021043000914913,0.5325327938393265,0.49965448619772024,0.5096106701709586,0.4876723760352517,0.49238691151446395,0.5045288899922697,0.5040132793858284,0.5269230418305197,0.4750516213416901,0.508699274977426,0.49138580320645536,0.5228934467399742,0.47685016193687113,,,,,,
total_notional,,,,,,,0.303584617885275,0.2367175263537652,0.5183934276586033,0.5113239094087247,0.5265655222437137,0.4469085524531916,0.4074190647895827,0.40060603657129673,0.23636020744931635,0.39130877899430927,0.3940356539175395,0.17126808077271932,0.37489354635134686,0.4068175725911277,0.11171208654046184,0.7698935580880024,0.8092693226523853,0.4410771337288909,0.49904153354632586,0.49171606627146985,0.5246350364963503,0.49339407744874714,0.5246350364963503,0.3896425781752946,0.3443759378873883,0.31201974809623667,0.34115128898339764,0.30514920671287016,0.2762592504177608,0.3410459433040078,0.3138170606372045,0.4699908508691674,0.5105397115447367,0.4986470144617459,0.5049333031353624,0.4805060787853047,0.49895065229722063,0.4938088425653387,0.5134864612511671,0.5200269076968123,0.4825151378339618,0.49765048202050244,0.501474823485693,0.5056915023889283,0.4948656388542303,,,,,,
total_trades,,,,,,,0.3138155551007724,0.2505474392914338,0.4796896394340484,0.4605563155494756,0.52520464907433,0.4436604901101146,0.40580022253329023,0.40249742227157365,0.23982398239823985,0.3900909764052048,0.3979683149940342,0.18064064414493258,0.3789171953366326,0.41368850427631415,0.09511129602662782,0.7719874432837395,0.8124908585636974,0.41086261980830674,0.48434504792332267,0.5093479252165983,0.49589416058394165,0.41503416856492026,0.49589416058394165,0.38853958335121586,0.3471641139818621,0.3189320991060589,0.34779468598189023,0.31678904862821466,0.2924338876952866,0.321010101010101,0.3056382322713258,0.44748398902104297,0.5016641649807478,0.507214677027651,0.5082405616822593,0.4902733628424294,0.4958088131026659,0.4990181662084775,0.5107210291524017,0.5138665049771773,0.4901778363520476,0.49034631114888194,0.5097422957477304,0.5075059256215158,0.49396013631898905,,,,,,
buy_volume,,,,,,,0.2953463047603166,0.2220940045236545,0.5584664536741214,0.5636114911080712,0.5430574744404532,0.4550069195744726,0.4239360414659219,0.3779824137632672,0.20962439101052963,0.41086641818363334,0.3716400967784701,0.1403338478430374,0.40174710200285646,0.38132912192679436,0.09045142500520076,0.7881251978474201,0.8345315646763651,0.47202190780465536,0.5284345047923322,0.5061559507523941,0.5558850364963503,0.5685649202733485,0.5558850364963503,0.38095381155526564,0.3364497700137013,0.30442883649707536,0.3318515824190429,0.30340798442064265,0.2695379432906289,0.34494949494949495,0.3199260020554985,0.5002287282708142,0.5346211577367357,0.4995398686383102,0.5096032036396851,0.48786980383308554,0.4944466108905275,0.5070438790447194,0.5010901545803507,0.528305752391127,0.47404741196154465,0.508770648536676,0.4913999044433827,0.523001373997003,0.47681117098940773,,,,,,
