,tgt_ret_1,tgt_ret_3,tgt_ret_5,tgt_cum_ret_5,tgt_cum_ret_10,tgt_sharpe_5,tgt_sharpe_10,tgt_profitable_long_3,tgt_profitable_long_5,tgt_profitable_short_3,tgt_profitable_short_5
open,0.014975804707577645,0.02219785435993593,0.0,0.06967465471918732,0.06677671842046529,0.03266716978707862,0.07735786960171698,0.013558989954447043,0.005603345365633228,0.014926244559847035,0.006924695890218935
high,0.02504985448784325,0.015343798030854394,0.0,0.04335026717348267,0.08120652240804915,0.03993083805699893,0.0643191951928257,0.00955509836503543,0.016380467120831188,0.011798880511178833,0.014968894516865117
low,0.016051773603837027,0.014187261136420659,0.0,0.05153168525785823,0.08294679320766285,0.05527064345434951,0.0657254294291798,0.019624746680981353,0.025983264654037885,0.015927464984110795,0.025764417566518816
close,0.03492499092978285,0.01918172160896603,0.0,0.062235413933333206,0.10183230571210089,0.035608625666490035,0.08470481438521738,0.008387651618330771,0.008419832935979699,0.010052706346747264,0.005703931722543576
range,0.021788480015437095,0.005173865357502194,0.01870409703331788,0.0,0.0027753930725156195,0.0,0.0034732064429396914,0.0,0.0,0.0,0.0
return,0.0,0.0,0.0,0.0,0.0,0.0,0.00022040712416337982,0.0,0.010639218861181465,0.0,0.013513576650626025
total_volume,0.008618277789177675,0.00579407724004799,0.0,0.0,0.00801826696272645,0.001442697583475372,0.007749164051285007,0.014202225383153078,0.008136047181093176,0.013104853222589252,0.005594160565096207
total_notional,0.03785799760591946,0.0069527165317033734,0.00904682254233169,0.017277681013737833,0.0027899201520140693,0.0,0.007117329450795573,0.0,0.0,0.0,0.0
total_trades,0.04587593452464045,0.009319413268054966,0.0,0.0,0.0,0.004626419281025029,0.0,0.0,0.0,0.0,0.0
buy_volume,0.010963551725508225,0.007879526257038805,0.0,0.0006922414725512027,0.0,0.0,0.01286778236706887,0.0,0.0,4.831510785718862e-05,0.0
sell_volume,0.02608897142262734,0.002777758756780102,0.02234673424268241,0.00022046289008237352,0.006370444362258532,0.0,0.004802567996220475,0.009599267198922234,0.0019396272653722235,0.004277098187325468,0.0017845189329079858
net_volume_delta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017220670378761405,0.0,0.004778890825785975,0.0
buy_sell_volume_ratio,0.02232054739300615,0.004579617132493219,0.005242404590135585,0.012141259119343495,0.017797601316323686,0.0,0.0,0.0,0.0,0.0,0.0
buy_trades,0.035281099971240515,0.005656583731942888,0.0041718777225909776,0.015555152251558901,0.0,0.0,0.0,0.006916269332073011,0.0024051897298944525,0.0057388159032174535,0.003826932053287102
sell_trades,0.052812497609637354,0.003807145923982347,0.0,0.004655058893941799,0.006460739584229103,0.006453152357216219,0.017916300523491913,0.0,0.0,0.0,0.0
buy_sell_trade_ratio,0.010037044397765094,0.01667528508736371,0.002124173639214355,0.0,0.0,0.0,0.0,0.005485036967977308,0.009354259600927062,0.008129484675736265,0.00817674643788191
order_flow_imbalance,0.02078181893074227,0.007120713180705174,0.005373011806481642,0.014602488782650802,0.015916750238593735,0.0,0.0,0.0,0.0,0.0,0.0
trade_imbalance,0.013083337183455335,0.014785264799623832,0.0022065973417610962,0.0,0.0,0.0,0.0,0.00525513759190277,0.008956405582854376,0.007845582684184116,0.007881400719039089
avg_trade_size,0.0,0.013392733343782659,0.019266525960317082,0.008534544286677992,0.01473255157646225,0.01592026487319842,0.0041395719083627824,0.0,0.0019404064845209845,0.003688697087000037,0.0017851489080702443
median_trade_size,0.008001199789426039,0.0,0.0,0.010466386801185834,0.004062472269202644,0.007978937378731565,0.016563092503728782,0.0,0.004767108644303963,0.0,0.004928277482477039
max_trade_size,0.0,0.0,0.0,0.006884489346259848,0.0,0.0,0.0006258511320087479,0.0,0.0,0.0,8.39670122783076e-05
std_trade_size,0.0,0.0010079440851411547,0.0,0.0051907452141071175,0.014543709031087815,0.0075597378941720805,0.0,0.0,0.0,0.0,0.0
avg_buy_size,0.010070545230466799,0.0,0.0,0.0028550150013231246,0.02090183691170555,0.0,0.010755823097178485,0.00808536520406955,0.009465788580036438,0.00871901012650289,0.010452603961619289
avg_sell_size,0.027213328977868656,0.0016209532525808257,0.016938804693396037,0.004454798148683103,0.012710005717893047,0.005545080741220509,0.0077563507887292715,0.0018965104094963436,0.005271090368662801,0.005199171745469577,0.009063255925096492
size_imbalance,0.0,0.007309114038108966,0.02568395804174539,0.0,0.0,0.021578396667453426,0.0,0.0010688792144608605,0.0032396475837663807,0.0,0.004209358149535269
large_trade_count,0.054855588109981035,0.002921364070862076,0.0,0.007299007331853069,0.0,0.0018578777402922242,0.0,0.00917900933006388,0.0,0.0037168117854489147,0.0010492120446552455
large_trade_volume_pct,0.0,0.006473183636093616,0.01707150921676792,0.029174337096346648,0.03511631078999056,0.0,0.018853362210481173,0.0,0.0,0.0,0.0
large_buy_pct,0.006925970276225435,0.011038434008723286,0.012838868701019912,0.010223132424717285,0.002249694732473273,0.0,0.0,0.007586934095910269,0.0,0.007635698917365374,0.0019135759576078826
vwap,0.019894213227825475,0.025470817167846604,0.00572862128384255,0.05415980958555622,0.08575444830383905,0.048660160318937606,0.06774335664036268,0.017943698494092608,0.02239389736458275,0.018421926732781646,0.01759987465357815
close_to_vwap,0.0,0.0,0.0,0.0,0.005000643420312478,0.0,0.00922472292648191,0.0,0.0,0.0,0.0
vwap_buy,0.02014893391483863,0.024672173046920598,0.0061809706137472276,0.05284553129046543,0.08676369753910684,0.04995166562888098,0.0673521545359641,0.016796422117681065,0.023490707844714187,0.017454018213288514,0.020680667117560336
vwap_sell,0.020564280590184225,0.026016310424459732,0.0055517267199096665,0.05428229871517054,0.08482786325039626,0.04699404872170643,0.06674159783561517,0.017744171982167156,0.018863312063988058,0.015307395508096011,0.016943822653561202
vwap_spread,0.0,0.0,0.0,0.0,0.0026542634730759573,0.009308711636738742,0.00562281275519716,0.0,0.0,0.00011065732038728626,0.0
vwap_spread_bps,0.008202847762660781,0.0,0.017619318067226608,0.0,0.014549467903525404,0.00565293857456961,0.008221627496969752,0.003954698175574034,0.0,0.008647620643503995,0.00011285118090187396
twap,0.016934434709600765,0.02614458235540784,0.0055951356605401514,0.054318031820265844,0.08233570141903623,0.041469865175561615,0.07866033799261185,0.011694724231562148,0.024410536570608876,0.01574422997066449,0.022533592689336857
twap_vwap_spread_bps,0.02655703551068278,0.0,0.018838047808277025,0.0013083963495041928,0.0,0.0,0.0,0.004070170175122456,0.010191876142926048,0.004083372167626109,0.008214928787223741
time_weighted_position,0.0,0.030045979297727676,0.0,0.0,0.0,0.009426270287383964,0.006584096181648569,0.007582427559586158,0.0031974726189103464,0.008690207418334595,0.002690226603064616
time_at_high_pct,0.004382846741752822,0.0015608748935918015,0.0,0.0038838188495136095,0.0,0.013154388823716445,0.0,0.0057712939747367464,0.0032037410254401877,0.002756744125222088,0.0037117363736509645
time_at_low_pct,0.0,0.0,0.014733079656327419,0.0,0.0,0.009027685493173898,0.02312813404747871,0.0,0.0,0.0,0.0
volume_q1_pct,0.0024941397161288847,0.01373190775522648,0.0,0.012932285798819443,0.0,0.0,0.0,0.021338577631505817,0.0007397987386741356,0.022910411551423593,0.0
volume_q2_pct,0.0,0.0,0.010233118839572342,0.0,0.006828165937475816,0.0,0.005520035967607306,0.005475225112559823,0.00013476491289488024,0.005980892143424565,0.0
volume_q3_pct,0.013618940549645409,0.0,0.005888155885191537,0.00012081147261078229,0.008730695871527416,0.0,0.0,0.0,0.0,0.0,0.0
volume_q4_pct,0.0,0.0,0.002175716730180355,0.0,0.0006538432414737727,0.012380794418092478,0.0017505975542597696,0.0,0.0,0.0,0.0
first_half_volume_pct,0.006300962396980303,0.0,0.013499876764362817,0.002335217740988327,0.007946556377813607,0.018709268144922575,0.0058681691506592415,0.0,0.0,0.0,0.0
buy_time_std,0.008002877569923683,0.0,0.0,0.005531269911225323,0.0,0.0,0.0,0.00479470588306441,0.0,0.0068839844887818025,0.0
sell_time_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time_to_high_pct,0.0,0.0,0.0,0.009353439736365488,0.0,0.0,0.0,8.788358698952337e-05,0.0015518614510923179,0.0,0.001697330404178743
time_to_low_pct,0.0028995760516057345,0.0,0.0,0.0,0.0,0.0,0.007056404979123521,0.0003433307870639446,0.0,0.0,0.0
high_before_low,0.0011206513879038482,0.0,0.007970633976704278,0.0,0.0,0.0,0.0,0.007040265075775043,0.009054202929116517,0.0024976828698184406,0.007971689348415634
trades_per_second,0.04572392653162893,0.009293824804877282,0.0,0.0,0.0,0.0046645812480177185,0.0,0.0,0.0,0.0,0.0
median_inter_trade_ms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01644491197775677,0.0,0.01386342578719102
inter_trade_std,0.05485490327464859,0.027193250189266216,0.0,0.006540377609271175,0.01707138717433665,0.0,2.7977002217127733e-06,0.011345425078516769,0.0,0.010587890594860205,0.0
inter_trade_skew,0.0,0.008984744073923245,0.0,0.024805495039551317,0.0,0.012958872783840114,0.0,0.0,0.0,0.0,0.001364616303014099
max_trades_per_second,0.0,0.0,0.01324557541496496,0.0015327218796876707,0.01634425910260262,0.008618809367968439,0.0,0.009116987364115037,0.01631427031426913,0.006940321693959639,0.015835330885375587
trade_rate_std,0.0011246513586478102,0.0,0.0,0.0,0.006198292380459769,0.0,0.012766562902829293,0.0,0.0047574215434944556,0.0,0.00819899411679259
volume_per_second_std,0.0,0.0,0.0,0.0,0.013603465638191814,0.0,0.0,0.0,0.0,0.0,0.0
