,max_|spearman|,max_|auc-0.5|,max_mi,max_|spearman|_norm,max_|auc-0.5|_norm,max_mi_norm,composite
donchian_width_bps_20,0.3588525394359748,0.38656036446469244,0.09412503929431093,0.7531630742024771,0.7731207289293849,0.6403448414617335,0.7222095481978652
wave_wavelength,0.4572923779788385,0.3926565425421261,0.05816196835912635,0.9597695302623115,0.7853130850842522,0.3956834088703344,0.713588674738966
manhattan_distance,0.4764606122199539,0.416205533596838,0.03854145010494703,1.0,0.832411067193676,0.2622024802559557,0.6982045158165439
candle_aspect_ratio,0.4071984056647037,0.4381734969835656,0.05254780957517813,0.8546318315116552,0.8763469939671312,0.3574895590361,0.6961561281716288
inter_trade_std,0.4572977841992179,0.3772207197836489,0.05485490327464859,0.95978087688833,0.7544414395672978,0.3731850164861143,0.695802444313914
wave_frequency,0.4572853264363061,0.39265654254212606,0.049844428101408766,0.9597547304187325,0.7853130850842521,0.33909810449637207,0.6947219733331189
large_trade_count,0.4294687690924348,0.40389016018306634,0.054855588109981035,0.9013730790703309,0.8077803203661327,0.3731896755096395,0.6941143583153676
sell_trades,0.4268907833408123,0.4087996671520699,0.052812497609637354,0.8959623784048322,0.8175993343041398,0.35929026603960673,0.6909506595828595
parkinson_vol,0.4072015773291016,0.4375910131058872,0.049875896833015965,0.8546384882306296,0.8751820262117744,0.3393121903560231,0.6897109015994757
sunflower_score,0.4289855923289172,0.4048887039733722,0.05045957946216628,0.90035898314902,0.8097774079467444,0.34328305893073424,0.6844731500088329
spectral_entropy,0.43200639769241894,0.40380694820054086,0.04898494588654856,0.9066990777676014,0.8076138964010817,0.33325093559487545,0.6825213032545195
fib_size_ratio_count,0.4195873951907767,0.41179529852298735,0.048719250430862004,0.8806339588823721,0.8235905970459747,0.3314433749741917,0.6785559769675129
avg_visits_per_level,0.4289876568331355,0.4048887039733722,0.045878239409692156,0.9003633161498291,0.8097774079467444,0.312115608785923,0.6740854442941654
total_trades,0.4289876568331355,0.4048887039733722,0.04587593452464045,0.9003633161498291,0.8097774079467444,0.31209992835419,0.6740802174835877
trades_per_second,0.4289849038236398,0.4048887039733722,0.04572392653162893,0.9003575381076886,0.8097774079467444,0.3110657982766288,0.6737335814436873
max_visits_level,0.40917556807323596,0.4264406074474725,0.041778282169249614,0.8587815185116364,0.852881214894945,0.2842230683013237,0.6652952672359683
dominant_freq_power_pct,0.4262234220911547,0.41067193675889324,0.0393044224313881,0.8945617143571826,0.8213438735177865,0.2673930798783043,0.6610995559177577
fib_bounce_count,0.445118357961137,0.3612232161431246,0.0471118590567432,0.9342185829112187,0.7224464322862492,0.32050808312896134,0.6590576994421431
side_switches,0.4548423291751495,0.40759309340545036,0.029850691795219042,0.9546273448626127,0.8151861868109007,0.20307812510297601,0.6576305522588298
price_path_length,0.45106836775085973,0.38641564385271476,0.036306462858195054,0.946706519242409,0.7728312877054295,0.24699757234919334,0.6555117930990106
buy_trades,0.4258058155145131,0.4000624089868941,0.035281099971240515,0.8936852377588423,0.8001248179737882,0.24002189573635674,0.6446106504896624
extrema_density,0.44411186425203864,0.4051383399209486,0.02720581133380584,0.9321061444781469,0.8102766798418972,0.1850846605323722,0.642489161617472
num_extrema,0.4441325569873306,0.4051383399209486,0.027189893592745484,0.932149574584983,0.8102766798418972,0.18497637007690848,0.642467541501263
effective_spread_bps,0.369448491130521,0.42485957977948824,0.04422618493754893,0.775401956961698,0.8497191595589765,0.30087646809623997,0.6419991948723048
garman_klass_vol,0.42026687204638413,0.43663407530684417,0.019649729508794955,0.8820600512773794,0.8732681506136883,0.13367965656547423,0.6296692861521808
centripetal_accel,0.3720022883349,0.43164135635531514,0.03557374616998654,0.7807618904774617,0.8632827127106303,0.2420128057550443,0.6286858029810455
spectral_flatness,0.40220612998195726,0.3610478359908884,0.03934521173376648,0.8441539965034556,0.7220956719817768,0.26767057478891093,0.6113067477580478
boltzmann_entropy,0.3759061469552622,0.40334928229665074,0.03179639004040169,0.7889553455506378,0.8066985645933015,0.21631496243855586,0.603989624194165
flash_event_count,0.38776428758090525,0.41480637813211846,0.02324856611985826,0.8138433222721404,0.8296127562642369,0.15816300846031167,0.600539695665563
realized_vol,0.4203891981223907,0.4073434574578739,0.014581916148750373,0.8823167903925743,0.8146869149157479,0.09920266545954282,0.5987354569226216
market_temperature,0.4203891981223907,0.4073434574578739,0.014581916148750373,0.8823167903925743,0.8146869149157479,0.09920266545954282,0.5987354569226216
wave_energy,0.43043137995576886,0.404431038069482,0.012129141098481622,0.9033934157752875,0.808862076138964,0.08251611889891292,0.5982572036043882
last_swing_low,0.12508200631003827,0.25771393828849365,0.1469911728803015,0.26252328755413523,0.5154278765769873,1.0,0.5926503880437075
last_swing_high,0.11494175216638963,0.27374981000152,0.1452333835917119,0.24124082708714603,0.54749962000304,0.9880415316501964,0.5922606595801274
sell_volume,0.36760640567200115,0.41287705429581856,0.02608897142262734,0.7715357707308214,0.8257541085916371,0.17748665386779533,0.5915921777300845
total_notional,0.35125178562637627,0.38828791345953817,0.03785799760591946,0.7372105408457644,0.7765758269190763,0.25755286432572483,0.5904464106968552
donchian_width_bps_10,0.3566135743427659,0.22639900145620973,0.08185278294011455,0.7484639132733565,0.45279800291241945,0.5568550909296388,0.5860390023718048
breakout_up_bps_5_z,0.13690224356451647,0.4621867881548975,0.07983229766604483,0.2873317123248726,0.924373576309795,0.5431094677437142,0.5849382521261273
wave_amplitude,0.3758655208005828,0.40334928229665074,0.02238324627564925,0.7888700789963048,0.8066985645933015,0.15227612540976507,0.5826149229997905
true_range,0.3758666663585449,0.40334928229665074,0.02231362421861771,0.7888724833040959,0.8066985645933015,0.1518024775323634,0.5824578418099202
range,0.3758655208005828,0.40334928229665074,0.021788480015437095,0.7888700789963048,0.8066985645933015,0.1482298534564384,0.5812661656820148
wave_wavelength_z,0.2996533407073681,0.42277928021635125,0.038546409556700745,0.6289152408867655,0.8455585604327025,0.26223622004900954,0.5789033404561592
max_drawdown,0.3866654650829127,0.35100894528812143,0.032791788610789574,0.8115371033113058,0.7020178905762429,0.22308678792224299,0.5788805939365972
contrarian_ratio,0.31899629750957664,0.4143507972665148,0.0342760023697215,0.6695124199737937,0.8287015945330296,0.23318408648683475,0.5771327003312193
graph_self_loop_ratio,0.3062658224509636,0.41533180778032036,0.03292376997605029,0.6427935795657725,0.8306636155606407,0.22398467425565013,0.5658139564606878
total_volume,0.36852595605327537,0.412003328479301,0.014202225383153078,0.7734657316923158,0.824006656958602,0.0966195799710932,0.5646973228740036
pv_work,0.36852595605327537,0.412003328479301,0.014202225383153078,0.7734657316923158,0.824006656958602,0.0966195799710932,0.5646973228740036
spectral_entropy_z,0.28644005424826574,0.42972748075722905,0.033851988252608045,0.6011830713847826,0.8594549615144581,0.23029946349346123,0.5636458321309006
price_path_length_z,0.2862947072598237,0.4323486582067818,0.031164891876824363,0.6008780157627347,0.8646973164135636,0.21201879858597153,0.5591980435874233
buy_volume,0.3648858926877493,0.40954857499479924,0.01286778236706887,0.7658259325732111,0.8190971499895985,0.08754119118123793,0.5574880912480159
value_area_width_bps,0.3682481300366993,0.4110047846889952,0.011315831443605262,0.7728826278439587,0.8220095693779904,0.07698306790721385,0.5572917550430544
side_switches_z,0.29594720043364897,0.42822966507177035,0.026629533691032492,0.621136758933239,0.8564593301435407,0.18116416903971214,0.5529200860388307
wave_frequency_z,0.29279016716501405,0.4338464738922405,0.025284092443278006,0.6145107479101547,0.867692947784481,0.17201095785437034,0.5514048845163354
flash_event_pct,0.2168584070372786,0.48952164009111615,0.031343218362215985,0.4551444578532502,0.9790432801822323,0.21323197677822145,0.5491399049379013
market_inertia,0.3691449688532981,0.41142084460162265,0.007098680543818681,0.7747649215605792,0.8228416892032453,0.048293243769129655,0.5486332848443181
breakout_vol_confirm_5_z,0.09713512234477617,0.40842824601366745,0.09186515337678536,0.20386810547087697,0.8168564920273349,0.6249705446706885,0.5485650473896334
fib_respect_score,0.3308974472880552,0.4010609527771999,0.021148380355116014,0.6944906647085012,0.8021219055543998,0.14387517250670323,0.5468292475898681
inter_trade_std_z,0.29839977293194525,0.4158310796754734,0.02625855687168066,0.6262842410868406,0.8316621593509468,0.1786403656569476,0.5455289220315783
temporal_clustering,0.30394399479310613,0.41408362804243815,0.024435716041733002,0.6379205059090867,0.8281672560848763,0.1662393432402339,0.5441090350780656
fib_size_ratio_count_z,0.2700942568460855,0.42802163511545666,0.030403376992929942,0.5668763585465043,0.8560432702309133,0.20683811413416064,0.5432525809705261
dist_to_equal_low_bps_z,0.07035455586146659,0.46674259681093394,0.08030755073813411,0.1476608014535901,0.9334851936218679,0.5463426759886494,0.5424962236880359
atr_5,0.3758662832810449,0.22157270646973165,0.057547020292660456,0.7888716792974473,0.4431454129394633,0.39149983747338624,0.5411723099034322
num_extrema_z,0.28954123154935374,0.4282296650717703,0.02335558794400061,0.6076918513794999,0.8564593301435406,0.15889109180059155,0.5410140911078772
spectral_flatness_z,0.22422617776780088,0.4612756264236902,0.03374456087173172,0.4706080041392568,0.9225512528473804,0.22956862109815765,0.5409092926949316
extrema_density_z,0.2895460768644539,0.4282296650717703,0.023299521279152025,0.6077020207722594,0.8564593301435406,0.15850966301306674,0.5408903379762889
sunflower_score_z,0.28395557247185443,0.42423548991054716,0.026176143106657612,0.5959686177391067,0.8484709798210943,0.1780796941322013,0.5408397638974675
escape_velocity,0.3565194193424696,0.39623465779072187,0.011728768149128932,0.7482662998759811,0.7924693155814437,0.07979232983384624,0.540175981763757
dist_to_resistance_20_bps,0.2376271498088334,0.4485193621867881,0.03294553674569478,0.4987340899002474,0.8970387243735762,0.22413275641063926,0.5399685235614876
monotonicity_score,0.35687827891150853,0.3537549407114624,0.023815097872472712,0.7490194777039803,0.7075098814229248,0.16201719739909776,0.539515518842001
manhattan_distance_z,0.2900807034481947,0.43430413979613064,0.019932676253184844,0.6088241000586245,0.8686082795922613,0.13560457993907232,0.537678986529986
total_trades_z,0.2793198297143697,0.4332223840232994,0.023355426647109212,0.586239077377133,0.8664447680465988,0.1588899944769344,0.5371912799668888
avg_visits_per_level_z,0.2793198297143697,0.4332223840232994,0.023355426647109212,0.586239077377133,0.8664447680465988,0.1588899944769344,0.5371912799668888
trades_per_second_z,0.27929923599205214,0.4332223840232994,0.023280219758677667,0.5861958550796558,0.8664447680465988,0.15837835226769242,0.5370063251313156
large_trade_count_z,0.2795617385296528,0.4335552319534013,0.021754963961153173,0.5867467978666736,0.8671104639068026,0.14800183939527287,0.5339530337229164
escape_velocity_z,0.26094149741505673,0.43394077448747154,0.026974421811227778,0.5476664612406521,0.8678815489749431,0.18351048762087033,0.5330194992788219
