,tgt_ret_1,tgt_ret_2,tgt_ret_3,tgt_ret_5,tgt_ret_10,tgt_ret_magnitude_1,tgt_ret_magnitude_3,tgt_ret_magnitude_5,tgt_cum_ret_3,tgt_cum_ret_5,tgt_cum_ret_10,tgt_max_drawdown_long_3,tgt_max_drawup_long_3,tgt_max_drawdown_short_3,tgt_max_drawup_short_3,tgt_max_drawdown_long_5,tgt_max_drawup_long_5,tgt_max_drawdown_short_5,tgt_max_drawup_short_5,tgt_max_drawdown_long_10,tgt_max_drawup_long_10,tgt_max_drawdown_short_10,tgt_max_drawup_short_10,tgt_sharpe_5,tgt_sharpe_10,tgt_ret_risk_adj_1,tgt_ret_risk_adj_3,tgt_ret_risk_adj_5,tgt_realized_vol_5,tgt_realized_vol_10,tgt_range_bps_1,tgt_range_bps_3,tgt_range_bps_5,tgt_trend_strength_5,tgt_trend_strength_10,tgt_best_long_entry_pct,tgt_best_short_entry_pct,tgt_slippage_long_bps,tgt_slippage_short_bps,tgt_fwd_spread_bps_1,tgt_fwd_spread_bps_3,tgt_recovery_time_5,tgt_recovery_time_10,tgt_inventory_cost_3,tgt_inventory_cost_5,tgt_inventory_cost_10,tgt_relative_ret_1,tgt_relative_ret_3,tgt_relative_ret_5,tgt_alpha_1,tgt_alpha_3,tgt_alpha_5,tgt_kelly_5,tgt_kelly_10,tgt_optimal_horizon,tgt_pnl_long_bps_1,tgt_pnl_short_bps_1,tgt_pnl_long_bps_3,tgt_pnl_short_bps_3,tgt_pnl_long_bps_5,tgt_pnl_short_bps_5,tgt_pnl_long_bps_10,tgt_pnl_short_bps_10
open,-0.053370500211484456,-0.05109344671634344,-0.05101244377314773,-0.043533902800276136,-0.04870227306826291,0.010669828776629052,0.010197717320057961,0.009632791047494026,-0.05909865340084895,-0.07777930398161777,-0.12275382114187558,-0.06540587205749912,-0.042678599261322496,0.042678599261322496,0.06540587205749912,-0.07726623336953849,-0.06043030296007405,0.06043030296007405,0.07726623336953849,-0.10386226496333957,-0.10214172632030916,0.10214172632030916,0.10386226496333957,-0.08139940046564878,-0.11514841192527638,-0.049999381630215535,-0.05082221358441258,-0.046873389721037356,-0.013925742933222263,-0.029827855564724608,0.03508070152094286,0.03715988007437626,0.034623397119443976,-0.06471506118344394,-0.10848031121447142,0.047744260588372806,-0.047744018082363025,-0.0434096819552092,0.0434096819552092,0.043805240313518595,0.02992740379311577,0.0639543575424476,0.09665946634606176,0.005860039554612047,0.0020621700808068446,4.452681666938937e-06,-0.08414900646564408,-0.08226679633875882,-0.07496957573098387,-0.08414900646564408,-0.08226679633875882,-0.07496957573098387,-0.05964834622697267,-0.09908567012247207,-0.08236575088071173,-0.053370500211484456,0.053370500211484456,-0.05909865340084895,0.05909865340084895,-0.07777930398161777,0.07777930398161777,-0.12275382114187558,0.12275382114187558
high,-0.05118565696426626,-0.05224871928884737,-0.05171656404856618,-0.046905173165183583,-0.049173500060985774,0.015997308130380437,0.014034482283482523,0.011968890083271,-0.05893015659565647,-0.0791196606943241,-0.12294089215424973,-0.06777951151188989,-0.0367712880087666,0.0367712880087666,0.06777951151188989,-0.07973995141031909,-0.05540046866608146,0.05540046866608146,0.07973995141031909,-0.10580250579623567,-0.09891367535214196,0.09891367535214196,0.10580250579623567,-0.08300956738320654,-0.11569428893191162,-0.048633903193498085,-0.05045037467795544,-0.04956682585197446,-0.005773058465876299,-0.023166665998821116,0.043980901904897014,0.04460610737831874,0.04074963233329406,-0.06730416813513038,-0.10875478480385314,0.04531993907580458,-0.04531971696704462,-0.0410835959244853,0.0410835959244853,0.05069364561175858,0.03870412679612531,0.06509244062948076,0.09650474967671867,0.013562535845620905,0.009934614998295685,0.006275502716310772,-0.0835983598907625,-0.08446811157037329,-0.07974404179426765,-0.0835983598907625,-0.08446811157037329,-0.07974404179426765,-0.06085041911924223,-0.09919802702837711,-0.08349251632556476,-0.05118565696426626,0.05118565696426626,-0.05893015659565647,0.05893015659565647,-0.0791196606943241,0.0791196606943241,-0.12294089215424973,0.12294089215424973
low,-0.05224469284196739,-0.05165402836952082,-0.05202590973553957,-0.047167787154852786,-0.05077258264272184,0.0029690090145899958,0.005798979229922153,0.003515641002312108,-0.058997783348905555,-0.07902083312992868,-0.12345279705671736,-0.05608399386203577,-0.04704908314681856,0.04704908314681856,0.05608399386203577,-0.06871629063269982,-0.06451534586659795,0.06451534586659795,0.06871629063269982,-0.09619268631987699,-0.10511512308144445,0.10511512308144445,0.09619268631987699,-0.08303278380707038,-0.1156457541299197,-0.04945539392867076,-0.050766787187563785,-0.05018092185510316,-0.022339444289651803,-0.039963025517703664,0.018058096451554203,0.026532651529457003,0.023888976406014825,-0.06631348960828931,-0.10795874611037155,0.045623959576911774,-0.045623772028907966,-0.040577458205715754,0.040577458205715754,0.028675926002032767,0.015869468810095398,0.06408596397328771,0.09675795893315713,-0.002389488970789037,-0.007400880582547114,-0.010204573205291277,-0.08631766690819002,-0.0866856938877814,-0.08139084735458683,-0.08631766690819002,-0.0866856938877814,-0.08139084735458683,-0.06068761577218714,-0.0993941603310394,-0.0868846739746041,-0.05224469284196739,0.05224469284196739,-0.058997783348905555,0.058997783348905555,-0.07902083312992868,0.07902083312992868,-0.12345279705671736,0.12345279705671736
close,-0.05175573193441908,-0.05308695856703602,-0.05179668453860423,-0.05105226204134008,-0.05038746345417832,0.009244316897771866,0.010086677997093972,0.007563124436668704,-0.058176702414219385,-0.08006018203580982,-0.12354174192335239,-0.06087312850825947,-0.04092632806524305,0.04092632806524305,0.06087312850825947,-0.07376796084456393,-0.058909619829931814,0.058909619829931814,0.07376796084456393,-0.10039335326968388,-0.10225607723095628,0.10225607723095628,0.10039335326968388,-0.0846369733969213,-0.11634318728651512,-0.04912985479541916,-0.050331497284166485,-0.052683570189194555,-0.013803244182705017,-0.032292237000966006,0.029759223712388427,0.03563118512277315,0.03258842050455381,-0.06847332178939781,-0.108724671541686,0.04499361609066474,-0.044993451772261675,-0.040063920690716744,0.040063920690716744,0.03842091796644238,0.02693250170247448,0.06471010912534074,0.09678820028061533,0.005996597394800422,0.0020045464282531407,-0.0027701238304749898,-0.08577603838696868,-0.08623068330859508,-0.08535156960487836,-0.08577603838696868,-0.08623068330859508,-0.08535156960487836,-0.06179827049553939,-0.10020636809549126,-0.08672498747861061,-0.05175573193441908,0.05175573193441908,-0.058176702414219385,0.058176702414219385,-0.08006018203580982,0.08006018203580982,-0.12354174192335239,0.12354174192335239
range,-0.008744394611344825,-0.02367332076723918,8.498886367449815e-05,-0.022457904747650123,-0.017720988131949743,0.19170438837931295,0.13213577878727614,0.11206410867464422,-0.013899634168012834,-0.0289191323189904,-0.03826937664489355,-0.18058013077022092,0.1328441103690111,-0.1328441103690111,0.18058013077022092,-0.17217428147429625,0.10877159963761134,-0.10877159963761134,0.17217428147429625,-0.1614058660132552,0.061081211891489726,-0.061081211891489726,0.1614058660132552,-0.030796503157337264,-0.0469250058125678,-0.009433393896581713,0.008828822852371446,-0.028162032541275406,0.244054279244166,0.23075018836178426,0.3758655208005828,0.27727473773179145,0.23944804157539823,-0.02156830035751969,-0.05160841733818781,-0.001608965463738754,0.0016093320352682636,-0.0037201490783619388,0.0037201490783619388,0.3272574929546236,0.34533480490029517,0.04008082559555928,0.041354011692698256,0.25116399644399384,0.25892756734997024,0.2444934612204678,-0.008724886046492035,0.004577713052749477,-0.017305391507651122,-0.008724886046492035,0.004577713052749477,-0.017305391507651122,-0.02623623615134808,-0.039598235086220415,-0.018564796119618584,-0.008744394611344825,0.008744394611344825,-0.013899634168012834,0.013899634168012834,-0.0289191323189904,0.0289191323189904,-0.03826937664489355,0.03826937664489355
return,0.021924404805336813,-0.024794255194417122,0.011508119340623197,-0.0685798145183088,-0.011818616112880955,-0.031219740876996558,-0.0014604529008238343,-0.01752294756319385,0.0225473408982563,-0.007926792239941674,0.004823267605840131,0.053186667477826376,0.03445609988255969,-0.03445609988255969,-0.053186667477826376,0.040145958649590155,0.0321080047788496,-0.0321080047788496,-0.040145958649590155,0.04473592160929116,0.00715268404970168,-0.00715268404970168,-0.04473592160929116,-0.01940595855548187,-0.0005583755454338246,0.020422014319056544,0.020491420966329846,-0.06162007391196322,-0.006959820990421086,-0.03146458988859811,-0.05059533148418065,-0.018819074862630104,-0.014368340713088155,-0.030989135974261162,0.0004476301793496491,-0.035434982827569086,0.03543396242280372,0.04485452424977612,-0.04485452424977612,-0.053556633768802125,-0.03320472318113852,-0.005050934410282904,-0.014438338306290535,-0.013305814432426977,-0.009107023078217072,-0.03491428940193445,-0.011654661681202631,-0.022052860396769475,-0.09947655171504448,-0.011654661681202631,-0.022052860396769475,-0.09947655171504448,-0.011551284640489524,-0.0019141799797823306,-0.020623598178056517,0.021924404805336813,-0.021924404805336813,0.0225473408982563,-0.0225473408982563,-0.007926792239941674,0.007926792239941674,0.004823267605840131,-0.004823267605840131
total_volume,0.012015178737235321,0.010423247385821248,0.021512091045001378,-0.005425239654821211,0.012549579831021025,0.18591232354364146,0.07177314337592197,0.0789554511303204,0.03650341189899588,0.022288217166478882,0.03676691161195314,-0.11719771979876738,0.15853009141551844,-0.15853009141551844,0.11719771979876738,-0.09354806471422382,0.12930973829136025,-0.12930973829136025,0.09354806471422382,-0.06204853493405759,0.100206968751409,-0.100206968751409,0.06204853493405759,0.02254705285663705,0.025041195801557132,0.009970469342412167,0.028479809468520023,-0.005278795783491971,0.17965658647925134,0.14097502300688983,0.36852595605327537,0.189881848416176,0.17377173032746124,0.0260386190990208,0.01176012478930004,-0.02545120741795735,0.02545123913873415,0.02036011150094406,-0.02036011150094406,0.3157948167468345,0.29260597493640655,-0.0107070466968375,-0.01764184346137817,0.20161799756713286,0.19019777004570798,0.15140856715052342,-0.0034012174330108704,0.012602878739264424,-0.013753388384883393,-0.0034012174330108704,0.012602878739264424,-0.013753388384883393,0.014666195247842873,0.019901440198145676,0.025565158654774458,0.012015178737235321,-0.012015178737235321,0.03650341189899588,-0.03650341189899588,0.022288217166478882,-0.022288217166478882,0.03676691161195314,-0.03676691161195314
total_notional,-0.0018220639909672495,-0.0031483721291382044,0.0066689287108065536,-0.01897100653528453,-0.0009682896602256607,0.1734344002126262,0.07035393005915347,0.07468711885219959,0.018079121627318343,-0.0015114799548685417,-0.0015274640560501724,-0.12575117526512847,0.1354648169531917,-0.1354648169531917,0.12575117526512847,-0.10722217744611665,0.10341890684391677,-0.10341890684391677,0.10722217744611665,-0.08552939264456795,0.062175617303677176,-0.062175617303677176,0.08552939264456795,-0.002118367002579241,-0.009220292426664283,-0.004106709403267896,0.013198615234199722,-0.021126989340359087,0.16243812244515793,0.12162245376127756,0.35125178562637627,0.18747596533270985,0.17082335948845986,0.0055793429441110196,-0.02055823231075146,-0.012261963204904391,0.012262075382526797,0.009248397747157374,-0.009248397747157374,0.30437387194653726,0.28056433462024843,0.008271395009364633,0.00911459038405702,0.18868998300054743,0.17592634654193315,0.13921452037139706,-0.023529556073669623,-0.009048749461962944,-0.034021274593338154,-0.023529556073669623,-0.009048749461962944,-0.034021274593338154,-0.0029359950224791664,-0.010221134190562252,-0.0017408924708205353,-0.0018220639909672495,0.0018220639909672495,0.018079121627318343,-0.018079121627318343,-0.0015114799548685417,0.0015114799548685417,-0.0015274640560501724,0.0015274640560501724
total_trades,0.004665410733631989,-0.0009922935749710285,0.0044036804293239315,-0.02291372482939655,-0.007475493523988705,0.21069878673977077,0.11154628346508953,0.11028766016246754,0.011195436531297728,-0.009391860900363033,-0.007278687086540112,-0.16766598048261785,0.16641229413817932,-0.16641229413817932,0.16766598048261785,-0.15314082011487345,0.13494357991719746,-0.13494357991719746,0.15314082011487345,-0.1342270194523465,0.08975168196811462,-0.08975168196811462,0.1342270194523465,-0.009815792544536253,-0.015592508432931146,0.0028919483332351,0.010157612855545752,-0.025428315349812804,0.24348200309558812,0.22928385136488835,0.4289876568331355,0.2631513388842752,0.23826991599189895,-0.002881849176663641,-0.027874336905674386,-0.015148566680689606,0.015148993871077711,0.008824329005904245,-0.008824329005904245,0.37098276589489954,0.36357663263220436,0.026619016782040417,0.016973959262566778,0.25351757079345244,0.2559187853346867,0.24078142944033606,0.0004619219287696896,0.006574741892742717,-0.019993291374549454,0.0004619219287696896,0.006574741892742717,-0.019993291374549454,-0.01585184260247317,-0.014398153931300981,-0.003405646635873113,0.004665410733631989,-0.004665410733631989,0.011195436531297728,-0.011195436531297728,-0.009391860900363033,0.009391860900363033,-0.007278687086540112,0.007278687086540112
buy_volume,0.016544385230520226,0.007082095509679967,0.02653139278027278,-0.011772972469781366,0.01630777838420862,0.1833698911615278,0.07010256630470935,0.07677530803831141,0.04039289001227075,0.022136141580968417,0.03982077683687734,-0.11246826671263901,0.1612490554046988,-0.1612490554046988,0.11246826671263901,-0.0905781358288891,0.13208981603024308,-0.13208981603024308,0.0905781358288891,-0.05896466466212697,0.10175533814909027,-0.10175533814909027,0.05896466466212697,0.022255038769347986,0.027683133321592855,0.014823890421804162,0.03443736183643983,-0.011688876337012117,0.1799035253117771,0.13879348220586643,0.3648858926877493,0.18451909252860602,0.17241348062977926,0.02398051145371697,0.01357982502803436,-0.02951061522332819,0.029510557991277855,0.025387760476833852,-0.025387760476833852,0.31185463392944707,0.2880404722507439,-0.011795000626362939,-0.019146919947930847,0.1982467154789104,0.1892504599522441,0.14850977467250798,0.00022207316494922858,0.01677407974437949,-0.020681833171483834,0.00022207316494922858,0.01677407974437949,-0.020681833171483834,0.01385060454376228,0.021100557795597663,0.02462650669414876,0.016544385230520226,-0.016544385230520226,0.04039289001227075,-0.04039289001227075,0.022136141580968417,-0.022136141580968417,0.03982077683687734,-0.03982077683687734
