feature,target,is_binary,full_r,mean_r,std_r,sign_pct,snr,max_wrong_streak,regime_high_r,regime_low_r,regime_consistent,n_windows,tier2_pass
open,tgt_ret_1,False,-0.053370500211484456,-0.07451508521903387,0.02227523232856174,1.0,3.3451990138612007,0,-0.05459787121853254,-0.0540340186176649,True,10,True
high,tgt_ret_1,False,-0.05118565696426626,-0.07155416047052804,0.021505989379541735,1.0,3.3271736169737087,0,-0.05030614346531076,-0.05380877149762415,True,10,True
low,tgt_ret_1,False,-0.05224469284196739,-0.07387383504371872,0.022203513718245353,1.0,3.327123624717748,0,-0.05305913330934004,-0.05315354023681392,True,10,True
close,tgt_ret_1,False,-0.05175573193441908,-0.07306930355019957,0.022318908547054025,1.0,3.2738744099493307,0,-0.05008247817897291,-0.05532862896377164,True,10,True
range,tgt_ret_1,False,-0.008744394611344825,0.0031800305275928335,0.024064000065367942,0.6,0.13214887462410793,3,-0.008128963228390912,-0.015146205705207905,True,10,False
return,tgt_ret_1,False,0.021924404805336813,0.02266538826696487,0.027837673126433257,0.8,0.8141983765677223,2,0.030763405160664475,0.015062046661015972,True,10,True
total_volume,tgt_ret_1,False,0.012015178737235321,0.01903622224506535,0.025140109538282177,0.7,0.7572052228363557,1,0.015333011439224963,-0.013326442979425873,False,10,False
buy_volume,tgt_ret_1,False,0.016544385230520226,0.0229789045983246,0.022470242419267143,0.7,1.02263714692376,1,0.02201106546464885,-0.006730890507549552,False,10,False
sell_volume,tgt_ret_1,False,0.007482780182965293,0.014567116808798852,0.02746023761698595,0.7,0.5304803626239614,1,0.00946392157321868,-0.01975703706454137,False,10,False
net_volume_delta,tgt_ret_1,False,0.03576536118903048,0.035157913121255255,0.03152208001464552,0.9,1.1153424236256135,1,0.05089435575238457,0.022592006079591814,True,10,True
buy_sell_volume_ratio,tgt_ret_1,False,0.03380574452535656,0.03504235490728037,0.030169073019338855,0.9,1.1615323707432994,1,0.054975944763264714,0.017361265108356408,True,10,True
buy_trades,tgt_ret_1,False,0.007159610380139531,0.018298413419156494,0.022394459099227163,0.7,0.8170955743149865,1,0.007674598659443249,-0.012565669305385987,False,10,False
buy_sell_trade_ratio,tgt_ret_1,False,0.026014847737961554,0.02214492454750546,0.01746791820029125,0.8,1.2677483540732535,1,0.0483304436608506,0.011088186928519587,True,10,True
order_flow_imbalance,tgt_ret_1,False,0.03380574452535656,0.03504235490728037,0.030169073019338855,0.9,1.1615323707432994,1,0.054975944763264714,0.017361265108356408,True,10,True
trade_imbalance,tgt_ret_1,False,0.026014847737961554,0.02214492454750546,0.01746791820029125,0.8,1.2677483540732535,1,0.0483304436608506,0.011088186928519587,True,10,True
avg_trade_size,tgt_ret_1,False,0.030416068676359237,0.03182034257267027,0.023563637442334504,0.9,1.3504002788424228,1,0.024843378264752344,0.03719078251478634,True,10,True
median_trade_size,tgt_ret_1,False,0.02351051904584461,0.03608380733018106,0.03233890294686327,0.8,1.115801837479494,2,-0.018024099679831554,0.08557105076633181,False,10,False
max_trade_size,tgt_ret_1,False,-0.01380505323959129,-0.007301498826287539,0.03077922203482095,0.7,0.2372216821473673,3,0.002324219808980751,-0.04732112797611598,False,10,False
std_trade_size,tgt_ret_1,False,0.00835941848620505,0.0031449850287039818,0.036954942280382305,0.5,0.08510323206142609,2,0.014224489680014059,-0.006138338443527565,False,10,False
avg_buy_size,tgt_ret_1,False,0.033492371275236396,0.037592817055322,0.021805147044794047,1.0,1.7240340997515646,0,0.02832742034551977,0.039178233285343575,True,10,True
avg_sell_size,tgt_ret_1,False,0.027115634557906616,0.02412383693579164,0.035075876808206334,0.6,0.687761479711539,3,0.01999274797747742,0.03515647402585978,True,10,False
size_imbalance,tgt_ret_1,False,0.018494692566177362,0.03039740282002209,0.053149541129303715,0.7,0.5719222061780443,3,0.021984268906470945,0.015004255698843387,True,10,True
large_trade_volume_pct,tgt_ret_1,False,-0.010515523104043504,-0.02694016654644916,0.047648662013684666,0.7,0.5653918789726344,2,0.04024227968473378,-0.08707170757027152,False,10,False
large_buy_pct,tgt_ret_1,False,0.04047273956375363,0.04310123075192646,0.03766599801140307,0.9,1.1443007759645163,1,0.05460969504145622,0.03183534152401994,True,10,True
vwap,tgt_ret_1,False,-0.052214580056112604,-0.07301922668031288,0.02170344891673427,1.0,3.3644065954887012,0,-0.05230046797569032,-0.05380820287374159,True,10,True
vwap_buy,tgt_ret_1,False,-0.05209393442846399,-0.07279665694540952,0.021841560029562793,1.0,3.3329421912573296,0,-0.052186890818244104,-0.053639545909094394,True,10,True
vwap_sell,tgt_ret_1,False,-0.05224930122639151,-0.07302648550827304,0.02162497353989012,1.0,3.376951438741233,0,-0.05240932219443198,-0.05379376210272934,True,10,True
vwap_spread,tgt_ret_1,False,0.005278377654097754,0.016657426716000904,0.030222302867832944,0.8,0.5511633838376429,2,0.003079641587331835,0.006649095732380956,True,10,True
vwap_spread_bps,tgt_ret_1,False,0.012857931562413613,0.024600118992976563,0.028077565018645934,0.8,0.8761485896885984,2,0.013604152984252053,0.011911183964231792,True,10,True
twap,tgt_ret_1,False,-0.053210548409150876,-0.07461203431480175,0.022227051513134748,1.0,3.356812048179709,0,-0.05421606834489359,-0.05357907234762374,True,10,True
twap_vwap_spread_bps,tgt_ret_1,False,-0.024452716887735895,-0.022004884213698582,0.025745550381194027,0.8,0.8547063041142894,2,-0.03424890672920817,-0.018644590048652588,True,10,True
time_weighted_position,tgt_ret_1,False,-0.03199800741513671,-0.04846628443371069,0.025847682939323963,0.9,1.8750726921048464,1,-0.03997098719603612,-0.023147690211594442,True,10,True
time_at_high_pct,tgt_ret_1,False,-0.03923429862049779,-0.0519614344873359,0.014933017511288737,1.0,3.47963393520802,0,-0.0439408302080465,-0.037675939842975195,True,10,True
time_at_low_pct,tgt_ret_1,False,0.02350067365078827,0.030622041602310544,0.03945648993986564,0.6,0.7760964457046383,2,0.02728997836055548,0.013944640329821787,True,10,False
volume_q1_pct,tgt_ret_1,False,0.06116430262959665,0.05469184322928215,0.02884240986848779,1.0,1.8962300126327707,0,0.0689524439007233,0.05071221216344516,True,10,True
volume_q3_pct,tgt_ret_1,False,-0.04097868006235777,-0.04445030502816999,0.025157277130278995,0.9,1.7668965046567038,1,-0.050919493389673914,-0.02179023054101689,True,10,True
volume_q4_pct,tgt_ret_1,False,-0.022091183825433795,-0.01865237700092321,0.03764648557686708,0.6,0.49546130840921515,2,-0.017262762494258992,-0.02768030647649229,True,10,False
first_half_volume_pct,tgt_ret_1,False,0.055810726840204154,0.055469345332429996,0.03798261475174383,0.9,1.460387750948171,1,0.05530656860286711,0.05373227324536831,True,10,True
buy_time_std,tgt_ret_1,False,0.03089473051566917,0.02435939634482522,0.030902507328765514,0.7,0.7882660162708008,2,0.04256058989848895,0.017991473771741172,True,10,True
sell_time_std,tgt_ret_1,False,0.03427610326673661,0.021121700414386296,0.026507082710717125,0.7,0.7968323276045215,2,0.05110583643767969,0.017788668417638123,True,10,True
