cluster,size,representative,composite,n_targets,members
81,1,is_swing_low,0.24451057644635235,8,is_swing_low
78,1,is_swing_high,0.22640305136090363,10,is_swing_high
100,23,close,0.14873677522061465,11,"close, value_area_low, twap, poc_price, low, fair_value, fair_price, vwap_buy, vwap, vwap_sell, value_area_high, high, open, pivot_r1, pivot_pp, last_swing_low, pivot_s1, pivot_r2, pivot_s2, last_swing_high, atr_20, atr_5, atr_10"
112,4,avg_buy_size,0.12735472783995389,10,"avg_buy_size, avg_trade_size, avg_sell_size, std_trade_size"
170,5,market_pressure,0.1253390479347562,9,"market_pressure, absorption_ratio, bernoulli, binding_energy, market_viscosity"
94,1,hilbert_std_amplitude,0.11764775221755049,10,hilbert_std_amplitude
109,2,trade_size_p25,0.10283206431356073,10,"trade_size_p25, median_trade_size"
118,4,atr_percentile_14,0.10140299266486955,7,"atr_percentile_14, atr_percentile_10, atr_14_z, atr_20_z"
31,1,fvg_bearish_count_10,0.10115855119941183,5,fvg_bearish_count_10
119,1,atr_percentile_14_z,0.09836689694191267,2,atr_percentile_14_z
117,1,donchian_width_bps_10_z,0.09816583625107678,3,donchian_width_bps_10_z
16,4,golden_ratio_half_dist,0.09713411773873441,9,"golden_ratio_half_dist, golden_ratio_half_dist_z, golden_ratio_composite, golden_ratio_composite_z"
38,1,fvg_bearish_size_bps_z,0.09104789098979416,8,fvg_bearish_size_bps_z
116,2,range_compression_10,0.08918495120044803,3,"range_compression_10, range_compression_10_z"
15,2,price_volume_angle_cos_z,0.08848518787366028,10,"price_volume_angle_cos_z, price_volume_angle_cos"
157,28,busiest_quartile,0.07197239810342165,6,"busiest_quartile, trade_rate_decay, busiest_vol_quartile, volume_q1_pct, volume_pct_q1, activity_centroid_vol_z, large_trade_centroid_z, activity_centroid, volume_pct_q1_z, trade_pct_q1, trade_rate_decay_z, volume_ramp_z, volume_ramp, activity_ramp, sell_centroid, front_back_vol_ratio, first_half_volume_pct, volume_acceleration, buy_centroid, trade_pct_q1_z, population_growth_rate, activity_centroid_vol, large_trade_centroid, sell_centroid_z, activity_centroid_z, buy_centroid_z, activity_ramp_z, population_growth_rate_z"
30,3,breakout_down_count_10,0.07127222693146895,5,"breakout_down_count_10, breakout_net_10, support_touches_10"
124,2,vpin,0.07084704559617389,7,"vpin, vpin_z"
47,2,aggression_imbalance,0.07084291592925454,3,"aggression_imbalance, aggression_imbalance_z"
126,4,max_monotonic_run,0.07081712689018109,5,"max_monotonic_run, max_down_sweep, sweep_count, max_up_sweep"
111,2,trade_size_p75,0.07048823374801463,8,"trade_size_p75, trade_size_iqr"
146,1,session_asia,0.07020725931556057,5,session_asia
82,7,area_above_vwap_pct_z,0.06871132172420372,9,"area_above_vwap_pct_z, signed_area_bps_z, twap_vwap_spread_bps_z, area_above_vwap_pct, signed_area, signed_area_bps, twap_vwap_spread_bps"
150,2,hour_cos,0.06619027356663568,9,"hour_cos, session_europe"
7,4,consecutive_direction_z,0.06598043981949475,5,"consecutive_direction_z, return_reversal, return_reversal_z, consecutive_direction"
114,4,size_gini_z,0.06428318083978517,5,"size_gini_z, median_trade_size_z, trade_size_p75_z, trade_size_iqr_z"
41,1,engulfing_bearish,0.0631177027819089,5,engulfing_bearish
56,8,fomo_buy_ratio,0.06260064283576873,7,"fomo_buy_ratio, loss_aversion_ratio, down_move_vol_pct, panic_sell_ratio, fomo_buy_ratio_z, loss_aversion_ratio_z, down_move_vol_pct_z, panic_sell_ratio_z"
137,1,liq_pool_above_20,0.062053304613892205,9,liq_pool_above_20
156,6,fib_time_vol_pct,0.05966262222849251,4,"fib_time_vol_pct, fib_time_vol_surprise, fib_time_trade_pct, fib_time_vol_surprise_z, fib_time_vol_pct_z, fib_time_trade_pct_z"
108,5,vol_price_feedback,0.05884037290094209,7,"vol_price_feedback, max_trades_per_second, max_buy_run, max_sell_run, trade_rate_std"
173,1,taylor_asymmetry_curvature_ratio,0.057940496705728727,4,taylor_asymmetry_curvature_ratio
60,13,large_buy_pct,0.05563814013568234,4,"large_buy_pct, buy_sell_volume_ratio, order_flow_imbalance, flow_velocity, cvd_final, net_volume_delta, market_impulse, market_impulse_z, net_volume_delta_z, cvd_final_z, flow_velocity_z, order_flow_imbalance_z, golden_ratio_bs_dist"
77,4,hh_streak_z,0.055081807056097824,6,"hh_streak_z, hh_streak, higher_high, lower_high"
25,2,failed_breakout_down_5,0.05460031215892222,2,"failed_breakout_down_5, failed_breakout_down_10"
96,1,permutation_entropy,0.05432121952868907,3,permutation_entropy
98,4,volume_skewness,0.05403688771166616,7,"volume_skewness, volume_kurtosis, fib_size_max_med_dist, volume_entropy"
97,1,hilbert_std_freq,0.053081146620963686,4,hilbert_std_freq
52,3,first_half_return_z,0.052262491548010215,4,"first_half_return_z, first_half_return, taylor_price_a0"
33,1,support_touches_20,0.05113913993546361,2,support_touches_20
147,1,hour_sin,0.05096146909219582,4,hour_sin
54,22,dist_to_pivot_bps_z,0.05030966503613527,5,"dist_to_pivot_bps_z, close_vs_prev_fair_value_bps_z, return_z, dist_to_s1_bps, drift_from_open_bps_z, close_vs_prev_poc_bps_z, market_momentum_z, close_vs_prev_fair_value_bps, price_slope_angle_z, dist_to_s1_bps_z, close_vs_prev_poc_bps, drawdown_drawup_asymmetry, dist_to_pivot_bps, drawdown_drawup_asymmetry_z, return, drift_from_open_bps, price_slope_angle, ew_net_direction, ew_net_direction_z, market_momentum, dist_to_r1_bps, dist_to_r1_bps_z"
5,3,gap_abs_bps,0.050038967681076414,3,"gap_abs_bps, gap_filled, gap_fill_pct"
148,1,session_us,0.049891230575144524,5,session_us
104,1,vol_price_feedback_z,0.04895620190392635,6,vol_price_feedback_z
59,4,vol_asymmetry,0.048800043854246015,3,"vol_asymmetry, vol_asymmetry_z, return_skewness, return_skewness_z"
176,1,ew_impulse_detected,0.04870143018936721,3,ew_impulse_detected
12,2,turbulence,0.0481328146105549,4,"turbulence, turbulence_z"
154,3,low_volume_node_pct,0.047552087530888056,3,"low_volume_node_pct, high_volume_node_pct, high_volume_node_pct_z"
61,4,cvd_max,0.047001419239078794,7,"cvd_max, cvd_max_z, standing_wave_ratio, ofi_first_half"
99,1,volume_autocorr,0.04673982784785851,4,volume_autocorr
28,4,donchian_mid_dist_bps_20,0.04654580946486632,2,"donchian_mid_dist_bps_20, sr_position_20, donchian_position_20, dist_to_support_20_bps"
44,1,near_support_20,0.0464069837136628,6,near_support_20
53,2,fair_value_change_bps_z,0.0457404018336902,3,"fair_value_change_bps_z, poc_migration_bps_z"
45,1,near_support_5,0.04482416291155955,3,near_support_5
50,3,downtick_pct,0.044070827251506406,2,"downtick_pct, uptick_pct, net_tick_direction"
163,1,taylor_complexity_z,0.0429227400648941,4,taylor_complexity_z
71,2,dist_to_swing_high_bps,0.042607214905628375,3,"dist_to_swing_high_bps, dist_to_resistance_10_bps"
72,7,dist_to_support_10_bps_z,0.04257543951573278,2,"dist_to_support_10_bps_z, donchian_position_10_z, sr_position_10_z, sr_position_5_z, donchian_mid_dist_bps_10_z, sr_position_5, dist_to_resistance_10_bps_z"
80,3,ll_streak_z,0.04244831857518651,1,"ll_streak_z, lower_low, higher_low"
172,1,stop_hunt_down_score_z,0.04214169631892293,1,stop_hunt_down_score_z
160,8,taylor_vol_a1,0.04179298333194213,2,"taylor_vol_a1, taylor_rate_a1, taylor_vol_a1_z, taylor_rate_a1_z, taylor_vol_a2_z, taylor_rate_a2_z, taylor_rate_a2, taylor_vol_a3_z"
34,1,resistance_touches_20,0.041290774524505615,3,resistance_touches_20
142,1,fib_wave_avg_dist_z,0.04066111918154525,2,fib_wave_avg_dist_z
128,2,max_drawup_z,0.0398837361745768,2,"max_drawup_z, max_drawup"
151,2,overlap_asia_europe,0.03960198145094166,2,"overlap_asia_europe, overlap_count"
29,2,breakout_up_count_10,0.03920764332529189,6,"breakout_up_count_10, resistance_touches_10"
46,9,sell_urgency_ratio_z,0.03773981912122631,1,"sell_urgency_ratio_z, trade_imbalance_z, sell_urgency_ratio, buy_sell_trade_ratio, trade_imbalance, price_impact_asymmetry_z, price_impact_asymmetry, response_asymmetry_z, response_asymmetry"
122,2,breakout_vol_confirm_20,0.037578703289308284,3,"breakout_vol_confirm_20, breakout_any_20"
17,1,predator_follows_prey,0.03754628608609674,6,predator_follows_prey
153,4,graph_transition_entropy,0.037470441713251076,2,"graph_transition_entropy, graph_transition_uniformity, graph_transition_entropy_z, graph_transition_uniformity_z"
175,2,ew_impulse_quality,0.03732169841521453,1,"ew_impulse_quality, ew_impulse_quality_z"
39,1,engulfing_bullish,0.03717910178260788,4,engulfing_bullish
