feature,cluster,n_targets,mean_avg_r,mean_avg_sign,mean_avg_snr,composite
is_swing_low,49,8,0.11128155900330497,0.9918478260869565,2.801868968309084,0.24251728370358316
is_swing_high,44,9,0.1023473649257371,0.9879227053140096,2.505017732850243,0.23281733904627192
close,24,11,0.059856081609063305,0.9980237154150197,2.970576626294992,0.14844282902452646
twap,24,11,0.05978014777857767,0.9980237154150197,2.9606767073606046,0.14825451344634383
poc_price,24,11,0.059736227656583575,0.9980237154150197,2.897492275569886,0.14814559172970881
fair_value,24,11,0.05969601449552171,0.9980237154150197,2.923821843284064,0.14804586326049443
fair_price,24,11,0.059689162778256005,0.9980237154150197,2.9270655137908266,0.14802887103067824
vwap_buy,24,11,0.05964286863760759,0.9980237154150197,2.9347978922613023,0.14791406175782956
vwap,24,11,0.059637050043278676,0.9980237154150197,2.936287076179876,0.14789963166852346
vwap_sell,24,11,0.0596156993749438,0.9980237154150197,2.932120466701751,0.14784668210142862
value_area_low,24,11,0.059789439430506026,0.992094861660079,2.882110662279931,0.14739669993129756
value_area_high,24,11,0.05943294867291522,0.9980237154150197,2.921667496792961,0.14739346113396667
low,24,11,0.05972717987853815,0.992094861660079,2.8888819919907167,0.1472432137540282
high,24,11,0.05886646665596107,0.9980237154150197,2.9602922050650844,0.14598858812979293
open,24,11,0.058700123925483676,0.9980237154150197,2.932181642278358,0.14557605886232433
last_swing_low,24,11,0.05883185740148424,0.9940711462450593,2.832874407138252,0.1453249246229106
pivot_s1,24,11,0.05834167613931185,0.9980237154150197,2.8449553437848025,0.14468710986989866
pivot_r1,24,11,0.05842537633469871,0.9960474308300394,2.9252028082870662,0.14460776582986457
pivot_pp,24,11,0.05834345602463074,0.9960474308300394,2.928775604386294,0.1444050061086921
pivot_r2,24,11,0.05800051777225548,0.9940711462450593,2.819012316522581,0.1432713710842345
pivot_s2,24,11,0.05787125073048644,0.9861660079051383,2.6644572541775293,0.14181526330058394
last_swing_high,24,10,0.05687164957531989,0.9826086956521738,2.310033274452726,0.13400056820033276
avg_buy_size,32,9,0.0578751014991471,0.7995169082125604,0.9013892538997089,0.10654549882905096
fvg_bearish_count_10,18,2,0.11326313639736495,0.8152173913043479,0.8567079910166222,0.10143935339611744
hilbert_std_amplitude,13,9,0.04823987282652058,0.852657004830918,1.1252705845934223,0.09471008081297348
market_pressure,33,5,0.06532624639704886,0.8,0.8735843300644003,0.09363913645682992
absorption_ratio,33,5,0.06532624639704886,0.8,0.8735843300644003,0.09363913645682992
avg_sell_size,32,8,0.0513760625788659,0.8016304347826086,0.7933487975222491,0.09049184912660081
bernoulli,33,4,0.07008822112701185,0.7989130434782609,0.8567890520585151,0.09011950067196196
avg_trade_size,32,8,0.051272389892671404,0.7907608695652174,0.862796770560366,0.08908471186517487
trade_size_p25,31,6,0.05509273749169499,0.8196033562166285,1.0770934753651669,0.08786600155807932
golden_ratio_half_dist_z,42,6,0.052583937542907244,0.8369565217391305,0.9572325428048801,0.0856404191971371
golden_ratio_half_dist,42,3,0.06405867656945123,0.8695652173913043,1.053259417777994,0.07722102792089834
price_volume_angle_cos_z,41,5,0.04644624296361176,0.7869565217391304,0.8249479672315285,0.06549091178635395
vpin,36,7,0.037557730677303953,0.8105590062111803,0.8112390506656354,0.06330393324409923
max_monotonic_run,25,3,0.0541464112753374,0.8043478260869565,0.8475160058776307,0.060376651981685035
busiest_quartile,5,2,0.06546796011278136,0.8152173913043478,0.9869139407147237,0.058633618609186346
consecutive_direction_z,10,4,0.041951561684510225,0.8260869565217391,0.8473439267462151,0.055776097537239215
support_touches_10,17,2,0.06282166852865302,0.7717391304347826,0.7025397973912599,0.05326285488972949
vpin_z,36,4,0.041978999220052826,0.7717391304347826,0.7447554691081807,0.05214069667202622
vol_price_feedback,28,6,0.03341555521212596,0.7789855072463769,0.7466516972966608,0.050652495018379456
near_support_20,46,2,0.0562085367081073,0.7934782608695652,0.7671941284509403,0.04899838487344873
dist_to_s1_bps,56,1,0.07412568653109619,0.8695652173913043,0.9405144398875755,0.04467827010965186
donchian_mid_dist_bps_20,16,2,0.045803050389210856,0.8478260869565217,0.980628080092421,0.042662434057104265
price_volume_angle_cos,41,2,0.04968464535215235,0.7717391304347826,0.7300059503592752,0.042124733672623836
failed_breakout_down_10,14,2,0.04863315550422423,0.782608695652174,0.7626107282774146,0.041813986127202676
breakout_down_count_10,17,1,0.07831649810779495,0.7608695652173914,0.6169308015185522,0.04130369771556788
dist_to_s1_bps_z,56,1,0.06946455115215895,0.8478260869565217,0.8553293650069379,0.04082211203085352
gap_abs_bps,61,2,0.04205375631730218,0.8804347826086957,1.4031407171064008,0.0406767679506764
vol_asymmetry_z,52,1,0.0706935226600206,0.8260869565217391,0.8322428893852811,0.040479100104227554
dist_to_pivot_bps,56,1,0.07054585555652629,0.8260869565217391,0.8478403764121216,0.040394545943683115
drawdown_drawup_asymmetry,56,1,0.0667696598835557,0.8695652173913044,0.883316192780655,0.040244523039333145
trade_rate_decay,5,1,0.07153185594281185,0.8043478260869565,0.8480315602399233,0.039881257779962334
return,56,1,0.06641959121963756,0.8478260869565217,0.7725214163377208,0.03903268572012172
drift_from_open_bps,56,1,0.06641948526175945,0.8478260869565217,0.7725214163377208,0.039032623452039665
price_slope_angle,56,1,0.06641855495220811,0.8478260869565217,0.7723507464559775,0.039032076738642715
vol_asymmetry,52,1,0.06638276016949174,0.8478260869565217,0.785443290518008,0.039011041280903026
uptick_pct,55,1,0.06392988794066255,0.8695652173913044,0.9055514843685356,0.03853288833007261
downtick_pct,55,1,0.06392988794066255,0.8695652173913044,0.9055514843685356,0.03853288833007261
net_tick_direction,55,1,0.06392988794066255,0.8695652173913044,0.9055514843685356,0.03853288833007261
failed_breakout_down_5,14,1,0.0654676641909202,0.8478260869565217,0.9645024790048851,0.03847326841781486
hour_cos,6,3,0.036030851605253496,0.7681159420289857,0.851345362375015,0.03836690463124139
