feature,cluster,n_targets,mean_avg_r,mean_avg_sign,mean_avg_snr,composite
is_swing_low,49,8,0.11128155900330497,0.9918478260869565,2.801868968309084,0.24251728370358316
is_swing_high,44,9,0.1023473649257371,0.9879227053140096,2.505017732850243,0.23281733904627192
close,24,11,0.059856081609063305,0.9980237154150197,2.970576626294992,0.14844282902452646
avg_buy_size,32,9,0.0578751014991471,0.7995169082125604,0.9013892538997089,0.10654549882905096
fvg_bearish_count_10,18,2,0.11326313639736495,0.8152173913043479,0.8567079910166222,0.10143935339611744
hilbert_std_amplitude,13,9,0.04823987282652058,0.852657004830918,1.1252705845934223,0.09471008081297348
market_pressure,33,5,0.06532624639704886,0.8,0.8735843300644003,0.09363913645682992
trade_size_p25,31,6,0.05509273749169499,0.8196033562166285,1.0770934753651669,0.08786600155807932
golden_ratio_half_dist_z,42,6,0.052583937542907244,0.8369565217391305,0.9572325428048801,0.0856404191971371
price_volume_angle_cos_z,41,5,0.04644624296361176,0.7869565217391304,0.8249479672315285,0.06549091178635395
vpin,36,7,0.037557730677303953,0.8105590062111803,0.8112390506656354,0.06330393324409923
max_monotonic_run,25,3,0.0541464112753374,0.8043478260869565,0.8475160058776307,0.060376651981685035
busiest_quartile,5,2,0.06546796011278136,0.8152173913043478,0.9869139407147237,0.058633618609186346
consecutive_direction_z,10,4,0.041951561684510225,0.8260869565217391,0.8473439267462151,0.055776097537239215
support_touches_10,17,2,0.06282166852865302,0.7717391304347826,0.7025397973912599,0.05326285488972949
vol_price_feedback,28,6,0.03341555521212596,0.7789855072463769,0.7466516972966608,0.050652495018379456
near_support_20,46,2,0.0562085367081073,0.7934782608695652,0.7671941284509403,0.04899838487344873
dist_to_s1_bps,56,1,0.07412568653109619,0.8695652173913043,0.9405144398875755,0.04467827010965186
donchian_mid_dist_bps_20,16,2,0.045803050389210856,0.8478260869565217,0.980628080092421,0.042662434057104265
failed_breakout_down_10,14,2,0.04863315550422423,0.782608695652174,0.7626107282774146,0.041813986127202676
gap_abs_bps,61,2,0.04205375631730218,0.8804347826086957,1.4031407171064008,0.0406767679506764
vol_asymmetry_z,52,1,0.0706935226600206,0.8260869565217391,0.8322428893852811,0.040479100104227554
uptick_pct,55,1,0.06392988794066255,0.8695652173913044,0.9055514843685356,0.03853288833007261
hour_cos,6,3,0.036030851605253496,0.7681159420289857,0.851345362375015,0.03836690463124139
hh_streak_z,45,3,0.03400756868997835,0.8115942028985508,0.9286631821831461,0.03826220347503772
aggression_imbalance_z,50,1,0.061825614651620904,0.8695652173913044,0.9930563276218651,0.037264565636657976
ew_impulse_detected,1,1,0.0668328379980039,0.8043478260869565,1.044964213661323,0.03726140759573981
volume_autocorr,23,2,0.04179733777021817,0.8043478260869565,0.8070650869264105,0.036934903252065575
higher_low,48,1,0.0619023224363658,0.8260869565217391,0.9964270102519575,0.035445260220465756
sell_urgency_ratio,26,1,0.05637404419281225,0.8913043478260869,0.9807711117945899,0.03482817176846505
resistance_touches_10,15,4,0.026834960165656414,0.8043478260869565,0.7333195998322722,0.0347391409557142
resistance_touches_20,20,1,0.0617456821472528,0.7608695652173914,0.8127741538057041,0.03256433896139476
large_buy_pct,53,1,0.057823756604598,0.8043478260869565,0.7890266163652966,0.032238561582932174
fvg_bearish_size_bps_z,22,1,0.06013735708348545,0.7608695652173914,0.7160846105953567,0.03171611701752306
ew_impulse_quality_z,2,1,0.056689780971069845,0.8043478260869565,0.8256634721993605,0.031606334528833525
engulfing_bearish,11,1,0.05306843500769445,0.7826086956521738,0.6252053082244264,0.028787663036592085
taylor_rate_a1,3,1,0.0523019899614834,0.7826086956521738,0.6417177535821437,0.02837189494915574
absorption_ratio_z,34,2,0.03191246701333088,0.8043478260869565,0.7507561458981629,0.028199975035538193
max_drawup_z,37,1,0.04757799752532005,0.8478260869565217,1.1398821370733805,0.027960079104634394
session_asia,7,1,0.047137669228232995,0.8478260869565217,1.144099293350034,0.027701312139673098
taylor_price_a0,58,1,0.052087576555167006,0.7608695652173914,0.704403416332978,0.027470706284771763
inter_trade_entropy,39,1,0.04672744126891165,0.8478260869565217,0.7665210960082744,0.027460234187885547
turbulence,43,1,0.052674137732353604,0.7391304347826086,0.7193241382184783,0.026986339607796575
size_gini_z,29,2,0.030377546752342423,0.7934782608695652,0.7307654501201613,0.026480865976142163
side_sequence_entropy_z,27,1,0.0468597390167404,0.8043478260869565,0.7873384870036699,0.026125777202292467
volume_profile_skew_z,51,1,0.0467257996407573,0.7826086956521738,0.6850856319331682,0.025347017958573775
time_to_low_pct,57,1,0.044888893825496254,0.7608695652173914,0.6048682015260487,0.023674159929911114
near_support_5,47,1,0.0447613462209651,0.7608695652173914,0.5656625500944282,0.02360689201281594
volume_pct_q4_z,4,1,0.045640163509468895,0.7391304347826086,0.7411075741105249,0.023382650485522412
fib_size_ratio_pct_z,59,1,0.0438763758970516,0.7391304347826086,0.7264310763389488,0.022479015921126267
area_above_vwap_pct_z,54,1,0.04259657018426355,0.7608695652173914,0.6480667137232696,0.02246520083404595
avg_trade_size_z,30,1,0.0389647985749564,0.8260869565217391,0.7778884793907493,0.02231123761708812
hilbert_mean_amplitude,12,1,0.03934484333126515,0.782608695652174,0.8623172457550572,0.021343122175804596
taylor_price_rmse_z,35,1,0.0416140870666533,0.7391304347826086,0.625659903455474,0.02131998613352417
hour_sin,8,1,0.0334086118507913,0.8478260869565217,0.8488166394854111,0.019633180854806632
atr_percentile_14,40,1,0.0367444311741746,0.7608695652173914,0.5572067765237771,0.019378814357348544
session_us,9,2,0.0205734187641784,0.8260869565217391,1.0641469082017532,0.0186713914265473
liq_pool_above_20,21,2,0.01924953911720105,0.8152173913043479,0.6534755543927033,0.017240038227191213
failed_breakout_up_10,19,1,0.03171716200530975,0.7608695652173914,0.6470841419696257,0.016727459775587428
buy_volume_z,38,1,0.029740060361232203,0.7608695652173914,0.5867117222671863,0.015684747056901614
