cluster,size,representative,composite,n_targets,members
110,1,is_swing_high,0.2335443707801101,10,is_swing_high
113,1,is_swing_low,0.231337592363316,8,is_swing_low
192,4,atr_percentile_14_z,0.18400964901283373,9,"atr_percentile_14_z, atr_14_z, atr_10_z, atr_percentile_10"
188,1,donchian_width_bps_10_z,0.16702999255701928,11,donchian_width_bps_10_z
12,2,graph_edge_count_z,0.14932800815720917,11,"graph_edge_count_z, graph_edge_density_z"
149,22,low,0.14635726619592515,10,"low, value_area_low, fair_value, vwap_sell, vwap_buy, poc_price, vwap, fair_price, last_swing_low, value_area_high, close, twap, open, high, pivot_pp, pivot_s2, pivot_r1, pivot_s1, pivot_r2, last_swing_high, atr_20, atr_14"
61,2,fvg_bearish_count_10,0.1447584018000799,10,"fvg_bearish_count_10, fvg_bearish_count_10_z"
13,1,stop_hunt_down_score_z,0.1372733752275094,7,stop_hunt_down_score_z
187,2,range_compression_10,0.13304373705419797,6,"range_compression_10, range_compression_10_z"
137,1,hilbert_std_amplitude,0.1302186514290006,10,hilbert_std_amplitude
46,4,golden_ratio_half_dist,0.1287311764177116,10,"golden_ratio_half_dist, golden_ratio_composite, golden_ratio_half_dist_z, golden_ratio_composite_z"
169,5,absorption_ratio,0.12482919754681289,10,"absorption_ratio, market_pressure, bernoulli, binding_energy, market_viscosity"
45,2,price_volume_angle_cos,0.12236532989944805,11,"price_volume_angle_cos, price_volume_angle_cos_z"
148,4,avg_buy_size,0.12105454944258431,9,"avg_buy_size, avg_trade_size, avg_sell_size, std_trade_size"
193,2,atr_percentile_14,0.11917087275452373,9,"atr_percentile_14, atr_percentile_20"
189,2,range_compression_20,0.11810102336148924,6,"range_compression_20, donchian_width_bps_20_z"
191,2,atr_percentile_20_z,0.11620258963175131,6,"atr_percentile_20_z, atr_20_z"
207,3,eigen_ratio_z,0.11112414049259299,8,"eigen_ratio_z, down_volatility_z, up_volatility_z"
129,9,dist_to_support_10_bps_z,0.11103116174445572,6,"dist_to_support_10_bps_z, dist_to_support_20_bps_z, donchian_mid_dist_bps_10_z, donchian_position_10_z, sr_position_10_z, donchian_position_20_z, sr_position_20_z, donchian_mid_dist_bps_20_z, dist_to_resistance_10_bps_z"
101,2,micro_fear_score,0.11102202045765075,9,"micro_fear_score, micro_fear_score_z"
60,3,breakout_down_count_10,0.10798822162413313,4,"breakout_down_count_10, breakout_net_10, support_touches_10"
126,2,dist_to_support_5_bps_z,0.10529111437175064,3,"dist_to_support_5_bps_z, dist_to_swing_low_bps_z"
102,8,down_move_vol_pct,0.10441048806463628,6,"down_move_vol_pct, loss_aversion_ratio, fomo_buy_ratio, panic_sell_ratio, loss_aversion_ratio_z, fomo_buy_ratio_z, down_move_vol_pct_z, panic_sell_ratio_z"
16,2,liq_void_count_10_z,0.10365998268275262,10,"liq_void_count_10_z, liq_void_count_10"
90,3,side_sequence_entropy_z,0.1028851373354664,5,"side_sequence_entropy_z, side_switch_rate, side_sequence_entropy"
65,1,resistance_touches_20,0.0994453654499849,7,resistance_touches_20
190,3,atr_percentile_10_z,0.09792240578422398,3,"atr_percentile_10_z, atr_5_z, atr_percentile_5"
94,1,engulfing_bearish,0.0971768126516405,5,engulfing_bearish
139,2,hilbert_mean_amplitude,0.09549772818587876,7,"hilbert_mean_amplitude, hilbert_mean_amplitude_z"
195,2,vpin_z,0.09517672697821386,6,"vpin_z, vpin"
138,1,hilbert_std_amplitude_z,0.09391610288318131,6,hilbert_std_amplitude_z
