feature,cluster,n_targets,mean_avg_r,mean_avg_sign,mean_avg_snr,composite
is_swing_high,110,10,0.09837936106070726,0.99,4.200981477678617,0.2335443707801101
is_swing_low,113,8,0.10528627558124964,1.0,6.483806692967194,0.231337592363316
atr_percentile_14_z,192,9,0.08173061098284663,0.9777777777777779,1.887639026870714,0.18400964901283373
atr_14_z,192,10,0.07334057907827458,0.9700000000000001,2.1193237504303686,0.17058713703980705
donchian_width_bps_10_z,188,11,0.06975433510102462,0.9636363636363637,1.8557740067252282,0.16702999255701928
graph_edge_count_z,12,11,0.06356097343309425,0.9454545454545454,1.4473174073779553,0.14932800815720917
atr_10_z,192,6,0.0835483091600283,0.9166666666666666,1.918141130909308,0.14902937750333423
graph_edge_density_z,12,9,0.06569090465644259,0.9777777777777779,1.61351494544087,0.14789758896705746
low,149,10,0.061035720724001666,1.0,2.2286355753393474,0.14635726619592515
value_area_low,149,10,0.06067373934272182,1.0,2.2287010439527464,0.14548927275291318
fair_value,149,10,0.060459578575717696,1.0,2.2227239449267655,0.14497573766209512
vwap_sell,149,10,0.060453980780284786,1.0,2.225447175344205,0.14496231473488844
vwap_buy,149,10,0.060441792057221486,1.0,2.2258991317924695,0.1449330874534735
poc_price,149,10,0.060433179773640155,1.0,2.211843278803994,0.14491243609938584
vwap,149,10,0.060427862774788475,1.0,2.2271422894190933,0.1448996864929739
fair_price,149,10,0.06041885032692841,1.0,2.2350230250375036,0.14487807558685392
fvg_bearish_count_10,61,10,0.06938958905912558,0.8699999999999999,1.4091131069035088,0.1447584018000799
last_swing_low,149,10,0.061476752852975755,0.9800000000000001,2.13395545775641,0.14446651875208144
value_area_high,149,10,0.06003097536807056,1.0,2.222939968832776,0.14394799205657183
close,149,11,0.05782736842062506,1.0,2.22462429765748,0.14369561232815184
twap,149,11,0.057790427070169105,1.0,2.2055073100073357,0.1436038165207517
open,149,10,0.059639567288080585,1.0,2.1666419069863587,0.1430094364718288
high,149,10,0.05939385962146483,1.0,2.194378208305554,0.14242025521956053
pivot_pp,149,10,0.05938437313617102,1.0,2.1362921070039826,0.14239750762131906
pivot_s2,149,10,0.05971920179857752,0.99,2.1552826531291576,0.14176838777122
pivot_r1,149,10,0.05905557329431603,1.0,2.1527895126276957,0.1416090800348381
pivot_s1,149,10,0.05958358698370553,0.99,2.1528877057900715,0.14144644954895205
atr_percentile_10,192,8,0.06842240796507283,0.9375,1.6010298790762916,0.14094318414504706
pivot_r2,149,10,0.05821320023369382,0.99,2.0803668911306685,0.13819326607829102
stop_hunt_down_score_z,13,7,0.07453254429073783,0.8857142857142859,1.4311766921175963,0.1372733752275094
range_compression_10,187,6,0.07458649738345018,0.9166666666666666,1.7095092850035762,0.13304373705419797
last_swing_high,149,9,0.05946624061981655,0.9555555555555555,1.9578125409127856,0.1308404756681383
hilbert_std_amplitude,137,10,0.05598494393141904,0.97,2.0555295063947434,0.1302186514290006
golden_ratio_half_dist,46,10,0.05772588209928474,0.93,1.8259899007041631,0.1287311764177116
absorption_ratio,169,10,0.05658458562230112,0.9200000000000002,1.6104278188825885,0.12482919754681289
market_pressure,169,10,0.05658458562230112,0.9200000000000002,1.6104278188825885,0.12482919754681289
bernoulli,169,10,0.056582433518644636,0.9200000000000002,1.6101100311566554,0.12482444986916319
price_volume_angle_cos,45,11,0.0501553466959608,0.9818181818181819,2.4417112546529824,0.12236532989944805
avg_buy_size,148,9,0.05257332283219873,1.0,2.5051290290878723,0.12105454944258431
atr_percentile_14,193,9,0.06049315220363091,0.8555555555555556,1.3049470083942356,0.11917087275452373
range_compression_20,189,6,0.07747904698422196,0.7833333333333332,0.7565882059672645,0.11810102336148924
golden_ratio_composite,46,10,0.05233101099763282,0.9400000000000001,1.5357166192353433,0.1179552268584643
atr_percentile_20_z,191,6,0.06398176949017433,0.9333333333333335,1.432491904030919,0.11620258963175131
golden_ratio_half_dist_z,46,9,0.05366495968213429,0.9111111111111112,1.4078169190918246,0.11258430185307924
eigen_ratio_z,207,8,0.05542441189126019,0.9125000000000001,1.534281968748183,0.11112414049259299
dist_to_support_10_bps_z,129,6,0.07132341246482933,0.8000000000000002,1.0819470554662478,0.11103116174445572
micro_fear_score,101,9,0.050458867173321965,0.9555555555555555,2.1911215430410245,0.11102202045765075
breakout_down_count_10,60,4,0.08132952074671468,0.8250000000000001,1.0019838623967914,0.10798822162413313
avg_trade_size,148,8,0.04931493229661349,0.975,2.230796940380095,0.10564708173999608
dist_to_support_5_bps_z,126,3,0.08439053808544295,0.9,1.3010962262051402,0.10529111437175064
down_move_vol_pct,102,6,0.053656376742433225,1.0,2.488995665849273,0.10441048806463628
loss_aversion_ratio,102,6,0.053656376742433225,1.0,2.488995665849273,0.10441048806463628
liq_void_count_10_z,16,10,0.05085831820374622,0.85,1.0897830825256238,0.10365998268275262
side_sequence_entropy_z,90,5,0.05742128846110828,1.0,2.5669617241458225,0.1028851373354664
fvg_bearish_count_10_z,61,3,0.08106811288933541,0.9,1.454275853928345,0.10114584098860477
donchian_width_bps_20_z,189,6,0.059457452823025926,0.8666666666666667,1.2954407276723956,0.10027234610059649
resistance_touches_20,65,7,0.05150181277018396,0.9285714285714286,1.6171287866395954,0.0994453654499849
atr_percentile_10_z,190,3,0.08476330153009,0.8333333333333334,1.0926449539750613,0.09792240578422398
engulfing_bearish,94,5,0.05534225693393904,0.9800000000000001,2.162384404431078,0.0971768126516405
fomo_buy_ratio,102,6,0.049445781258368036,1.0,2.3362880878883634,0.09621704757862735
hilbert_mean_amplitude,139,7,0.0535788162271948,0.8571428571428571,1.2401232315212558,0.09549772818587876
vpin_z,195,6,0.0524048166710169,0.9333333333333332,1.6360499964620747,0.09517672697821386
hilbert_std_amplitude_z,138,6,0.05568845722326212,0.8666666666666667,1.388272671384306,0.09391610288318131
busiest_quartile,37,4,0.05747310587112365,1.0,2.3185653629481884,0.09249939553432528
avg_sell_size,148,6,0.05166912900048768,0.9166666666666666,1.7038424964656496,0.09216485897198909
price_volume_angle_cos_z,45,8,0.042621917688655586,0.975,1.8158073049175922,0.09130867695174753
te_net_direction_z,198,9,0.05069620680868393,0.7777777777777777,1.0477728749729354,0.09079181227590356
fib_total_crosses_z,170,7,0.049839138284854874,0.8714285714285716,1.4523066146819592,0.09031274353734632
fib_crosses_per_level_z,170,7,0.049839138284854874,0.8714285714285716,1.4523066146819592,0.09031274353734632
fvg_bearish_size_bps_z,70,7,0.0519798296376892,0.8285714285714286,1.1131259146235335,0.08955947129324279
atr_5_z,190,3,0.07344833546547506,0.8666666666666666,1.3589904075479613,0.08824487818417279
trade_rate_decay,37,3,0.06359266867517106,1.0,2.2466940122645758,0.08815815799295515
golden_ratio_composite_z,46,8,0.0443895431676119,0.9,1.0991698144376416,0.08778041570214354
donchian_mid_dist_bps_20,57,5,0.05064771015252354,0.9400000000000001,1.551250792627732,0.08530360340487185
fib_bounce_count_z,205,6,0.053566995180420296,0.8166666666666668,1.073800176662583,0.08512652365371448
eigen_ratio,208,6,0.048318955621893235,0.9,1.3024045750706836,0.08462191152275579
donchian_width_bps_10,194,6,0.05774013184329126,0.75,0.8264833506075905,0.08426783142123925
shooting_star,77,5,0.048714490744095895,0.96,1.6468066671990367,0.083793264076182
panic_sell_ratio,102,6,0.04872904499663652,0.8833333333333333,1.7058857556962854,0.08375973650457644
breakout_net_10,60,4,0.0626072798595683,0.8250000000000001,0.9583490123001857,0.08312908708529791
area_above_vwap_pct_z,114,7,0.0439680009600208,0.9000000000000001,1.4821539231513225,0.08228599893079755
turbulence_z,158,6,0.04184374953507505,1.0,2.0272568083769387,0.08142417689483109
atr_20_z,191,5,0.05547817844365952,0.8,0.9036369177124104,0.07952284124956056
path_length_over_range_z,170,5,0.052595441469832194,0.8400000000000001,1.1737669602162764,0.0791602394451135
flash_event_count_z,205,8,0.041659400892563744,0.8625,1.1011052052006436,0.07894898883448502
te_volume_to_price_z,198,7,0.04903107581454634,0.7714285714285715,1.0761125553637088,0.07865274025184489
trade_size_p25,152,5,0.04570262051706518,0.96,1.7227512674661942,0.0786125789567884
extrema_density_z,205,7,0.04811362644435265,0.7857142857142857,1.1018839228915047,0.07861030064584117
num_extrema_z,205,7,0.04811086573960514,0.7857142857142857,1.1015936599633716,0.07860579007687693
breakout_down_bps_20,182,4,0.05087743541368172,0.95,1.627396685726722,0.07778986977008684
micro_fear_greed,100,5,0.04667714963845306,0.9200000000000002,1.587726864527433,0.07694348687237132
ew_impulse_quality,3,3,0.05540208245355951,1.0,2.3020583941312753,0.07680359449966878
support_touches_10,60,3,0.0608697174583126,0.9,1.2492249407046356,0.07594501146787774
liq_void_count_10,16,7,0.04558549200837669,0.7999999999999999,0.9326063562781661,0.07583389262410613
fib_intertime_ratio_pct_z,80,6,0.04159077345292695,0.9333333333333335,2.2590084625009887,0.07553644762450346
breakout_down_20,182,4,0.050222913137192446,0.925,1.5997549396881854,0.074768360940191
market_temperature_z,205,5,0.04894332304946498,0.8400000000000001,1.3039071794275328,0.07366351652466795
realized_vol_z,205,5,0.04894332304946498,0.8400000000000001,1.3039071794275328,0.07366351652466795
liq_pool_above_20,165,4,0.05536226242360845,0.825,1.121080908917556,0.073509252351712
hour_cos,26,6,0.038997401988090895,0.9666666666666667,1.8564230941210915,0.07335592563823538
side_switch_rate,90,5,0.04965958374973643,0.82,1.293547165834544,0.0729619841256414
side_sequence_entropy,90,5,0.04953403626393854,0.82,1.2675384257879845,0.07277752439049814
atr_change_pct_14,205,5,0.04828308008441595,0.8400000000000001,1.1238263866189846,0.072669799393589
wave_frequency_z,205,7,0.04521539830503627,0.7714285714285715,1.039557991011726,0.07253185697415704
atr_20,149,4,0.05118075594307887,0.875,0.8644034397815533,0.07207571787659953
trade_size_p25_z,85,5,0.046503151825928936,0.86,1.241688922472315,0.07165731786442996
manhattan_distance_z,205,6,0.04477087568389224,0.8166666666666665,1.1857202096939548,0.07114808278989337
micro_fear_greed_z,100,5,0.04400756980342478,0.9,1.4771747183952193,0.07096588192170086
hh_streak_z,109,6,0.03976369736165596,0.9166666666666666,2.4360283147487594,0.07092853373834279
escape_velocity_z,205,7,0.04323467958376224,0.7857142857142858,1.0968571408446999,0.0706388483174725
bernoulli_z,170,6,0.04433349971351305,0.8166666666666668,1.2582667614454761,0.07045302241246047
market_pressure_z,170,6,0.04433315047202934,0.8166666666666668,1.258585508703934,0.07045246741187991
absorption_ratio_z,170,6,0.04433315047202934,0.8166666666666668,1.258585508703934,0.07045246741187991
aggression_imbalance,104,3,0.05021824278593633,1.0,1.803788442349604,0.06961726679949316
