feature,cluster,n_targets,mean_avg_r,mean_avg_sign,mean_avg_snr,composite
is_swing_high,110,10,0.09837936106070726,0.99,4.200981477678617,0.2335443707801101
is_swing_low,113,8,0.10528627558124964,1.0,6.483806692967194,0.231337592363316
atr_percentile_14_z,192,9,0.08173061098284663,0.9777777777777779,1.887639026870714,0.18400964901283373
donchian_width_bps_10_z,188,11,0.06975433510102462,0.9636363636363637,1.8557740067252282,0.16702999255701928
graph_edge_count_z,12,11,0.06356097343309425,0.9454545454545454,1.4473174073779553,0.14932800815720917
low,149,10,0.061035720724001666,1.0,2.2286355753393474,0.14635726619592515
fvg_bearish_count_10,61,10,0.06938958905912558,0.8699999999999999,1.4091131069035088,0.1447584018000799
stop_hunt_down_score_z,13,7,0.07453254429073783,0.8857142857142859,1.4311766921175963,0.1372733752275094
range_compression_10,187,6,0.07458649738345018,0.9166666666666666,1.7095092850035762,0.13304373705419797
hilbert_std_amplitude,137,10,0.05598494393141904,0.97,2.0555295063947434,0.1302186514290006
golden_ratio_half_dist,46,10,0.05772588209928474,0.93,1.8259899007041631,0.1287311764177116
absorption_ratio,169,10,0.05658458562230112,0.9200000000000002,1.6104278188825885,0.12482919754681289
price_volume_angle_cos,45,11,0.0501553466959608,0.9818181818181819,2.4417112546529824,0.12236532989944805
avg_buy_size,148,9,0.05257332283219873,1.0,2.5051290290878723,0.12105454944258431
atr_percentile_14,193,9,0.06049315220363091,0.8555555555555556,1.3049470083942356,0.11917087275452373
range_compression_20,189,6,0.07747904698422196,0.7833333333333332,0.7565882059672645,0.11810102336148924
atr_percentile_20_z,191,6,0.06398176949017433,0.9333333333333335,1.432491904030919,0.11620258963175131
eigen_ratio_z,207,8,0.05542441189126019,0.9125000000000001,1.534281968748183,0.11112414049259299
dist_to_support_10_bps_z,129,6,0.07132341246482933,0.8000000000000002,1.0819470554662478,0.11103116174445572
micro_fear_score,101,9,0.050458867173321965,0.9555555555555555,2.1911215430410245,0.11102202045765075
breakout_down_count_10,60,4,0.08132952074671468,0.8250000000000001,1.0019838623967914,0.10798822162413313
dist_to_support_5_bps_z,126,3,0.08439053808544295,0.9,1.3010962262051402,0.10529111437175064
down_move_vol_pct,102,6,0.053656376742433225,1.0,2.488995665849273,0.10441048806463628
liq_void_count_10_z,16,10,0.05085831820374622,0.85,1.0897830825256238,0.10365998268275262
side_sequence_entropy_z,90,5,0.05742128846110828,1.0,2.5669617241458225,0.1028851373354664
resistance_touches_20,65,7,0.05150181277018396,0.9285714285714286,1.6171287866395954,0.0994453654499849
atr_percentile_10_z,190,3,0.08476330153009,0.8333333333333334,1.0926449539750613,0.09792240578422398
engulfing_bearish,94,5,0.05534225693393904,0.9800000000000001,2.162384404431078,0.0971768126516405
hilbert_mean_amplitude,139,7,0.0535788162271948,0.8571428571428571,1.2401232315212558,0.09549772818587876
vpin_z,195,6,0.0524048166710169,0.9333333333333332,1.6360499964620747,0.09517672697821386
hilbert_std_amplitude_z,138,6,0.05568845722326212,0.8666666666666667,1.388272671384306,0.09391610288318131
busiest_quartile,37,4,0.05747310587112365,1.0,2.3185653629481884,0.09249939553432528
te_net_direction_z,198,9,0.05069620680868393,0.7777777777777777,1.0477728749729354,0.09079181227590356
fib_total_crosses_z,170,7,0.049839138284854874,0.8714285714285716,1.4523066146819592,0.09031274353734632
fvg_bearish_size_bps_z,70,7,0.0519798296376892,0.8285714285714286,1.1131259146235335,0.08955947129324279
donchian_mid_dist_bps_20,57,5,0.05064771015252354,0.9400000000000001,1.551250792627732,0.08530360340487185
fib_bounce_count_z,205,6,0.053566995180420296,0.8166666666666668,1.073800176662583,0.08512652365371448
eigen_ratio,208,6,0.048318955621893235,0.9,1.3024045750706836,0.08462191152275579
donchian_width_bps_10,194,6,0.05774013184329126,0.75,0.8264833506075905,0.08426783142123925
shooting_star,77,5,0.048714490744095895,0.96,1.6468066671990367,0.083793264076182
area_above_vwap_pct_z,114,7,0.0439680009600208,0.9000000000000001,1.4821539231513225,0.08228599893079755
turbulence_z,158,6,0.04184374953507505,1.0,2.0272568083769387,0.08142417689483109
trade_size_p25,152,5,0.04570262051706518,0.96,1.7227512674661942,0.0786125789567884
breakout_down_bps_20,182,4,0.05087743541368172,0.95,1.627396685726722,0.07778986977008684
micro_fear_greed,100,5,0.04667714963845306,0.9200000000000002,1.587726864527433,0.07694348687237132
ew_impulse_quality,3,3,0.05540208245355951,1.0,2.3020583941312753,0.07680359449966878
fib_intertime_ratio_pct_z,80,6,0.04159077345292695,0.9333333333333335,2.2590084625009887,0.07553644762450346
liq_pool_above_20,165,4,0.05536226242360845,0.825,1.121080908917556,0.073509252351712
hour_cos,26,6,0.038997401988090895,0.9666666666666667,1.8564230941210915,0.07335592563823538
trade_size_p25_z,85,5,0.046503151825928936,0.86,1.241688922472315,0.07165731786442996
hh_streak_z,109,6,0.03976369736165596,0.9166666666666666,2.4360283147487594,0.07092853373834279
aggression_imbalance,104,3,0.05021824278593633,1.0,1.803788442349604,0.06961726679949316
fvg_bullish_size_bps_z,50,3,0.05989196882731534,0.8333333333333334,1.010401638921175,0.06918991555139627
support_touches_20,67,4,0.06128227457890635,0.7,0.6392427980735494,0.06904101124724187
pv_principal_angle_z,134,6,0.040101283358163896,0.8666666666666667,1.1003499489307098,0.06762902837322152
trade_imbalance_z,99,4,0.04377574631984585,0.95,1.447119546801733,0.06693162848364458
session_asia,27,4,0.042547086706925225,0.975,2.0484162070751646,0.06676497204950273
avg_surprise_z,88,5,0.041399254771239825,0.9,1.320275866930034,0.06675975607981832
near_support_20,184,4,0.05523251312470493,0.75,0.9340710094254445,0.06666997546643562
resistance_touches_10,59,3,0.05086144593521097,0.9333333333333332,1.28229452977431,0.06580833998516133
market_momentum_z,119,4,0.046550833655152696,0.875,1.8686222684190414,0.06555559197251401
fib_time_trade_pct,36,4,0.043847167634949176,0.925,2.032483966095125,0.0652765968987001
dist_to_swing_low_bps,127,2,0.06576098293884375,0.9,1.2122576949744102,0.06502124157435689
golden_ratio_bs_dist,107,3,0.0503689608776614,0.9,1.3081038771222977,0.06284358579615333
fib_wave_ratio_pct_z,2,3,0.0482424575225151,0.9333333333333332,1.6527313647386475,0.06241969704135996
consecutive_direction_z,17,3,0.04644874041488823,0.9666666666666667,2.3576995826884133,0.06224523935433842
breakout_vol_confirm_20,181,4,0.0410935331481353,0.9,1.274047270103762,0.05952374118402874
first_half_return_z,118,3,0.0477054604136832,0.9,2.24159305091759,0.05952042968950546
golden_quartile_pairs_z,44,5,0.04357388134932329,0.76,1.0691194362514136,0.059336175034189
max_drawup_z,201,5,0.0402312978236967,0.82,1.7489186766850806,0.05910954324465293
fvg_bullish_count_10_z,64,3,0.05810994610405987,0.7333333333333334,0.7681731092552201,0.059075493113295234
near_support_5,185,4,0.04582299509424215,0.8,0.8019655887085615,0.058999412452764084
vwap_spread,157,4,0.04296321209416287,0.8500000000000001,1.4786603795014455,0.05877462902664904
median_trade_size_z,83,5,0.03789617319256052,0.86,0.962971081912712,0.058394711362137953
inside_bar,178,5,0.03779964020512572,0.86,1.2039063609273124,0.05824596241301485
gap_abs_bps,15,3,0.04485814777319921,0.9333333333333332,1.8553393199975827,0.058040824154384246
graph_transition_uniformity,31,4,0.04193942626381402,0.85,0.9343487421883478,0.05737406725650921
cvd_max,106,4,0.04021193941842995,0.8500000000000001,1.0238147939864086,0.05501082685764575
low_volume_node_pct,32,3,0.0403992908320315,0.9666666666666667,1.9808299070313176,0.05413846543789816
taylor_rate_a1_z,34,3,0.04168125893171823,0.9333333333333332,1.7514299239675093,0.053930327939991106
ob_supply,95,3,0.04155870172272096,0.9333333333333332,1.471172758963214,0.05377175426342677
fair_value_change_bps_z,117,3,0.04821108934377253,0.8000000000000002,1.0364331694614486,0.05346780904057529
vol_price_feedback_z,86,5,0.03699587024080906,0.8,0.8833744679677601,0.05303016066104163
ew_impulse_detected,4,2,0.05321053115646625,0.9,1.2085272099387887,0.05261196907354603
post_shock_pause_ratio_z,91,4,0.03715533737435555,0.8500000000000001,0.9787509638229362,0.050829327326632374
downtick_pct,115,2,0.04817362403907175,0.95,1.4295252594095822,0.0502779285910516
failed_breakout_down_5,52,2,0.05351890174644665,0.85,1.8120255924646387,0.04997704466446733
taylor_complexity,167,3,0.03604473455589043,1.0,1.628020705487056,0.04996861226289417
taylor_ofi_a3,10,3,0.03841829765312454,0.9333333333333332,1.1756240047669981,0.04970846477366193
session_us,29,2,0.0475912989503532,0.95,1.4451583570895814,0.04967016656750895
breakout_vol_confirm_5_z,183,2,0.05644441504762495,0.8,0.6244620631223698,0.04960842239840316
sr_position_5_z,128,2,0.0529719217785973,0.8500000000000001,1.1053437423432033,0.04946626358728294
liq_sweep_count_10,40,4,0.03911158894329695,0.7750000000000001,0.9285877837405797,0.04878444739718238
vwap_gravity,196,2,0.04863503841909375,0.9,1.6029842150063334,0.04808794578035583
eigen_sum_z,84,2,0.04368807765063905,1.0,1.0488357681633498,0.04799625897527866
value_area_overlap_pct,179,3,0.03946813933370073,0.8666666666666667,0.994566850509807,0.04741919780190969
max_up_sweep_z,204,3,0.04450823241877507,0.7666666666666666,1.0163814029175346,0.04730449224626373
taylor_complexity_z,168,4,0.03349301866402918,0.875,1.114036157227517,0.047166817284782545
near_resistance_10,132,3,0.0421762984065007,0.8000000000000002,1.0865963668850707,0.046775011723073405
kyle_lambda_z,143,4,0.03403778900453298,0.8500000000000001,1.2771016378624938,0.04656445186742874
engulfing_bullish,19,4,0.03844372662656863,0.75,0.9982196636312959,0.046404593346038886
bullish_patterns_5_z,122,2,0.0468916525364851,0.9,1.075928012565424,0.046364171141283904
vol_asymmetry,105,2,0.0489002978063761,0.8500000000000001,1.3595471794137421,0.04566409787617275
volume_autocorr,145,4,0.03528907463201113,0.8,1.2229124556201207,0.045436459685980125
trade_size_p75,81,3,0.0378068752872029,0.8666666666666667,1.0267495007959269,0.04542326361925068
hour_sin,28,2,0.045534817715113945,0.9,1.455745240393788,0.04502259927367787
escape_velocity,202,4,0.03187988248212175,0.875,1.267050314277598,0.044895105071836666
hilbert_amp_freq_corr,146,3,0.040442121333284974,0.8000000000000002,1.1504034937537841,0.044851747804847526
disposition_effect_z,156,2,0.0407874570906856,1.0,1.8013854601150352,0.04480960158335043
liq_void_up_bps_z,72,2,0.05286174518092065,0.75,0.8530773940166461,0.04355592214215124
taylor_curvature_trend_ratio_z,22,2,0.055600479724721694,0.7,0.6432678135204999,0.04275835919699493
dist_to_resistance_10_bps,58,2,0.048556403465269696,0.8,0.898615517300972,0.04267572923237766
