cluster,size,representative,composite,n_targets,members
69,1,is_swing_low,0.2500519355024087,10,is_swing_low
111,1,is_swing_high,0.23529277552363118,9,is_swing_high
126,20,close,0.16172834239485043,9,"close, poc_price, fair_price, twap, fair_value, value_area_low, vwap, vwap_buy, value_area_high, vwap_sell, low, high, pivot_r2, pivot_r1, open, pivot_pp, pivot_s1, last_swing_low, pivot_s2, last_swing_high"
125,4,avg_sell_size,0.14543620636954946,9,"avg_sell_size, eigen_sum, avg_trade_size, avg_buy_size"
132,1,trade_size_p25,0.14406803976952406,6,trade_size_p25
130,3,shannon_size_diversity,0.13782277149168884,7,"shannon_size_diversity, simpson_diversity, fib_size_max_med_dist"
128,2,trade_size_p75,0.1353797278049897,8,"trade_size_p75, trade_size_iqr"
214,3,market_pressure,0.12546430976535636,9,"market_pressure, absorption_ratio, bernoulli"
140,2,te_net_direction_z,0.12277014014720922,6,"te_net_direction_z, te_volume_to_price_z"
48,1,liq_void_down_bps_z,0.116719829048694,9,liq_void_down_bps_z
127,2,hilbert_std_amplitude,0.1147074016343274,5,"hilbert_std_amplitude, hilbert_mean_amplitude"
138,5,avg_surprise,0.10694530607243917,6,"avg_surprise, zero_crossing_rate, rle_compression_ratio, te_net_direction, te_volume_to_price"
178,4,max_down_sweep,0.10361035353222796,6,"max_down_sweep, max_monotonic_run, sweep_count, max_up_sweep"
136,4,sample_entropy,0.10262070272647597,8,"sample_entropy, approx_entropy, sample_entropy_z, approx_entropy_z"
89,1,fvg_bearish_size_bps_z,0.10145595978403878,6,fvg_bearish_size_bps_z
109,1,resistance_touches_20_z,0.09651351570725998,7,resistance_touches_20_z
190,3,atr_percentile_5_z,0.0947919223031004,7,"atr_percentile_5_z, atr_percentile_5, atr_5_z"
20,1,taylor_dominant_order,0.09304831360346667,5,taylor_dominant_order
39,2,price_volume_angle_cos_z,0.09219835357191793,7,"price_volume_angle_cos_z, price_volume_angle_cos"
165,2,vol_price_feedback,0.09052422686177874,5,"vol_price_feedback, vol_price_feedback_z"
141,4,avg_surprise_z,0.08896918154578651,6,"avg_surprise_z, zero_crossing_rate_z, rle_compression_ratio_z, mi_side_return_z"
54,2,pv_principal_angle_z,0.08860996794454643,6,"pv_principal_angle_z, pv_principal_angle"
41,2,golden_ratio_half_dist_z,0.08774501625933492,6,"golden_ratio_half_dist_z, golden_ratio_half_dist"
29,1,session_asia,0.08730432723359013,5,session_asia
122,2,hilbert_mean_freq,0.08427705580028777,2,"hilbert_mean_freq, hilbert_mean_freq_z"
193,1,atr_percentile_14,0.08409395231932833,5,atr_percentile_14
201,1,size_gini_z,0.08403064385905666,5,size_gini_z
21,1,taylor_asymmetry_curvature_ratio,0.08288680964014081,5,taylor_asymmetry_curvature_ratio
200,2,simpson_diversity_z,0.08276285213483946,7,"simpson_diversity_z, shannon_size_diversity_z"
131,2,median_trade_size,0.08256474483864508,6,"median_trade_size, fib_size_ratio_pct"
30,1,hour_sin,0.08136317954212187,4,hour_sin
107,1,fvg_bearish_count_10,0.08075126869137698,3,fvg_bearish_count_10
145,2,liq_pool_below_20,0.07917235476513401,7,"liq_pool_below_20, liq_pool_below_20_z"
124,1,permutation_entropy,0.0784819154081683,4,permutation_entropy
17,1,auction_clearing_speed_z,0.07827445600461984,6,auction_clearing_speed_z
121,2,hilbert_std_freq,0.07607157972623455,6,"hilbert_std_freq, hilbert_std_freq_z"
135,2,vpin,0.07514005898857576,5,"vpin, vpin_z"
182,1,max_buy_run,0.07509116632940484,5,max_buy_run
14,1,fib_wave_avg_dist_z,0.07447251344621653,4,fib_wave_avg_dist_z
211,2,tortuosity_z,0.07423787130889904,7,"tortuosity_z, upper_wick_rejection_z"
28,2,hour_cos,0.07409526630445386,7,"hour_cos, session_europe"
35,36,busiest_quartile,0.07355524711563756,4,"busiest_quartile, trade_rate_decay, large_trade_centroid, buy_centroid, activity_ramp, volume_ramp_z, trade_rate_decay_z, activity_centroid, activity_centroid_vol_z, activity_centroid_vol, fib_time_vol_pct, fib_time_vol_surprise, volume_ramp, busiest_vol_quartile, front_back_vol_ratio, volume_acceleration, first_half_volume_pct, front_back_vol_ratio_z, activity_ramp_z, buy_centroid_z, activity_centroid_z, volume_acceleration_z, large_trade_centroid_z, sell_centroid, population_growth_rate, volume_q1_pct, volume_pct_q1, sell_centroid_z, fib_time_trade_pct, trade_pct_q1, population_growth_rate_z, fib_time_vol_surprise_z, fib_time_vol_pct_z, volume_pct_q1_z, trade_pct_q1_z, fib_time_trade_pct_z"
