feature,cluster,n_targets,mean_avg_r,mean_avg_sign,mean_avg_snr,composite
is_swing_low,69,10,0.10640791494166416,0.9800000000000001,4.810977075810655,0.2500519355024087
is_swing_high,111,9,0.10218635404161353,1.0,7.1392866879963925,0.23529277552363118
close,126,9,0.07023772666944328,1.0,2.6991808785428537,0.16172834239485043
poc_price,126,9,0.07006179005422418,1.0,2.6983434626689298,0.1613232333673351
fair_price,126,9,0.06996140811631388,1.0,2.70868810888482,0.16109209541349698
twap,126,9,0.06994621341322109,1.0,2.7264904624857,0.16105710831666306
fair_value,126,9,0.0699353171277549,1.0,2.7103219749476786,0.16103201869217962
value_area_low,126,9,0.06988334109473432,1.0,2.6857080159642193,0.16091233945335345
vwap,126,9,0.06982510788347653,1.0,2.698674822745253,0.1607782525291941
vwap_buy,126,9,0.06982200436712209,1.0,2.6943638173897573,0.1607711064187005
value_area_high,126,9,0.06977018168860079,1.0,2.684906617354604,0.16065178029165833
vwap_sell,126,9,0.0697537629827464,1.0,2.6967044867562566,0.16061397482431175
low,126,9,0.06940866218332128,1.0,2.656607389583621,0.15981935086797516
high,126,9,0.0692197541725609,1.0,2.6622313512031903,0.15938437409845116
pivot_r2,126,9,0.06867014766279855,1.0,2.5885727926379922,0.15811885834205988
pivot_r1,126,9,0.06860081744353302,1.0,2.637897612415701,0.15795921961268505
open,126,9,0.06853214884457866,1.0,2.6254048718573597,0.15780110432037595
pivot_pp,126,9,0.06805086245300172,1.0,2.6149229858452463,0.15669290144967
pivot_s1,126,9,0.0677959017896264,1.0,2.5808326989478605,0.1561058328268821
last_swing_low,126,9,0.0673556664991985,1.0,2.640354498277068,0.1550921536097329
pivot_s2,126,9,0.06658678017943835,1.0,2.4902460516515306,0.15332172743164615
last_swing_high,126,9,0.06430914987567754,1.0,2.6758869595984347,0.148077289846855
avg_sell_size,125,9,0.06534014678817714,0.9666666666666666,1.6797274740675487,0.14543620636954946
trade_size_p25,132,6,0.07793297560633446,0.9500000000000001,2.149370725253575,0.14406803976952406
eigen_sum,125,9,0.0627923572978535,0.9888888888888889,1.590248952837422,0.14297824869168232
avg_trade_size,125,11,0.0586927603507559,0.9727272727272727,1.6896698917114976,0.141868411476643
shannon_size_diversity,130,7,0.06723930447673555,0.9857142857142858,1.912757380559902,0.13782277149168884
avg_buy_size,125,11,0.0577876337214481,0.9545454545454546,1.7030920028722725,0.13706974461403332
trade_size_p75,128,8,0.062393893031982554,0.9875,1.6331218830983563,0.1353797278049897
trade_size_iqr,128,8,0.061844877388146216,0.9875,1.617161000816529,0.13418849602233515
market_pressure,214,9,0.05769366078377068,0.9444444444444444,1.2528642142772106,0.12546430976535636
