feature,cluster,n_targets,mean_avg_r,mean_avg_sign,mean_avg_snr,composite
is_swing_low,69,10,0.10640791494166416,0.9800000000000001,4.810977075810655,0.2500519355024087
is_swing_high,111,9,0.10218635404161353,1.0,7.1392866879963925,0.23529277552363118
close,126,9,0.07023772666944328,1.0,2.6991808785428537,0.16172834239485043
avg_sell_size,125,9,0.06534014678817714,0.9666666666666666,1.6797274740675487,0.14543620636954946
trade_size_p25,132,6,0.07793297560633446,0.9500000000000001,2.149370725253575,0.14406803976952406
shannon_size_diversity,130,7,0.06723930447673555,0.9857142857142858,1.912757380559902,0.13782277149168884
trade_size_p75,128,8,0.062393893031982554,0.9875,1.6331218830983563,0.1353797278049897
market_pressure,214,9,0.05769366078377068,0.9444444444444444,1.2528642142772106,0.12546430976535636
te_net_direction_z,140,6,0.06526693604912358,0.9666666666666667,2.842937989506694,0.12277014014720922
liq_void_down_bps_z,48,9,0.06002855252116422,0.8444444444444446,1.2922682995259946,0.116719829048694
hilbert_std_amplitude,127,5,0.06401941979620003,1.0,1.9309486656614367,0.1147074016343274
avg_surprise,138,6,0.062217753413040144,0.8833333333333333,1.3087005198056174,0.10694530607243917
max_down_sweep,178,6,0.0591613210361731,0.9,1.5487246169261573,0.10361035353222796
sample_entropy,136,8,0.05189410504758337,0.9,1.9625587646777918,0.10262070272647597
fvg_bearish_size_bps_z,89,6,0.060159287949864935,0.8666666666666668,1.4422409595320833,0.10145595978403878
resistance_touches_20_z,109,7,0.05076442674100841,0.9142857142857144,1.4028623041668418,0.09651351570725998
atr_percentile_5_z,190,7,0.051467250191457224,0.8857142857142856,1.3673177164348884,0.0947919223031004
taylor_dominant_order,20,5,0.054095054796633055,0.96,1.6946164949873157,0.09304831360346667
price_volume_angle_cos_z,39,7,0.050879713242313274,0.8714285714285713,1.5956945066301496,0.09219835357191793
vol_price_feedback,165,5,0.056136147746549535,0.9,1.4938980896055523,0.09052422686177874
avg_surprise_z,141,6,0.047297705087972174,0.9666666666666667,1.9755224750502531,0.08896918154578651
pv_principal_angle_z,54,6,0.05059612849348794,0.9,1.3592192142775195,0.08860996794454643
golden_ratio_half_dist_z,41,6,0.047465282533556884,0.9500000000000001,1.4105800122730872,0.08774501625933492
session_asia,29,5,0.049719870176504186,0.9800000000000001,2.4774873310892445,0.08730432723359013
hilbert_mean_freq,122,2,0.07671228209404075,1.0,2.7999497141940677,0.08427705580028777
atr_percentile_14,193,5,0.061754905813304006,0.76,0.764891637970942,0.08409395231932833
size_gini_z,201,5,0.04885249509758628,0.96,2.026630401464552,0.08403064385905666
