feature,n_cont_positive_r2,n_bin_significant,avg_r2,avg_auc_dev,total_useful
is_swing_low,16,51,-0.012175572102490375,0.08201704823263226,67
is_swing_high,16,48,-0.011882157758209683,0.06225358811856379,64
avg_buy_size,15,48,-0.012852154834443416,0.041860415352455584,63
volume_autocorr,12,51,-0.015133129588842394,0.07583157465845194,63
low,12,49,-0.013870203935410589,0.06556450485272483,61
max_monotonic_run,15,44,-0.005243718962434938,0.08149451982081479,59
donchian_mid_dist_bps_20,6,52,-0.03672824610203282,0.05425772755370163,58
vol_price_feedback_z,7,50,-0.025762236780684674,0.07512760762705327,57
fvg_bearish_count_10,7,50,-0.038053134983684116,0.04821691777137138,57
vol_price_feedback,6,51,-0.026557142387408313,0.06545588845773141,57
dist_to_resistance_10_bps,6,50,-0.02954477642612507,0.06154792742199419,56
breakout_down_count_10,6,50,-0.041979649703569544,0.04989557759087274,56
donchian_width_bps_10,4,51,-0.03411397137560971,0.05921642337340708,55
resistance_touches_20,6,49,-0.024832946328479096,0.05034273396170708,55
resistance_touches_10,6,49,-0.028357038967584174,0.034520633366315875,55
liq_pool_above_10,6,49,-0.027940937940173473,0.04138817330938152,55
bos_net_5,6,48,-0.03498234713698482,0.0288584612995255,54
turbulence_z,4,50,-0.026426538209175343,0.03988696555276228,54
hilbert_amp_freq_corr,8,46,-0.01842824384178001,0.032519596085594515,54
support_touches_20,6,48,-0.030657649499160743,0.0679772466303458,54
golden_ratio_half_dist,7,47,-0.025127626501627576,0.0564363776044996,54
range_compression_5,7,47,-0.02610693724472526,0.04982203224777034,54
hh_streak_z,4,49,-0.02497705364705219,0.06683449358060867,53
dist_to_support_10_bps_z,4,49,-0.02475505724213388,0.07388251317567296,53
avg_sell_size_z,2,51,-0.02888665595286079,0.05321602968591262,53
sr_position_5_z,4,49,-0.026286480622742168,0.0626794538455739,53
volume_pct_q4_z,4,49,-0.026570320920641453,0.05342710095278592,53
wavelet_energy_s4,4,49,-0.026144492624499704,0.06978217406178863,53
time_to_high_pct,4,49,-0.027454048948351406,0.07278531108297354,53
micro_fear_greed,4,49,-0.028049273650581383,0.04956294136014155,53
side_sequence_entropy_z,2,51,-0.026385094583308004,0.08138972813057689,53
hilbert_mean_amplitude,4,49,-0.025260119027135132,0.04275544071373452,53
median_trade_size_z,6,46,-0.0275605784993004,0.039288338398114936,52
avg_surprise_z,3,49,-0.024057875343109048,0.04624784064304959,52
te_net_direction_z,2,50,-0.024104190659639414,0.05088252808683466,52
hilbert_std_amplitude,1,51,-0.02440586085732756,0.06170348398693216,52
micro_fear_score,4,48,-0.029365170386371712,0.0493423354055817,52
max_buy_run_z,2,50,-0.02857293957905314,0.07232184802435822,52
vpin_z,3,49,-0.026054511737507904,0.0688933346578958,52
fib_updown_golden_dist_z,4,47,-0.027052809778498825,0.03513660879376053,51
ob_demand_count_10,6,45,-0.02991297152718549,0.028963242990761744,51
trade_imbalance_z,2,49,-0.02775629591929266,0.042719787161277605,51
atr_percentile_14_z,3,48,-0.027263581048962697,0.0680934968156204,51
eigen_ratio_z,2,49,-0.027263447790125173,0.10129270855785268,51
trade_size_p25_z,6,45,-0.026894352779790947,0.07092913791697966,51
price_volume_angle_cos,4,47,-0.028056306845594625,0.060310430212996494,51
breakout_down_bps_20_z,4,47,-0.030577108566618535,0.04989274621947327,51
taylor_vol_accel_ratio,2,49,-0.02948729179882151,0.04712578570301124,51
lz_complexity_z,2,49,-0.027132297545324844,0.046387533915778593,51
auction_clearing_speed_z,4,47,-0.027357604198919756,0.04348371760634093,51
convex_hull_area,2,49,-0.027860104649732598,0.07894203363546716,51
price_tick_entropy,4,47,-0.02575158024352278,0.04585576617944712,51
volume_skewness,4,47,-0.022814022061222326,0.06283909114883225,51
taylor_ofi_r2,4,46,-0.02717581287745668,0.030835892227717508,50
golden_ratio_bs_dist,2,48,-0.02760270876094902,0.054664739084943834,50
gap_abs_bps,4,46,-0.02684919648304238,0.05047989097404511,50
bos_bullish,2,48,-0.027079824142104133,0.029710794933802367,50
post_shock_pause_ratio,4,46,-0.024997343082366827,0.04478515237300277,50
max_down_sweep_z,1,49,-0.028437544446517644,0.0735542577270045,50
price_dipole,2,48,-0.027123883414761574,0.047018786517294554,50
disposition_buy,0,50,-0.029411211357110577,0.059796495193568076,50
fib_bounce_count_z,1,49,-0.028648472948813803,0.09605358745087357,50
down_move_vol_pct,4,46,-0.026546284291479944,0.05447980645609606,50
engulfing_bearish,4,46,-0.02593360226603085,0.0207239596757845,50
eigen_ratio,0,50,-0.03043847354543216,0.09541546418457021,50
vwap_spread,2,48,-0.027277591883451142,0.04473055799445984,50
escape_velocity,2,47,-0.032317069243654586,0.11485534614985196,49
vol_asymmetry,2,47,-0.027264724835277653,0.058348705849346275,49
max_up_sweep_z,3,46,-0.02821971423475068,0.07079046725793234,49
area_above_vwap_pct_z,2,47,-0.026335617478329573,0.06393018044184734,49
dist_to_support_5_bps_z,2,47,-0.026660916772200005,0.0441017598161392,49
consecutive_direction_z,2,47,-0.02700276078627951,0.042267314482677475,49
fvg_bearish_size_bps_z,0,49,-0.032279435195930475,0.035644306522451076,49
cvd_max,0,49,-0.029819148412129654,0.06784735935491365,49
range_compression_10,2,47,-0.026289286042596845,0.05194877542648316,49
ob_supply_count_10,0,49,-0.026340963097051827,0.028575061746127728,49
disposition_effect_z,2,47,-0.027946246997362915,0.06086595680703349,49
breakout_vol_confirm_5_z,0,49,-0.028061420088772614,0.06268287960351232,49
fib_nearest_level,2,47,-0.02759819323785155,0.06363783989801718,49
size_escalation_z,0,49,-0.027373427955871592,0.05726684660033939,49
boltzmann_entropy_z,2,47,-0.026292967457126813,0.08077113478731676,49
inter_trade_entropy_z,4,45,-0.02644650832306119,0.09020122237799763,49
ll_count_10_z,2,47,-0.03143450081914549,0.05900354575534594,49
donchian_width_bps_10_z,2,46,-0.02820484239730372,0.062569450405009,48
graph_edge_count_z,0,48,-0.029861467499070465,0.05343175860860432,48
fib_intertime_ratio_pct_z,2,46,-0.029658699755658074,0.07592751852108474,48
liq_void_count_10_z,0,48,-0.025023666305399754,0.041291032561056186,48
max_drawup_z,0,48,-0.029729405692349036,0.07711120699856082,48
absorption_ratio,0,48,-0.026951894094615524,0.04643448775857723,48
range_compression_20,0,48,-0.033152338929193746,0.05354389227416246,48
atr_percentile_14,0,48,-0.022543435106239407,0.05322311675771858,48
inside_bar,2,46,-0.027073749006615154,0.042599363139582576,48
fib_time_trade_pct,0,48,-0.02695112838180327,0.035173043873890635,48
donchian_width_change_10,0,48,-0.030776511690202138,0.0737351405360029,48
upper_wick_ratio_z,0,48,-0.028368766730384156,0.046125516762619,48
size_imbalance,0,48,-0.026322658139848763,0.04014596832493623,48
volume_per_second_std_z,0,48,-0.03112846295148269,0.08730867254458902,48
support_touches_10_z,0,48,-0.031153837633643038,0.05544993338135503,48
breakout_down_bps_5_z,2,46,-0.03118953797061158,0.0643444135516307,48
rle_compression_ratio,2,46,-0.023265294106882082,0.06379642226325519,48
predator_follows_prey,2,46,-0.02776061162082068,0.03597098539003639,48
range_atr_ratio_5_z,1,47,-0.026478485823753953,0.09102341363899188,48
eigen_sum_z,0,48,-0.028019996639966512,0.07094280913939852,48
hour_sin,0,48,-0.025980502186295457,0.05442644292400659,48
ofi_persistence,2,46,-0.02694449622182789,0.05478974219211429,48
time_to_low_pct,2,46,-0.02795106507317787,0.04774643073300245,48
vwap_gravity,0,48,-0.02648739068674702,0.05087715296948302,48
taylor_complexity_z,0,48,-0.02675862332485133,0.04676119357969137,48
downtick_pct,2,46,-0.028236756770915285,0.07033291227043761,48
hurst_regime_z,4,44,-0.027881224243200504,0.04145830381117829,48
pv_principal_angle_z,0,48,-0.02698470395117839,0.06438643686689084,48
golden_quartile_pairs_z,0,48,-0.027201648971335476,0.04243190896199273,48
fib_size_ratio_pct_z,0,47,-0.027875085195552023,0.046102221778647486,47
hilbert_std_amplitude_z,0,47,-0.029064317694955585,0.049133100904512686,47
post_shock_pause_ratio_z,4,43,-0.02783041416834402,0.05976014310868908,47
hour_cos,0,47,-0.02651333679471117,0.052604615839356425,47
atr_percentile_10_z,0,47,-0.03262188047956048,0.061006172209828624,47
lyapunov_exponent,2,45,-0.027391087168269157,0.06151677067143217,47
ew_wave_symmetry,0,47,-0.02689394166517912,0.03950348830823703,47
hh_count_10_z,0,47,-0.03087128739441659,0.05276475862464947,47
energy_ratio,2,45,-0.029793026612436185,0.06933839140333055,47
ob_net_10_z,2,45,-0.02744378241738558,0.03425692939270651,47
chebyshev_distance_z,0,47,-0.028467556867559453,0.07897284888125158,47
equal_lows_20,0,47,-0.028414794706710163,0.05594063630650987,47
fib_wave_avg_dist_z,0,47,-0.028135292604406986,0.03617844557106022,47
bullish_patterns_5_z,2,45,-0.030632201826127785,0.05705548496308258,47
orbital_energy,0,47,-0.05481577348321781,0.09409603606126765,47
permutation_entropy,2,45,-0.024679702616498635,0.05505239885415826,47
temporal_dipole,2,45,-0.02757359007033914,0.05015802192891482,47
failed_breakout_up_5,0,47,-0.028210362630669127,0.02961784104741423,47
avg_lower_wick_5_z,2,45,-0.027979252263155827,0.053821192335339205,47
lower_low,2,44,-0.02904565230604738,0.05600138093303675,46
hilbert_mean_freq_z,2,44,-0.02560656309669168,0.02638457183161587,46
value_area_overlap_pct,0,46,-0.02770990720103391,0.08623973743295148,46
fib_total_crosses_z,0,46,-0.026710936937868014,0.05151427570929942,46
breakout_down_bps_20,1,45,-0.03742779086357954,0.017976184216637166,46
