feature,target,mean_oos,pct_positive,n_folds,snr,metric
is_swing_low,tgt_ret_1,0.05661217416220883,1.0,5,2.0112860228410496,R2
is_swing_high,tgt_ret_1,0.04589729490306271,1.0,5,1.7216970076189975,R2
is_swing_low,tgt_ret_risk_adj_1,0.04788592214181575,1.0,5,2.417734283296912,R2
is_swing_high,tgt_ret_risk_adj_1,0.04660881788235303,1.0,5,3.168857094244325,R2
avg_buy_size,tgt_realized_vol_10,0.03128351571449628,0.8,5,0.7544790624839189,R2
max_monotonic_run,tgt_range_bps_1,0.08143636285142172,1.0,5,0.9626361904355769,R2
max_monotonic_run,tgt_range_bps_3,0.03874451889981993,0.8,5,0.9251703155161072,R2
max_monotonic_run,tgt_range_bps_5,0.02121134934994351,0.6,5,0.3215513496817642,R2
is_swing_low,tgt_best_long_entry_pct,0.07290621183039618,1.0,5,2.1050220986846644,R2
is_swing_high,tgt_best_long_entry_pct,0.07264938916457948,1.0,5,2.301617197102607,R2
is_swing_low,tgt_best_short_entry_pct,0.07290621183039614,1.0,5,2.1050220986846604,R2
is_swing_high,tgt_best_short_entry_pct,0.07264938916457948,1.0,5,2.3016171971026123,R2
is_swing_low,tgt_slippage_long_bps,0.05498406002174174,1.0,5,1.7684059600886413,R2
is_swing_high,tgt_slippage_long_bps,0.04687074928551136,0.8,5,1.516768808770002,R2
is_swing_low,tgt_slippage_short_bps,0.05498406002174174,1.0,5,1.7684059600886413,R2
is_swing_high,tgt_slippage_short_bps,0.04687074928551136,0.8,5,1.516768808770002,R2
max_monotonic_run,tgt_fwd_spread_bps_1,0.06528226630174319,0.8,5,0.8895278534515845,R2
max_monotonic_run,tgt_fwd_spread_bps_3,0.08073364482628416,0.6,5,0.9229858864917225,R2
max_monotonic_run,tgt_inventory_cost_5,0.030430168182442086,0.6,5,0.3372127132140183,R2
is_swing_low,tgt_relative_ret_1,0.06424347059289559,1.0,5,2.0440071292048727,R2
is_swing_high,tgt_relative_ret_1,0.052400413696765,1.0,5,1.9637266054074087,R2
resistance_touches_20,tgt_relative_ret_1,0.02270310350971285,1.0,5,3.0577318333520673,R2
support_touches_20,tgt_relative_ret_1,0.020908824162515806,0.8,5,1.2747463038498832,R2
