feature,target,mean_oos,pct_positive,n_folds,snr,metric
is_swing_low,tgt_ret_1,0.06454688106931927,1.0,5,2.693906966159861,R2
is_swing_high,tgt_ret_1,0.0447406127963967,1.0,5,2.6273713003632237,R2
is_swing_low,tgt_ret_risk_adj_1,0.05896014567324568,1.0,5,2.1781603435400587,R2
is_swing_high,tgt_ret_risk_adj_1,0.04260908314588863,1.0,5,3.716409294596606,R2
is_swing_low,tgt_best_long_entry_pct,0.10492520235628558,1.0,5,8.951774465629194,R2
is_swing_high,tgt_best_long_entry_pct,0.09048482649817113,1.0,5,4.4897594483214585,R2
is_swing_low,tgt_best_short_entry_pct,0.10492520235628558,1.0,5,8.951774465629184,R2
is_swing_high,tgt_best_short_entry_pct,0.09048482649817113,1.0,5,4.489759448321456,R2
is_swing_low,tgt_slippage_long_bps,0.07987680304699163,1.0,5,3.259608418320036,R2
is_swing_high,tgt_slippage_long_bps,0.05342398816802907,1.0,5,2.2116683512044477,R2
is_swing_low,tgt_slippage_short_bps,0.07987680304699163,1.0,5,3.259608418320036,R2
is_swing_high,tgt_slippage_short_bps,0.05342398816802907,1.0,5,2.2116683512044477,R2
is_swing_low,tgt_relative_ret_1,0.07106251819480673,1.0,5,2.5873740379493575,R2
is_swing_high,tgt_relative_ret_1,0.054699482106436895,1.0,5,2.639605653170386,R2
donchian_mid_dist_bps_20,tgt_relative_ret_1,0.041298117562067624,1.0,5,4.00560225706893,R2
resistance_touches_20,tgt_relative_ret_1,0.028060246010596535,1.0,5,1.7697479858332157,R2
resistance_touches_20_z,tgt_relative_ret_1,0.021751801247430168,1.0,5,2.046888661105995,R2
support_touches_20,tgt_relative_ret_1,0.02124414258661056,1.0,5,2.1760931989987315,R2
donchian_mid_dist_bps_20,tgt_relative_ret_3,0.03848151927848094,1.0,5,2.1412173606218152,R2
resistance_touches_20,tgt_relative_ret_3,0.026319706967126023,0.8,5,1.2831956787459895,R2
donchian_mid_dist_bps_20,tgt_relative_ret_5,0.0442819433408322,1.0,5,2.175020421217622,R2
resistance_touches_20,tgt_relative_ret_5,0.02567504571721162,0.8,5,1.4746042500921985,R2
fvg_bearish_count_10,tgt_relative_ret_5,0.023815502238744603,1.0,5,2.0254774516445373,R2
breakout_down_count_10,tgt_relative_ret_5,0.021076952483932244,1.0,5,1.5613170467832835,R2
is_swing_low,tgt_alpha_1,0.07106251819480673,1.0,5,2.5873740379493575,R2
is_swing_high,tgt_alpha_1,0.054699482106436895,1.0,5,2.639605653170386,R2
donchian_mid_dist_bps_20,tgt_alpha_1,0.041298117562067624,1.0,5,4.00560225706893,R2
resistance_touches_20,tgt_alpha_1,0.028060246010596535,1.0,5,1.7697479858332157,R2
resistance_touches_20_z,tgt_alpha_1,0.021751801247430168,1.0,5,2.046888661105995,R2
support_touches_20,tgt_alpha_1,0.02124414258661056,1.0,5,2.1760931989987315,R2
donchian_mid_dist_bps_20,tgt_alpha_3,0.03848151927848094,1.0,5,2.1412173606218152,R2
resistance_touches_20,tgt_alpha_3,0.026319706967126023,0.8,5,1.2831956787459895,R2
donchian_mid_dist_bps_20,tgt_alpha_5,0.0442819433408322,1.0,5,2.175020421217622,R2
resistance_touches_20,tgt_alpha_5,0.02567504571721162,0.8,5,1.4746042500921985,R2
fvg_bearish_count_10,tgt_alpha_5,0.023815502238744603,1.0,5,2.0254774516445373,R2
