target,fold,score,n_train,n_test
tgt_adverse_selection_1,0,0.12103469129693767,720,270
tgt_adverse_selection_1,1,0.14393107989464426,990,270
tgt_adverse_selection_1,2,0.16054894179894175,1260,270
tgt_adverse_selection_1,3,0.14670954972785755,1530,270
tgt_adverse_selection_1,4,0.10798199385155904,1800,270
tgt_adverse_selection_3,0,0.05385375494071143,720,270
tgt_adverse_selection_3,1,0.08575429732549833,990,270
tgt_adverse_selection_3,2,0.005831866197183011,1260,270
tgt_adverse_selection_3,3,0.08695652173913038,1530,270
tgt_adverse_selection_3,4,0.08741220368744507,1800,270
tgt_adverse_selection_5,0,0.07783161720169596,720,270
tgt_adverse_selection_5,1,0.07241493592576231,990,270
tgt_adverse_selection_5,2,0.046776058587082225,1260,270
tgt_adverse_selection_5,3,0.04285557204904067,1530,270
tgt_adverse_selection_5,4,0.11561111111111111,1800,270
tgt_alpha_1,0,0.09565926071560393,720,270
tgt_alpha_1,1,0.16611800093334195,990,270
tgt_alpha_1,2,0.13928269047183428,1260,270
tgt_alpha_1,3,0.06041402705682153,1530,270
tgt_alpha_1,4,0.17627483202866423,1800,270
tgt_alpha_5,0,0.06524140718967364,720,270
tgt_alpha_5,1,0.04112391129967741,990,270
tgt_alpha_5,2,0.016982906696692,1260,270
tgt_alpha_5,3,0.015496206132510792,1530,270
tgt_alpha_5,4,0.022197857720172243,1800,270
tgt_autocorr_break_5,0,0.09964012595591532,720,270
tgt_autocorr_break_5,1,0.02851439127584765,990,270
tgt_autocorr_break_5,2,0.057700664224967335,1260,270
tgt_autocorr_break_5,3,0.00970017636684295,1530,270
tgt_autocorr_break_5,4,0.11755007327796785,1800,270
tgt_best_side_1,0,0.2659881302346221,720,270
tgt_best_side_1,1,,990,270
tgt_best_side_1,2,,1260,270
tgt_best_side_1,3,,1530,270
tgt_best_side_1,4,,1800,270
tgt_best_side_3,0,0.13502436863092593,720,270
tgt_best_side_3,1,0.163761801016703,990,270
tgt_best_side_3,2,0.16135970057538696,1260,270
tgt_best_side_3,3,,1530,270
tgt_best_side_3,4,,1800,270
tgt_best_side_5,0,,720,270
tgt_best_side_5,1,0.08975625823451916,990,270
tgt_best_side_5,2,0.16292385900229045,1260,270
tgt_best_side_5,3,0.12897702165267333,1530,270
tgt_best_side_5,4,0.15206056908314391,1800,270
tgt_breakout_any_10,0,0.48884758364312264,720,270
tgt_breakout_any_10,1,,990,270
tgt_breakout_any_10,2,,1260,270
tgt_breakout_any_10,3,0.4937578027465668,1530,270
tgt_breakout_any_10,4,0.4814126394052045,1800,270
tgt_breakout_any_3,0,0.38788167938931295,720,270
tgt_breakout_any_3,1,0.39538461538461533,990,270
tgt_breakout_any_3,2,0.3377862595419846,1260,270
tgt_breakout_any_3,3,0.2865290602933189,1530,270
tgt_breakout_any_3,4,0.375,1800,270
tgt_breakout_any_5,0,0.35634328358208955,720,270
tgt_breakout_any_5,1,0.47574626865671643,990,270
tgt_breakout_any_5,2,0.2640449438202248,1260,270
tgt_breakout_any_5,3,0.4915413533834586,1530,270
tgt_breakout_any_5,4,0.3754716981132076,1800,270
tgt_breakout_down_10,0,0.26101468624833124,720,270
tgt_breakout_down_10,1,0.27023878858474093,990,270
tgt_breakout_down_10,2,0.27538461538461534,1260,270
tgt_breakout_down_10,3,0.3214864993798302,1530,270
tgt_breakout_down_10,4,0.2920825771324863,1800,270
tgt_breakout_down_3,0,0.29332968835429196,720,270
tgt_breakout_down_3,1,0.3121093973969383,990,270
tgt_breakout_down_3,2,0.29872782446311863,1260,270
tgt_breakout_down_3,3,0.34796871893432313,1530,270
tgt_breakout_down_3,4,0.29742703533026116,1800,270
tgt_breakout_down_5,0,0.2742905982905983,720,270
tgt_breakout_down_5,1,0.2849469160768453,990,270
tgt_breakout_down_5,2,0.2902141825262232,1260,270
tgt_breakout_down_5,3,0.3553612048003766,1530,270
tgt_breakout_down_5,4,0.28544590138793047,1800,270
tgt_breakout_up_10,0,0.2371428571428571,720,270
tgt_breakout_up_10,1,0.29410149815671816,990,270
tgt_breakout_up_10,2,0.33738938053097345,1260,270
tgt_breakout_up_10,3,0.28436657681940714,1530,270
tgt_breakout_up_10,4,0.30332328505256967,1800,270
tgt_breakout_up_3,0,0.27937814357567436,720,270
tgt_breakout_up_3,1,0.31287985757259507,990,270
