target,fold,score,n_train,n_test
tgt_adverse_selection_1,0,0.1203586206896552,720,270
tgt_adverse_selection_1,1,0.13847547915865777,990,270
tgt_adverse_selection_1,2,0.13844797178130508,1260,270
tgt_adverse_selection_1,3,0.06404320987654322,1530,270
tgt_adverse_selection_1,4,0.15401724421989127,1800,270
tgt_adverse_selection_3,0,0.10002215330084185,720,270
tgt_adverse_selection_3,1,0.11766159591410841,990,270
tgt_adverse_selection_3,2,0.10167253521126762,1260,270
tgt_adverse_selection_3,3,0.03279454615426913,1530,270
tgt_adverse_selection_3,4,0.1462147451756557,1800,270
tgt_adverse_selection_5,0,0.10170096021947883,720,270
tgt_adverse_selection_5,1,0.028279049295774628,990,270
tgt_adverse_selection_5,2,0.07016666666666671,1260,270
tgt_adverse_selection_5,3,0.024413793103448267,1530,270
tgt_adverse_selection_5,4,0.1309813912272929,1800,270
tgt_alpha_1,0,0.13721131161611577,720,270
tgt_alpha_1,1,0.13962036364093922,990,270
tgt_alpha_1,2,0.15866054989277178,1260,270
tgt_alpha_1,3,0.07377987935823771,1530,270
tgt_alpha_1,4,0.18117609089654074,1800,270
tgt_alpha_5,0,0.06519620535892956,720,270
tgt_alpha_5,1,0.041582115362460925,990,270
tgt_alpha_5,2,0.06921308969562734,1260,270
tgt_alpha_5,3,0.012388621353937479,1530,270
tgt_alpha_5,4,0.05019561402856354,1800,270
tgt_autocorr_break_5,0,0.14280063291139244,720,270
tgt_autocorr_break_5,1,0.06731053222281291,990,270
tgt_autocorr_break_5,2,0.13109913422395503,1260,270
tgt_autocorr_break_5,3,0.01172413793103444,1530,270
tgt_autocorr_break_5,4,0.11985552389157672,1800,270
tgt_best_side_1,0,,720,270
tgt_best_side_1,1,,990,270
tgt_best_side_1,2,,1260,270
tgt_best_side_1,3,0.15217875229562017,1530,270
tgt_best_side_1,4,0.15512510974539073,1800,270
tgt_best_side_3,0,0.08986605182257357,720,270
tgt_best_side_3,1,0.16876286938616503,990,270
tgt_best_side_3,2,,1260,270
tgt_best_side_3,3,0.07501097453906935,1530,270
tgt_best_side_3,4,0.07326048171275645,1800,270
tgt_best_side_5,0,0.05873799725651574,720,270
tgt_best_side_5,1,0.18230769230769228,990,270
tgt_best_side_5,2,0.1404328857159045,1260,270
tgt_best_side_5,3,0.0722673397717295,1530,270
tgt_best_side_5,4,0.1188956635705738,1800,270
tgt_breakout_any_10,0,0.46654275092936803,720,270
tgt_breakout_any_10,1,,990,270
tgt_breakout_any_10,2,,1260,270
tgt_breakout_any_10,3,0.5,1530,270
tgt_breakout_any_10,4,0.4637952559300874,1800,270
tgt_breakout_any_3,0,0.32538167938931306,720,270
tgt_breakout_any_3,1,0.3915384615384616,990,270
tgt_breakout_any_3,2,0.4433801617709664,1260,270
tgt_breakout_any_3,3,0.3287213740458015,1530,270
tgt_breakout_any_3,4,0.3905917411664538,1800,270
tgt_breakout_any_5,0,0.3900375939849625,720,270
tgt_breakout_any_5,1,0.486267166042447,990,270
tgt_breakout_any_5,2,0.4937578027465668,1260,270
tgt_breakout_any_5,3,0.20018796992481203,1530,270
tgt_breakout_any_5,4,0.4222641509433963,1800,270
tgt_breakout_down_10,0,0.30592991913746626,720,270
tgt_breakout_down_10,1,0.2642051989878077,990,270
tgt_breakout_down_10,2,0.24570033264916125,1260,270
tgt_breakout_down_10,3,0.321828274688871,1530,270
tgt_breakout_down_10,4,0.28761061946902655,1800,270
tgt_breakout_down_3,0,0.3167548398348934,720,270
tgt_breakout_down_3,1,0.33024042950513544,990,270
tgt_breakout_down_3,2,0.30185464499189985,1260,270
