,tgt_ret_sign_1,tgt_ret_sign_3,tgt_ret_sign_5,tgt_ret_sign_10,tgt_vol_regime_5,tgt_vol_regime_10,tgt_vol_expansion_5,tgt_vol_expansion_10,tgt_mean_reversion_5,tgt_mean_reversion_10,tgt_regime_change_5,tgt_regime_change_10,tgt_breakout_up_3,tgt_breakout_down_3,tgt_breakout_any_3,tgt_breakout_up_5,tgt_breakout_down_5,tgt_breakout_any_5,tgt_breakout_up_10,tgt_breakout_down_10,tgt_breakout_any_10,tgt_consolidation_3,tgt_consolidation_5,tgt_fill_prob_long_1,tgt_fill_prob_short_1,tgt_fill_prob_long_3,tgt_fill_prob_short_3,tgt_fill_prob_long_5,tgt_fill_prob_short_5,tgt_tail_event_1,tgt_tail_event_3,tgt_tail_event_5,tgt_crash_3,tgt_crash_5,tgt_crash_10,tgt_liquidation_cascade_3,tgt_liquidation_cascade_5,tgt_mid_reversion_1,tgt_mid_reversion_3,tgt_adverse_selection_1,tgt_adverse_selection_3,tgt_adverse_selection_5,tgt_autocorr_break_5,tgt_profitable_long_1,tgt_profitable_short_1,tgt_profitable_long_3,tgt_profitable_short_3,tgt_profitable_long_5,tgt_profitable_short_5,tgt_profitable_long_10,tgt_profitable_short_10,tgt_optimal_action_1,tgt_optimal_action_3,tgt_optimal_action_5,tgt_best_side_1,tgt_best_side_3,tgt_best_side_5
open,,,,,,,0.4874519001791695,0.4766895490590603,0.4950089133152355,0.48297627218354744,0.5078997133850648,0.5016715066968644,0.4828725657833285,0.5099453745767035,0.47984634899453826,0.47739586168265635,0.5155730778454054,0.5167779542995881,0.4716136095530627,0.5243430611252212,0.5546798701274771,0.5006319119478858,0.5032638560834237,0.5148540826111342,0.551451368467886,0.5264584285932022,0.5110311554501594,0.4706656010960155,0.5115081927703398,0.4898230250998584,0.4939410967103576,0.4904895535797035,0.48904616337611495,0.4900225250229879,0.4895624474528883,0.4871117131967827,0.4888512069565481,0.5347258010162367,0.5176544971362496,0.5019200126878866,0.4935721167158047,0.49937066390175944,0.5126841689694419,0.5012246615767473,0.5063909199407731,0.49005624786915336,0.5179654576312709,0.47639904771721114,0.5253848491682981,0.47171696713373723,0.5323562844658513,,,,,,
high,,,,,,,0.4855023117073587,0.4733955445666891,0.4954887899342411,0.4830307437548344,0.506100549678036,0.49907070007767845,0.48423637594880037,0.5055655008300571,0.4733930843470705,0.47877471994961196,0.5110057680180781,0.5089468945474483,0.47292620353058723,0.5194740290296873,0.535707573071721,0.5065068046391058,0.5113715926131749,0.5146430014534445,0.5519545072194763,0.5260456358278718,0.5119341611859397,0.4695033679643795,0.5130963820800336,0.4890838974857637,0.4925909276609837,0.4887773413332242,0.48744267779075073,0.48817427072149044,0.48730880714009867,0.4859881365740741,0.48754179526748975,0.5348989911790354,0.5180013929931093,0.5018029308374818,0.49327163688139786,0.49905447947380355,0.5120540833037209,0.5014463337591287,0.5063836622614201,0.49031696627072346,0.5178497973905948,0.47678494435892005,0.525105275028335,0.47223938554675926,0.5318030936164343,,,,,,
low,,,,,,,0.4909842603022445,0.48234074778340374,0.49448927813242005,0.4834923903214912,0.5106470092479919,0.5056245828227521,0.4876708314075613,0.5096198647196233,0.48898491807348554,0.4823814983776927,0.5155528085781823,0.534603205596629,0.4768402592295822,0.5245377067466057,0.5908554854925316,0.4934612131362779,0.49228573617470006,0.5148621237980938,0.549476179551885,0.5254439109891785,0.5097368082894291,0.4702842790272862,0.5108979449324711,0.49077854526784953,0.4961474115968821,0.4937543730269195,0.49022353878432473,0.49176971732516184,0.49198194114674343,0.4879756038393191,0.49038855414851124,0.5336627231876753,0.5164731578342339,0.5015803326970892,0.49291697215881924,0.49891349512361083,0.5131058682785028,0.5004885147122677,0.5068622789009116,0.48923823610623185,0.5185836721417019,0.47574740967592144,0.5259235718217712,0.4712035452065375,0.53275133559225,,,,,,
close,,,,,,,0.4881059929433796,0.47784665328753384,0.4946353677389767,0.48311381290104694,0.5084473255642885,0.5025259476303247,0.49034876076114065,0.5032907878486903,0.48132428469463756,0.48480803673406925,0.5090904332865142,0.5213310336190226,0.478980295942644,0.5180209206413087,0.5575765728248011,0.5009945525013466,0.5033144288986722,0.5150199320921762,0.5494648828268924,0.5254518493115887,0.5097753583402451,0.4696061194200251,0.5116008886444465,0.4895428286678049,0.49412196800345287,0.4911634589453136,0.4884191031234638,0.48971145508255176,0.4895286932184826,0.4866153578610176,0.48873664820866625,0.5337303095926699,0.5164988538236308,0.501661239756505,0.4929401238837654,0.49886302692544465,0.5123513212467133,0.5006322810251882,0.506911729970626,0.48947486864910483,0.5185131482384902,0.47610844571845,0.5256516021399413,0.47174253063523797,0.5322512728445652,,,,,,
range,,,,,,,0.3802992421747005,0.30200774784453327,0.5315525811629472,0.48774934361756594,0.41250146531698784,0.3529851216944772,0.42085546385695904,0.41753243657173744,0.24174024019364448,0.41658191044153814,0.41484040251782994,0.20659560431107676,0.40999395328822413,0.41180620362609655,0.10948320022996724,0.7523002478622407,0.8097223864906471,0.531374701219647,0.608927367272171,0.5425732230859117,0.5641379390909197,0.4732024203676219,0.570852091373413,0.4590802752524471,0.4227062286991682,0.38942206535452206,0.43138878586101553,0.41619521305455465,0.39102247319456157,0.44862009855499435,0.43171759637496965,0.5734837881804519,0.5552592251982986,0.5053019018397177,0.5016494502178285,0.5046008489129379,0.4781623313872608,0.514808968629609,0.5024691197449459,0.5132072174610809,0.5006627272024726,0.50373017866242,0.5029191775869367,0.5049239815096549,0.5000792902562698,,,,,,
return,,,,,,,0.5168004857771408,0.5276133205178062,0.48593286535346286,0.4939863385299213,0.5096012693648713,0.5207969461878494,0.6941743290266504,0.3153656583244763,0.4818289551266137,0.6875213659507773,0.3229748813343839,0.5215253062258947,0.679970398625455,0.3343728956962483,0.423069694077238,0.5275719915667924,0.5221408248067413,0.49002591272497736,0.4507202096672158,0.488860945994005,0.4457040057007348,0.511245575978993,0.4688866298561051,0.49367386179287687,0.5045024817886795,0.5179842819427177,0.4854725440471592,0.49105255519036356,0.5006982120206969,0.49064268261316873,0.5003011245007262,0.4687257991388365,0.46382613282121676,0.49397818092198054,0.4885909440200105,0.4914038168680944,0.49756055722506004,0.4805145764451798,0.5162466664100032,0.4874126628355719,0.5130754538722482,0.49335757971930905,0.5065856424196918,0.505384565286694,0.4939358251942845,,,,,,
total_volume,,,,,,,0.3525610218383717,0.27493363542600135,0.509039063251252,0.46129794860062534,0.402877775801483,0.32421553021975347,0.42893584249375083,0.4340729814209162,0.2672600391012909,0.42759554124487886,0.42818950718083987,0.22480397696735532,0.42509968109468976,0.42171213679222114,0.09779135632760014,0.7216284002154593,0.7882373881004132,0.5083738910700608,0.5707505196493496,0.5296321698928009,0.5216779785755171,0.48835255166114855,0.5229839419847422,0.44576800853974596,0.4022220322028538,0.3667896158666358,0.41938843142074583,0.40004940603945033,0.36759110679428203,0.46044647867564525,0.4351970996732026,0.5421236962629412,0.5251692216143843,0.5064008116015329,0.4979873814025019,0.500404497294495,0.48747863917399603,0.5141334642546532,0.5008906395186103,0.5136643043166578,0.4972587405595025,0.5111498880002787,0.4952905564828265,0.5146024631807798,0.48970217148475537,,,,,,
total_notional,,,,,,,0.36404557967641493,0.28948194662480375,0.5077076136725078,0.46201969692017736,0.4133699258661705,0.3429548863770384,0.43262357255409756,0.4435825977955172,0.2874879748013902,0.4300309190455809,0.4393983167943725,0.25306620356810733,0.42688610418645145,0.43553474864017416,0.13803193743711833,0.6998151553662806,0.763702976250682,0.5120225796529826,0.5778413870292742,0.5305117360158512,0.5222573975211149,0.4758214408037447,0.5292378236244705,0.4477985471544682,0.4107187211153594,0.37875595003018325,0.4228546487639582,0.40599472854710095,0.37744445616338507,0.4615441159277965,0.44006681569232636,0.5476573331718769,0.5258792423740389,0.5052506347703378,0.49654549300989015,0.500074833943557,0.49324206473800336,0.5127170883007087,0.5021067560410426,0.5102251340731935,0.5019512566013518,0.5038190442870187,0.5022475196619364,0.5073624958439865,0.49756186351289544,,,,,,
total_trades,,,,,,,0.3620092684291298,0.2829721379342636,0.5400877277333551,0.4868873310019501,0.40491141691722077,0.33967054330839686,0.4398360361222683,0.4337557183764711,0.2734109281901688,0.43588608459189804,0.4291679513385329,0.2327627438392409,0.4282765233014799,0.4221042799854868,0.1097448616695474,0.7089241453171289,0.7753615724835743,0.5188987996518166,0.6057225732896758,0.5382388990499416,0.5651262222118385,0.499831030939605,0.5670963635408588,0.45178090652400943,0.4133307544990479,0.37632855480122873,0.43130106738096075,0.40810725628843536,0.37477166750033586,0.452204335016835,0.4320112979605423,0.565927252622024,0.5539852450924041,0.5056499059222048,0.5011380641320929,0.5032587110779898,0.483641282060398,0.5127095599094579,0.5038562469629603,0.507696611516359,0.5045637072768455,0.5020664109299948,0.5049275850550856,0.5084771785858955,0.4971560519364143,,,,,,
buy_volume,,,,,,,0.35864981386462824,0.28283736029623113,0.5194299176720345,0.47361669444716803,0.40590417584914185,0.33304568576727994,0.449808251453144,0.41704576204179594,0.2681204226663357,0.4484554892790847,0.41169102150762743,0.2270494527330803,0.44488921471885884,0.4075450727009714,0.09328414589652212,0.7196630714718557,0.787346519606629,0.5142278751766548,0.5664403845752779,0.5401679113956206,0.524325082064881,0.506797579632378,0.5278659246876921,0.4454726184887886,0.40514208698272314,0.37272983544059657,0.4195941823512887,0.40188908482458185,0.3722772019355213,0.4602512392442948,0.4385730603969983,0.5425292146929089,0.5311888452357607,0.5045983993990473,0.49520300407242207,0.4991384116903736,0.4864371971692184,0.5094999730795112,0.5040533228725634,0.5110150154198756,0.49964735449871567,0.510573090991141,0.49556462842100046,0.5151019625924564,0.4889187588611658,,,,,,
