,tgt_ret_1,tgt_ret_3,tgt_ret_5,tgt_cum_ret_5,tgt_cum_ret_10,tgt_sharpe_5,tgt_sharpe_10,tgt_profitable_long_3,tgt_profitable_long_5,tgt_profitable_short_3,tgt_profitable_short_5
open,0.0021544737710321726,0.007581057316701667,0.0008682333400793496,0.05550763048194973,0.10309886710890748,0.026031975141608044,0.0761704090661528,0.011795970760985597,0.015398453719421834,0.016087718987269017,0.01633703955070631
high,0.015870405660967535,0.0,0.008980010627500867,0.0494934100134099,0.11509112272507949,0.0283989648669305,0.07936862654433785,0.0035006733742366514,0.014952847228713484,0.005252945957602062,0.014849852974151645
low,0.00416704551740299,0.00016990084981038933,0.0,0.056102961385460226,0.11750610728100241,0.029346632684822183,0.07767240678317133,0.007576562704018741,0.014414895380267634,0.012020774450173022,0.01401871860434456
close,0.004752207927695373,0.0018747020834837258,0.009023395442106619,0.04718287434771273,0.12813337793646618,0.031031494585951336,0.0817516234200335,0.0034026429205415987,0.010406136908538421,0.005697472338277887,0.008976591229918895
range,0.044081462718087217,0.033697949392056614,0.022290374786274825,0.006311254036717173,0.01446142440442788,0.010061347470052162,0.0036182091946130868,0.0,0.0,0.0,0.0
return,0.0002169094300858987,0.007471062642550486,0.006777017899526783,0.0,0.0032918874811134202,0.0,0.0,0.009172071095707501,0.003910683925104852,0.008264165639108256,0.004414742047634146
total_volume,0.03036963746363419,0.017890480360447825,0.0021171038265288544,0.028797698994349474,0.0014058219150161477,0.005794417394513474,0.0001319024894579357,0.0018921635172306495,0.0,0.0024573379057741818,0.0
total_notional,0.037610039015471664,0.007443959775494058,0.016207253596386195,0.00841020849908869,0.025882909031743395,0.0,0.010851130652326013,0.0,0.0,0.0,0.0
total_trades,0.047552960251699083,0.014982952840626673,0.0058180228748971885,0.015030704521541871,0.03374095199507643,0.0,0.0,0.0,0.007540776290197115,0.0,0.005021560971144812
buy_volume,0.020016096619747792,0.014907206417431595,0.01637229454882938,0.016074004425650656,0.0,0.0,0.011585810156926613,0.0,0.0017581121114575993,0.0,0.004123837481227799
sell_volume,0.04683036161951737,0.006364875111546375,0.02017844744605668,0.019114467780636524,0.00959302805936968,0.0,0.0,0.0,0.0047397069112125045,0.0,0.004298222700594767
net_volume_delta,0.001976592119794063,0.005338803234889333,0.0,0.0,0.0,0.0,0.004642226125410431,0.0014881703158091675,0.007614151269934588,0.0017020511102927571,0.0012137967362808588
buy_sell_volume_ratio,0.0,0.0,0.0,0.0,0.0,0.011147672211551551,0.007707968953749145,0.006787164641739896,0.0022479944376145866,0.0037408383609336404,0.004654832190841063
buy_trades,0.05573902093675187,0.035589605906519495,0.003221759866994134,0.02894768332158204,0.028374917826008428,0.0,0.0041975927378423705,0.0006619160215284303,0.00048298138462099516,0.0015433388021190986,0.0
