,max_|spearman|,max_|auc-0.5|,max_mi,max_|spearman|_norm,max_|auc-0.5|_norm,max_mi_norm,composite
side_switches,0.4913243105418877,0.35746115173674586,0.04760708421636384,0.96418183513708,0.8153014100454328,0.3942784768425834,0.7245872406750321
market_temperature,0.4903878699100206,0.37894195612431447,0.03777388203422394,0.9623441506839441,0.8642950699746454,0.3128405975295157,0.7131599393960352
realized_vol,0.4903878699100206,0.37894195612431447,0.03777388203422394,0.9623441506839441,0.8642950699746454,0.3128405975295157,0.7131599393960352
large_trade_count,0.4695251576085756,0.3351234003656307,0.0540684941236762,0.9214028664829678,0.7643532158105336,0.4477914129621834,0.7111824984185615
parkinson_vol,0.42960623389900865,0.39488117001828155,0.045696246822697795,0.8430654012015587,0.9006494080604175,0.3784530578010716,0.7073892890210159
manhattan_distance,0.5095764021233972,0.381341407678245,0.027416303897991323,1.0,0.869767766030568,0.227059873955436,0.6989425466620013
candle_aspect_ratio,0.42956840735348184,0.3952810786106033,0.03988167227474193,0.8429911698490683,0.9015615240697379,0.33029716600487385,0.6916166199745599
buy_trades,0.47257253524629145,0.34540676416819016,0.04092167205436681,0.9273830838262699,0.7878076274787738,0.33891037002223257,0.6847003604424254
avg_visits_per_level,0.46993574321222287,0.33552330895795246,0.042994347613587,0.9222086055280577,0.7652653318198541,0.3560761212109451,0.6811833528529524
total_trades,0.46993574321222287,0.33552330895795246,0.04297657011820011,0.9222086055280577,0.7652653318198541,0.35592888926178046,0.681134275536564
trades_per_second,0.4699210481626758,0.33552330895795246,0.04283504139062,0.92217976775322,0.7652653318198541,0.3547567584317102,0.6807339526682613
sunflower_score,0.4699341995075351,0.33552330895795246,0.04199351340308333,0.9222055761399595,0.7652653318198541,0.34778728364433564,0.6784193972013831
garman_klass_vol,0.4353274484851136,0.37791361974405846,0.03780114918181532,0.8542927943113353,0.8619496288078213,0.3130664221015754,0.676436281740244
