,tgt_ret_sign_1,tgt_ret_sign_3,tgt_ret_sign_5,tgt_ret_sign_10,tgt_vol_regime_5,tgt_vol_regime_10,tgt_vol_expansion_5,tgt_vol_expansion_10,tgt_mean_reversion_5,tgt_mean_reversion_10,tgt_regime_change_5,tgt_regime_change_10,tgt_breakout_up_3,tgt_breakout_down_3,tgt_breakout_any_3,tgt_breakout_up_5,tgt_breakout_down_5,tgt_breakout_any_5,tgt_breakout_up_10,tgt_breakout_down_10,tgt_breakout_any_10,tgt_consolidation_3,tgt_consolidation_5,tgt_fill_prob_long_1,tgt_fill_prob_short_1,tgt_fill_prob_long_3,tgt_fill_prob_short_3,tgt_fill_prob_long_5,tgt_fill_prob_short_5,tgt_tail_event_1,tgt_tail_event_3,tgt_tail_event_5,tgt_crash_3,tgt_crash_5,tgt_crash_10,tgt_liquidation_cascade_3,tgt_liquidation_cascade_5,tgt_mid_reversion_1,tgt_mid_reversion_3,tgt_adverse_selection_1,tgt_adverse_selection_3,tgt_adverse_selection_5,tgt_autocorr_break_5,tgt_profitable_long_1,tgt_profitable_short_1,tgt_profitable_long_3,tgt_profitable_short_3,tgt_profitable_long_5,tgt_profitable_short_5,tgt_profitable_long_10,tgt_profitable_short_10,tgt_optimal_action_1,tgt_optimal_action_3,tgt_optimal_action_5,tgt_best_side_1,tgt_best_side_3,tgt_best_side_5
open,,,,,,,0.540679108319337,0.5348694441035056,0.42127789201127097,0.38184618895481515,0.5229638823169445,0.5154796183301673,0.48127545977192365,0.5170827310004753,0.4784635238060859,0.4758459596969518,0.5159576239707087,0.5321676588380072,0.453932865796086,0.5172692965217737,0.5299003085009141,0.48873845711524855,0.4896125880044627,0.541781512605042,0.42267268984446477,0.4015403925148334,0.4047075823256521,0.405717543573872,0.43514769616788324,0.5350205652882289,0.537542468178773,0.5414600422832981,0.5601904302484921,0.5487299249774047,0.5385778077791314,0.49938418068162027,0.49034296854977477,0.4773233623979893,0.40283076774946747,0.5034502339182136,0.48932100260538713,0.4875770278611059,0.5097306142531787,0.48452390037693777,0.5149411905467901,0.4836742368926754,0.5228645404538694,0.4726232167282277,0.5264751585671952,0.46416380446948813,0.5343589932877695,,,,,,
high,,,,,,,0.5371408811768438,0.530190670843317,0.4226182316655243,0.38222272934733,0.5224415743362336,0.5138154464154496,0.4831783167795762,0.5102820811573447,0.46862343428509545,0.4773165376873829,0.5089968211367583,0.5155848447820773,0.4550042694913243,0.5100442253812959,0.5157106946983547,0.49777159378572594,0.5038292652217555,0.5372638655462185,0.4257147758462946,0.39794614331355543,0.40973965067052,0.4031275452028018,0.43992358576642343,0.5332892073703306,0.5348504492056656,0.5383026427061312,0.5572371179202107,0.5457092822169078,0.5351736907640955,0.49688413229858136,0.4877212774136858,0.4768889440531231,0.4033242264132777,0.5025591070197903,0.48862579723104005,0.4868638875799729,0.5096913591176284,0.4842403052996921,0.5155941549489936,0.4840323712832018,0.5225765564415468,0.47282643858262297,0.5263739653381535,0.4641375597378846,0.5344008812226134,,,,,,
low,,,,,,,0.5463437868868656,0.5428378097133801,0.4199070900921483,0.3794728434504792,0.523547169323456,0.5171988743679206,0.48969445631951364,0.5158551443209067,0.4970734216510847,0.48446314163140625,0.515425101451324,0.5629220714276396,0.46286026251567197,0.5175466935532542,0.6035977490859232,0.4760119375714519,0.47090300535458846,0.539616806722689,0.4215176120768527,0.3980031948881789,0.4043780262123863,0.4041211923766086,0.43397867244525545,0.5380171765822359,0.5418198162902351,0.5467866807610994,0.5630094492298867,0.5524504253354771,0.5434042450695946,0.5028379555263107,0.494340835865705,0.475697396592919,0.40080879078556214,0.5027061045205211,0.48924666073314155,0.4871033293291566,0.510047567439624,0.483481805120514,0.5157759154350755,0.48319672437197353,0.5232759758259415,0.472196347149378,0.5267934761399858,0.463996273870517,0.534475844036703,,,,,,
close,,,,,,,0.5417402020685245,0.5369436098852132,0.42242784251009063,0.3807279780921954,0.52258701900908,0.5154936615156843,0.49380948366382266,0.5057991916189535,0.4814316139046313,0.48805308581420526,0.5053651421360954,0.5361856266333865,0.46563591558016065,0.507218777665069,0.5518238688299818,0.48684902212967496,0.4878000370729182,0.538547899159664,0.4249485361390668,0.4004335919671383,0.40809187010419046,0.4057012542759407,0.43731466697080296,0.5362527504367105,0.5384106483475293,0.5427928118393235,0.5595463547916095,0.5488101448479152,0.5393057369661802,0.49954403824195387,0.4908983359572364,0.4770658143792472,0.4038537918085862,0.5025740664827623,0.48900621610031364,0.48687684999601794,0.5095783695583296,0.483265505547887,0.5163100644537042,0.48382441893654515,0.522792129488235,0.4722669563753184,0.5268985095223347,0.46395737357663824,0.5345995378641011,,,,,,
range,,,,,,,0.3581784713302931,0.2983820994604864,0.523288401492651,0.5006846188954815,0.5021589376290149,0.4349729750325225,0.3928409068198478,0.4126428351773812,0.1850521604158394,0.38384085195734335,0.40343087389881993,0.12204794600964486,0.36787585067357353,0.3937362814338925,0.056558500914076784,0.80470387439436,0.8681734243135388,0.4609142857142857,0.5524473924977127,0.44319945230488367,0.5717798565163383,0.4335885323342565,0.6017193202554745,0.4280986503963988,0.3869547674019843,0.364750845665962,0.4119568252596275,0.3898841284743105,0.3579684388198004,0.3937129144007277,0.38029944531907883,0.5104198343004314,0.5041221851793903,0.4928987221502067,0.4852835235185749,0.4821320872268975,0.510223691371232,0.5108792670949246,0.5010476978218914,0.5085370402023226,0.4945733272029532,0.5009031967212435,0.49975360746077446,0.48692856764968573,0.5138022818970921,,,,,,
return,,,,,,,0.5194215619491345,0.5302290931795017,0.5235549463102582,0.49879050661798263,0.49063303985830453,0.5037975386323679,0.7192217157482867,0.2986675555491427,0.5256650904234198,0.7094980838235905,0.3093477851309136,0.5239795274974236,0.6963598394361692,0.32493294221266333,0.5831238574040218,0.4814729044177691,0.4969502278585493,0.47361344537815125,0.5340919487648674,0.5204016430853491,0.5237660658605218,0.5646848020850301,0.48748289233576636,0.5156438961300726,0.5165795371167895,0.5185803382663847,0.4923087575240416,0.4994450243503771,0.5117691286070225,0.5059534361634186,0.5086890857833266,0.5063207869178018,0.5220431595797177,0.4841553315837687,0.49937291542072315,0.4874432557275213,0.49566178334333544,0.47895589728445526,0.5217391575760413,0.5041820720807432,0.4975654146969778,0.5018101260887923,0.49843197199552636,0.4970808182132213,0.5026968986961032,,,,,,
total_volume,,,,,,,0.3150384533386026,0.23825263753328602,0.48398446424491665,0.503856686444546,0.5117090503217021,0.42791698191259475,0.403501017988873,0.42735324646513656,0.21474389055336962,0.395598509373951,0.4131426405235272,0.1071979892767223,0.3879510053297698,0.3943733747906613,0.04423274680073126,0.7626682522184116,0.8406590235832725,0.39439327731092433,0.5594922232387923,0.44176175262437245,0.6143179455978909,0.3431503502199055,0.6072935675182481,0.3956865383969363,0.3492030736593613,0.32011860465116276,0.3689955085913503,0.3521778722481546,0.3078843191704992,0.40926554547037985,0.38239894921832096,0.48353864771775223,0.5235596423026466,0.4971993599843092,0.492698943826991,0.49050363030608723,0.50721455808735,0.5132172933478445,0.49901545536359904,0.5125922665374493,0.4868859384129176,0.5141755538210271,0.4859963101316113,0.5102496568994079,0.49129239001980557,,,,,,
total_notional,,,,,,,0.33713765723229566,0.2629957682065841,0.4615337750361739,0.47594705613874944,0.514846130309808,0.43618918021543773,0.40663159507588803,0.4343219708481417,0.22236400389849473,0.3969242098239616,0.41948358663641794,0.12819665430257385,0.3852690295484916,0.40173641827663986,0.059614945155393055,0.7473715907235015,0.8277333407945495,0.40518991596638654,0.5424062214089662,0.40433591967138294,0.5830861662483839,0.31692458055057826,0.5882185218978102,0.41084385917764044,0.36836484551950743,0.34170211416490487,0.38981211866205784,0.37235924694447375,0.3298084791630842,0.41231406398173054,0.38554946362537984,0.47925031805628815,0.4889934646815989,0.49844805960182476,0.49017774861705454,0.4879897511879795,0.5083770692232282,0.5086702325334467,0.5023135706519759,0.5094060839492733,0.4923543149466192,0.5073495805749769,0.49239525099657167,0.5009104743449969,0.4999768786894302,,,,,,
total_trades,,,,,,,0.33941199411370127,0.2649259569563106,0.5127103800167543,0.5003651300775902,0.5070616082086818,0.43311459348243786,0.41095084042946894,0.4336683852128673,0.22939663574342128,0.4006710294200745,0.4192388728980997,0.13794587919136223,0.3864115376876125,0.4044700458003639,0.0678987659963437,0.746963294136861,0.8289041105472452,0.4411361344537815,0.5499771271729186,0.44137380191693293,0.5933784571703805,0.40260628766900153,0.6090328467153285,0.4172244524321419,0.36711323053242734,0.3413697674418605,0.3921609207121428,0.37221412190600467,0.33172868775786224,0.39693174120880187,0.3742702650752389,0.4999503521891582,0.5134136507516218,0.4969274925218268,0.4897638396156535,0.48880907958135333,0.5135447690260441,0.5104320475087598,0.5020316182093418,0.5120783493914722,0.49115216842832105,0.5057274347015003,0.49433888750966265,0.4936065551663221,0.5074237033040249,,,,,,
buy_volume,,,,,,,0.3180841449527068,0.24376346782929809,0.49249866727591196,0.5109767229575536,0.5101309217529207,0.4296742307545763,0.426722374460482,0.4068082475788699,0.21578348915279932,0.4169441443542783,0.3952153569884015,0.10887214252479703,0.4073284980161699,0.37774633550291487,0.04518967093235832,0.7613612778322173,0.84152201816573,0.392309243697479,0.5769784995425435,0.4373117298037426,0.6282607042360635,0.3505131128848347,0.6167883211678832,0.3950734639545821,0.35237846723769417,0.32317188160676535,0.367445618803199,0.35397479734759074,0.31260892259772693,0.4129457529368505,0.3867901731776078,0.4920656592298383,0.5278322721966132,0.4946105418088941,0.4952305074988864,0.49150246223685257,0.5056683483861829,0.512038118496496,0.500648698701042,0.5141718746369909,0.4858035085913847,0.5159137227838242,0.4843792942254888,0.5103257977412934,0.4914902171972368,,,,,,
