,tgt_ret_1,tgt_ret_3,tgt_ret_5,tgt_cum_ret_5,tgt_cum_ret_10,tgt_sharpe_5,tgt_sharpe_10,tgt_profitable_long_3,tgt_profitable_long_5,tgt_profitable_short_3,tgt_profitable_short_5
open,0.015008875015812606,0.02225848108879447,0.0,0.06960292345151764,0.06671847081052285,0.032724591086341626,0.07725826972353644,0.012486309926045713,0.004950034844112938,0.014055116799254641,0.006697528998394375
high,0.024981037453879473,0.015312546220758172,0.0,0.043437728732165226,0.0811919699291197,0.03988478779269311,0.06433817431258149,0.01023891983096048,0.01527389309082361,0.012867305723505584,0.013713148923751195
low,0.01587262230799169,0.014249769848587945,0.0,0.051615653228981095,0.08304679100035273,0.055341615759295415,0.06572745907229471,0.021237563922386737,0.025926567325298855,0.017266688786760298,0.026015786243168915
close,0.03486442697577896,0.019196122062756338,0.0,0.06226307311433299,0.10174126183907095,0.03559110246767716,0.0848238285371119,0.00934406352761119,0.007857427784489612,0.01043166620999747,0.0044586353465359
range,0.022420061210082665,0.005661325931261452,0.01939197036979934,0.0,0.003186858846543572,0.0,0.0031700164569921085,0.0019858172953246545,0.0,0.0037067147751130847,0.0
return,0.0,0.0,0.0,0.0,0.0,0.0,0.00019457722510196618,0.0,0.010702465167597097,0.0,0.013698526920959075
total_volume,0.008617784326861333,0.005790601107176663,0.0,0.0,0.00801826696272645,0.001442697583475372,0.007749164051285007,0.014202225383153078,0.008136047181093176,0.013104853222589252,0.005594160565096207
total_notional,0.03786863883150193,0.006961381988139337,0.009037184740116722,0.017277681013737833,0.0027899201520140693,0.0,0.007117329450795573,0.0,0.0,0.0,0.0
total_trades,0.04589297637585599,0.009349635797548217,0.0,0.0,0.0,0.004616920998890883,0.0,0.0,0.0,0.0,0.0
buy_volume,0.011004189556568456,0.007870973447699825,0.0,0.0006922414725512027,0.0,0.0,0.01286778236706887,0.0,0.0,4.831510785718862e-05,0.0
sell_volume,0.0261032028710817,0.002816609741171483,0.02235848630361481,0.00022046289008237352,0.006370444362258532,0.0,0.004802567996220475,0.009599267198922234,0.0019396272653722235,0.004277098187325468,0.0017845189329079858
net_volume_delta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017220670378761405,0.0,0.004778890825785975,0.0
buy_sell_volume_ratio,0.022319790349521362,0.004564705760013332,0.005239421785418585,0.012141259119343495,0.017797601316323686,0.0,0.0,0.0,0.0,0.0,0.0
buy_trades,0.035245156302838865,0.005631036181743987,0.004211471118374277,0.01555492938636327,0.0,0.0,0.0,0.0064527295071945545,0.002284251099433199,0.005360901847024646,0.0037515307634450323
sell_trades,0.0527792679284671,0.0038115277023011984,0.0,0.004661914600973205,0.006429502810221699,0.00644656568656643,0.017906502714179595,0.0,0.0,0.0,0.0
buy_sell_trade_ratio,0.01005179361767361,0.016690743374271122,0.002141852264819555,0.0,0.0,0.0,0.0,0.005485036967977308,0.009354259600927062,0.008129484675736265,0.00817674643788191
order_flow_imbalance,0.02078181893074227,0.007116226963821859,0.005367301739005903,0.014602488782650802,0.015916750238593735,0.0,0.0,0.0,0.0,0.0,0.0
trade_imbalance,0.013111113496869109,0.014798312639502598,0.0022322187057657317,0.0,0.0,0.0,0.0,0.00525513759190277,0.008956405582854376,0.007845582684184116,0.007881400719039089
avg_trade_size,0.0,0.013399169797381205,0.019271259497563697,0.008534544286677992,0.01473255157646225,0.01592026487319842,0.0041395719083627824,0.0,0.0019404064845209845,0.003688697087000037,0.0017851489080702443
median_trade_size,0.006435021004069341,0.0,0.0005208590009315728,0.009450546842839636,0.0044418197037163765,0.009585798518148003,0.01667530356974911,0.0,0.0,0.0,0.0
max_trade_size,0.0,0.0,0.0,0.006808825213566294,0.0,0.0,0.0008347050486774421,0.0,0.0005286319624322466,0.0,0.0023418826886176802
std_trade_size,0.0,0.001009006346317065,0.0,0.0051907452141071175,0.014543709031087815,0.0075597378941720805,0.0,0.0,0.0,0.0,0.0
avg_buy_size,0.01007470162911428,0.0,0.0,0.0028550150013231246,0.02090183691170555,0.0,0.010755823097178485,0.00808536520406955,0.009465788580036438,0.00871901012650289,0.010452603961619289
