,max_|spearman|,max_|auc-0.5|,max_mi,max_|spearman|_norm,max_|auc-0.5|_norm,max_mi_norm,composite
wave_wavelength,0.4572923779788385,0.3926565425421261,0.05812974665222903,0.9597695302623115,0.7853130850842522,0.571348788106989,0.7721438011511843
inter_trade_std,0.4572977841992179,0.3772207197836489,0.05483076158751654,0.95978087688833,0.7544414395672978,0.538923545829862,0.75104862076183
large_trade_count,0.4294687690924348,0.40389016018306634,0.054790135795965256,0.9013730790703309,0.8077803203661327,0.538524240859421,0.7492258800986282
candle_aspect_ratio,0.4071984056647037,0.4381734969835656,0.052536828085708365,0.8546318315116552,0.8763469939671312,0.5163768085440928,0.7491185446742931
wave_frequency,0.4572853264363061,0.39265654254212606,0.04976650002434546,0.9597547304187325,0.7853130850842521,0.48914765872536087,0.7447384914094485
sell_trades,0.4268907833408123,0.4087996671520699,0.0527792679284671,0.8959623784048322,0.8175993343041398,0.5187597143423541,0.7441071423504421
parkinson_vol,0.4072015773291016,0.4375910131058872,0.04989107719601993,0.8546384882306296,0.8751820262117744,0.49037210954720656,0.7400642079965368
manhattan_distance,0.4764606122199539,0.416205533596838,0.038644539193492644,1.0,0.832411067193676,0.3798315304425708,0.7374141992120823
sunflower_score,0.4289855923289172,0.4048887039733722,0.05046868030008689,0.90035898314902,0.8097774079467444,0.49604928607938464,0.7353952257250497
spectral_entropy,0.43200639769241894,0.40380694820054086,0.04903198169862133,0.9066990777676014,0.8076138964010817,0.48192818540207977,0.7320803865235876
fib_size_ratio_count,0.4195873951907767,0.41179529852298735,0.04869196657746855,0.8806339588823721,0.8235905970459747,0.4785862264465225,0.7276035941249565
total_trades,0.4289876568331355,0.4048887039733722,0.04589297637585599,0.9003633161498291,0.8097774079467444,0.45107536063831327,0.7204053615782956
avg_visits_per_level,0.4289876568331355,0.4048887039733722,0.04588775552361568,0.9003633161498291,0.8097774079467444,0.45102404564431836,0.7203882565802973
trades_per_second,0.4289849038236398,0.4048887039733722,0.04574119381341113,0.9003575381076886,0.8097774079467444,0.44958351200481644,0.7199061526864164
max_visits_level,0.40917556807323596,0.4264406074474725,0.04174672658289058,0.8587815185116364,0.852881214894945,0.41032247711772424,0.7073284035081019
fib_bounce_count,0.445118357961137,0.3612232161431246,0.04709010376392975,0.9342185829112187,0.7224464322862492,0.46284175085634804,0.7065022553512721
dominant_freq_power_pct,0.4262234220911547,0.41067193675889324,0.03931209742556874,0.8945617143571826,0.8213438735177865,0.3863928627870821,0.7007661502206837
price_path_length,0.45106836775085973,0.38641564385271476,0.03628150233041527,0.946706519242409,0.7728312877054295,0.35660558631367745,0.6920477977538386
side_switches,0.4548423291751495,0.40759309340545036,0.02988303039180895,0.9546273448626127,0.8151861868109007,0.29371594033378884,0.6878431573357674
effective_spread_bps,0.369448491130521,0.42485957977948824,0.04422618493754893,0.775401956961698,0.8497191595589765,0.4346927110802264,0.6866046092003003
buy_trades,0.4258058155145131,0.4000624089868941,0.035245156302838865,0.8936852377588423,0.8001248179737882,0.34641949260063065,0.680076516111087
num_extrema,0.4441325569873306,0.4051383399209486,0.027238295228060316,0.932149574584983,0.8102766798418972,0.26772122475878507,0.670049159728555
extrema_density,0.44411186425203864,0.4051383399209486,0.027227499424941293,0.9321061444781469,0.8102766798418972,0.2676151143870059,0.66999931290235
centripetal_accel,0.3720022883349,0.43164135635531514,0.03554867864504896,0.7807618904774617,0.8632827127106303,0.34940276936291603,0.6644824575170026
spectral_flatness,0.40220612998195726,0.3610478359908884,0.03934231126621146,0.8441539965034556,0.7220956719817768,0.3866898302130466,0.6509798328994264
garman_klass_vol,0.42026687204638413,0.43663407530684417,0.019679384390456356,0.8820600512773794,0.8732681506136883,0.19342579436044527,0.6495846654171711
boltzmann_entropy,0.3759061469552622,0.40334928229665074,0.03184043615437826,0.7889553455506378,0.8066985645933015,0.31295499563138707,0.6362029685917755
total_notional,0.35125178562637627,0.38828791345953817,0.03786863883150193,0.7372105408457644,0.7765758269190763,0.3722053191300161,0.628663895631619
flash_event_count,0.38776428758090525,0.41480637813211846,0.02337678381871111,0.8138433222721404,0.8296127562642369,0.2297669932154694,0.624407690583949
sell_volume,0.36760640567200115,0.41287705429581856,0.0261032028710817,0.7715357707308214,0.8257541085916371,0.25656456779915304,0.6179514823738704
wave_wavelength_z,0.2996533407073681,0.42277928021635125,0.038546409556700745,0.6289152408867655,0.8455585604327025,0.37886702857756427,0.617780276632344
realized_vol,0.4203891981223907,0.4073434574578739,0.014571674406553825,0.8823167903925743,0.8146869149157479,0.14322285907562798,0.61340885479465
market_temperature,0.4203891981223907,0.4073434574578739,0.014571674406553825,0.8823167903925743,0.8146869149157479,0.14322285907562798,0.61340885479465
max_drawdown,0.3866654650829127,0.35100894528812143,0.032791788610789574,0.8115371033113058,0.7020178905762429,0.3223056999495241,0.6119535646123576
contrarian_ratio,0.31899629750957664,0.4143507972665148,0.034289107318678624,0.6695124199737937,0.8287015945330296,0.3370226267973298,0.6117455471013843
wave_energy,0.43043137995576886,0.404431038069482,0.012129141098481622,0.9033934157752875,0.808862076138964,0.11921555600191855,0.61049034930539
range,0.3758655208005828,0.40334928229665074,0.022420061210082665,0.7888700789963048,0.8066985645933015,0.22036350645567532,0.6053107166817605
wave_amplitude,0.3758655208005828,0.40334928229665074,0.021749573036737857,0.7888700789963048,0.8066985645933015,0.2137733761464469,0.6031140065786843
close,0.12354174192335239,0.2735763097949886,0.10174126183907095,0.25929056621855745,0.5471526195899772,1.0,0.6021477286028448
graph_self_loop_ratio,0.3062658224509636,0.41533180778032036,0.032906168949833337,0.6427935795657725,0.8306636155606407,0.3234299275930213,0.5989623742398115
spectral_entropy_z,0.28644005424826574,0.42972748075722905,0.033833562171488474,0.6011830713847826,0.8594549615144581,0.3325451400927644,0.5977277243306683
