cluster,size,representative,composite,n_targets,members
26,13,close,0.14844282902452646,11,"close, twap, poc_price, fair_value, fair_price, vwap_buy, vwap, vwap_sell, value_area_low, value_area_high, low, high, open"
24,5,avg_buy_size,0.10654549882905096,9,"avg_buy_size, avg_sell_size, avg_trade_size, trade_size_iqr, trade_size_p75"
43,1,fvg_bearish_count_10,0.10143935339611744,2,fvg_bearish_count_10
11,1,hilbert_std_amplitude,0.09471008081297348,9,hilbert_std_amplitude
16,3,absorption_ratio,0.09363913645682992,5,"absorption_ratio, market_pressure, bernoulli"
23,2,trade_size_p25,0.08786600155807932,6,"trade_size_p25, median_trade_size"
39,4,golden_ratio_half_dist_z,0.0856404191971371,6,"golden_ratio_half_dist_z, golden_ratio_half_dist, golden_ratio_composite, golden_ratio_composite_z"
38,2,price_volume_angle_cos_z,0.06549091178635395,5,"price_volume_angle_cos_z, price_volume_angle_cos"
12,2,vpin,0.06330393324409923,7,"vpin, vpin_z"
27,1,max_monotonic_run,0.060376651981685035,3,max_monotonic_run
5,8,busiest_quartile,0.058633618609186346,2,"busiest_quartile, trade_rate_decay, trade_rate_decay_z, sell_centroid, large_trade_centroid_z, activity_centroid_vol_z, buy_centroid, buy_centroid_z"
42,2,consecutive_direction_z,0.055776097537239215,4,"consecutive_direction_z, return_reversal"
20,1,vol_price_feedback,0.050652495018379456,6,vol_price_feedback
31,4,vol_asymmetry_z,0.040479100104227554,1,"vol_asymmetry_z, vol_asymmetry, return_skewness_z, return_skewness"
35,8,drawdown_drawup_asymmetry,0.040244523039333145,1,"drawdown_drawup_asymmetry, return, drift_from_open_bps, price_slope_angle, ew_net_direction, ew_net_direction_z, market_momentum, close_to_vwap"
34,3,downtick_pct,0.03853288833007261,1,"downtick_pct, net_tick_direction, uptick_pct"
6,2,hour_cos,0.03836690463124139,3,"hour_cos, session_europe"
29,2,aggression_imbalance_z,0.037264565636657976,1,"aggression_imbalance_z, aggression_imbalance"
1,1,ew_impulse_detected,0.03726140759573981,1,ew_impulse_detected
25,2,volume_autocorr,0.036934903252065575,2,"volume_autocorr, volume_skewness"
28,9,sell_urgency_ratio,0.03482817176846505,1,"sell_urgency_ratio, buy_sell_trade_ratio, trade_imbalance, sell_urgency_ratio_z, trade_imbalance_z, price_impact_asymmetry_z, price_impact_asymmetry, response_asymmetry, response_asymmetry_z"
32,1,large_buy_pct,0.032238561582932174,1,large_buy_pct
44,1,fvg_bearish_size_bps_z,0.03171611701752306,1,fvg_bearish_size_bps_z
2,1,ew_impulse_quality_z,0.031606334528833525,1,ew_impulse_quality_z
3,2,taylor_rate_a1,0.02837189494915574,1,"taylor_rate_a1, taylor_vol_a1_z"
17,3,absorption_ratio_z,0.028199975035538193,2,"absorption_ratio_z, market_pressure_z, bernoulli_z"
13,1,max_drawup_z,0.027960079104634394,1,max_drawup_z
7,1,session_asia,0.027701312139673098,1,session_asia
37,1,taylor_price_a0,0.027470706284771763,1,taylor_price_a0
15,1,inter_trade_entropy,0.027460234187885547,1,inter_trade_entropy
40,1,turbulence,0.026986339607796575,1,turbulence
21,2,size_gini_z,0.026480865976142163,2,"size_gini_z, trade_size_p75_z"
19,3,side_sequence_entropy_z,0.026125777202292467,1,"side_sequence_entropy_z, side_switch_rate, side_sequence_entropy"
30,1,volume_profile_skew_z,0.025347017958573775,1,volume_profile_skew_z
36,1,time_to_low_pct,0.023674159929911114,1,time_to_low_pct
4,3,volume_pct_q4_z,0.023382650485522412,1,"volume_pct_q4_z, volume_pct_q4, volume_q4_pct"
41,1,fib_size_ratio_pct_z,0.022479015921126267,1,fib_size_ratio_pct_z
33,4,area_above_vwap_pct_z,0.02246520083404595,1,"area_above_vwap_pct_z, area_above_vwap_pct, signed_area_bps_z, twap_vwap_spread_bps_z"
22,1,avg_trade_size_z,0.02231123761708812,1,avg_trade_size_z
10,2,hilbert_mean_amplitude,0.021343122175804596,1,"hilbert_mean_amplitude, hilbert_mean_amplitude_z"
18,1,taylor_price_rmse_z,0.02131998613352417,1,taylor_price_rmse_z
8,1,hour_sin,0.019633180854806632,1,hour_sin
9,1,session_us,0.0186713914265473,2,session_us
14,1,buy_volume_z,0.015684747056901614,1,buy_volume_z
