feature,cluster,n_targets,mean_avg_r,mean_avg_sign,mean_avg_snr,composite
close,26,11,0.059856081609063305,0.9980237154150197,2.970576626294992,0.14844282902452646
avg_buy_size,24,9,0.0578751014991471,0.7995169082125604,0.9013892538997089,0.10654549882905096
fvg_bearish_count_10,43,2,0.11326313639736495,0.8152173913043479,0.8567079910166222,0.10143935339611744
hilbert_std_amplitude,11,9,0.04823987282652058,0.852657004830918,1.1252705845934223,0.09471008081297348
absorption_ratio,16,5,0.06532624639704886,0.8,0.8735843300644003,0.09363913645682992
trade_size_p25,23,6,0.05509273749169499,0.8196033562166285,1.0770934753651669,0.08786600155807932
golden_ratio_half_dist_z,39,6,0.052583937542907244,0.8369565217391305,0.9572325428048801,0.0856404191971371
price_volume_angle_cos_z,38,5,0.04644624296361176,0.7869565217391304,0.8249479672315285,0.06549091178635395
vpin,12,7,0.037557730677303953,0.8105590062111803,0.8112390506656354,0.06330393324409923
max_monotonic_run,27,3,0.0541464112753374,0.8043478260869565,0.8475160058776307,0.060376651981685035
busiest_quartile,5,2,0.06546796011278136,0.8152173913043478,0.9869139407147237,0.058633618609186346
consecutive_direction_z,42,4,0.041951561684510225,0.8260869565217391,0.8473439267462151,0.055776097537239215
vol_price_feedback,20,6,0.03341555521212596,0.7789855072463769,0.7466516972966608,0.050652495018379456
vol_asymmetry_z,31,1,0.0706935226600206,0.8260869565217391,0.8322428893852811,0.040479100104227554
drawdown_drawup_asymmetry,35,1,0.0667696598835557,0.8695652173913044,0.883316192780655,0.040244523039333145
downtick_pct,34,1,0.06392988794066255,0.8695652173913044,0.9055514843685356,0.03853288833007261
hour_cos,6,3,0.036030851605253496,0.7681159420289857,0.851345362375015,0.03836690463124139
aggression_imbalance_z,29,1,0.061825614651620904,0.8695652173913044,0.9930563276218651,0.037264565636657976
ew_impulse_detected,1,1,0.0668328379980039,0.8043478260869565,1.044964213661323,0.03726140759573981
volume_autocorr,25,2,0.04179733777021817,0.8043478260869565,0.8070650869264105,0.036934903252065575
sell_urgency_ratio,28,1,0.05637404419281225,0.8913043478260869,0.9807711117945899,0.03482817176846505
large_buy_pct,32,1,0.057823756604598,0.8043478260869565,0.7890266163652966,0.032238561582932174
fvg_bearish_size_bps_z,44,1,0.06013735708348545,0.7608695652173914,0.7160846105953567,0.03171611701752306
ew_impulse_quality_z,2,1,0.056689780971069845,0.8043478260869565,0.8256634721993605,0.031606334528833525
taylor_rate_a1,3,1,0.0523019899614834,0.7826086956521738,0.6417177535821437,0.02837189494915574
absorption_ratio_z,17,2,0.03191246701333088,0.8043478260869565,0.7507561458981629,0.028199975035538193
max_drawup_z,13,1,0.04757799752532005,0.8478260869565217,1.1398821370733805,0.027960079104634394
session_asia,7,1,0.047137669228232995,0.8478260869565217,1.144099293350034,0.027701312139673098
taylor_price_a0,37,1,0.052087576555167006,0.7608695652173914,0.704403416332978,0.027470706284771763
inter_trade_entropy,15,1,0.04672744126891165,0.8478260869565217,0.7665210960082744,0.027460234187885547
turbulence,40,1,0.052674137732353604,0.7391304347826086,0.7193241382184783,0.026986339607796575
size_gini_z,21,2,0.030377546752342423,0.7934782608695652,0.7307654501201613,0.026480865976142163
side_sequence_entropy_z,19,1,0.0468597390167404,0.8043478260869565,0.7873384870036699,0.026125777202292467
volume_profile_skew_z,30,1,0.0467257996407573,0.7826086956521738,0.6850856319331682,0.025347017958573775
time_to_low_pct,36,1,0.044888893825496254,0.7608695652173914,0.6048682015260487,0.023674159929911114
volume_pct_q4_z,4,1,0.045640163509468895,0.7391304347826086,0.7411075741105249,0.023382650485522412
fib_size_ratio_pct_z,41,1,0.0438763758970516,0.7391304347826086,0.7264310763389488,0.022479015921126267
area_above_vwap_pct_z,33,1,0.04259657018426355,0.7608695652173914,0.6480667137232696,0.02246520083404595
avg_trade_size_z,22,1,0.0389647985749564,0.8260869565217391,0.7778884793907493,0.02231123761708812
hilbert_mean_amplitude,10,1,0.03934484333126515,0.782608695652174,0.8623172457550572,0.021343122175804596
taylor_price_rmse_z,18,1,0.0416140870666533,0.7391304347826086,0.625659903455474,0.02131998613352417
hour_sin,8,1,0.0334086118507913,0.8478260869565217,0.8488166394854111,0.019633180854806632
session_us,9,2,0.0205734187641784,0.8260869565217391,1.0641469082017532,0.0186713914265473
buy_volume_z,14,1,0.029740060361232203,0.7608695652173914,0.5867117222671863,0.015684747056901614
