feature,n_cont_positive_r2,n_bin_significant,avg_r2,avg_auc_dev,total_useful
is_swing_low,20,44,-0.03672124590098358,0.05746245286505402,64
is_swing_high,13,47,-0.04316864142207394,0.05778878172363408,60
donchian_mid_dist_bps_20,6,46,-0.0709107599875866,0.04896016850929898,52
resistance_touches_20,6,46,-0.07934866835341152,0.037088015685336234,52
vol_price_feedback,4,46,-0.06116378954676535,0.0803453756196816,50
avg_trade_size_z,2,48,-0.06172695025145185,0.036484513113810436,50
resistance_touches_10,6,43,-0.07167715153095064,0.034345362432385146,49
uptick_pct,2,46,-0.059127765047305304,0.07464592618201334,48
turbulence,2,46,-0.06225307394501426,0.056270838112705474,48
inter_trade_entropy,0,48,-0.05922931460937321,0.09480995900273262,48
buy_volume_z,0,48,-0.06024578244455426,0.10751550438645215,48
taylor_price_a0,2,46,-0.059987041689372564,0.06376161475585053,48
support_touches_10,6,42,-0.06721556335746896,0.03848523216058077,48
max_monotonic_run,3,44,-0.056834331860160146,0.08373708947736958,47
close,0,47,-0.23312683183931038,0.058949071798954165,47
golden_ratio_half_dist_z,3,44,-0.05837420884911694,0.0348418600327266,47
sell_urgency_ratio,2,44,-0.061442205939840934,0.06533562376610788,46
area_above_vwap_pct_z,0,46,-0.0622736846603905,0.036466534092186774,46
time_to_low_pct,2,44,-0.06101528736594924,0.043463056608022826,46
side_sequence_entropy_z,0,45,-0.062195743008326955,0.04916014167575735,45
absorption_ratio_z,2,43,-0.058341043247468194,0.043822798488146214,45
vpin,0,45,-0.056108897044503045,0.051415687280242615,45
fvg_bearish_count_10,6,39,-0.06820197211338433,0.044321203152601726,45
hh_streak_z,2,43,-0.05990459934995911,0.032915724011940525,45
hour_cos,0,45,-0.057803324793773266,0.0462058359453752,45
vol_asymmetry_z,0,44,-0.061529464839697186,0.05392745390635014,44
avg_buy_size,0,44,-0.09152713327921162,0.054054088576953825,44
volume_autocorr,2,42,-0.0615758525403005,0.06874803695344181,44
large_buy_pct,0,44,-0.06033971485228521,0.04549259281525904,44
hilbert_mean_amplitude,0,44,-0.07170180287914005,0.03671741455679613,44
max_drawup_z,0,44,-0.06175924253390436,0.08003391559791183,44
atr_percentile_14,0,44,-0.07594196633300535,0.06494115448499203,44
hour_sin,2,41,-0.057063314006037716,0.053174400959603324,43
higher_low,2,41,-0.06078127123908992,0.0475112380704258,43
session_asia,2,41,-0.05801970007013967,0.042250718727397316,43
liq_pool_above_20,0,43,-0.06897352644698292,0.024410876781880045,43
market_pressure,0,43,-0.0863172010704835,0.050695412626634795,43
volume_pct_q4_z,0,42,-0.06065054218518742,0.06045216616180043,42
taylor_price_rmse_z,0,42,-0.060999461609606176,0.06328869361309554,42
hilbert_std_amplitude,0,42,-0.06234751162422256,0.04174534208115524,42
failed_breakout_up_10,4,38,-0.063249056330051,0.02619127516776468,42
gap_abs_bps,0,41,-0.06024132331369255,0.0513998892145776,41
price_volume_angle_cos_z,0,41,-0.06043697026364132,0.05341416038698846,41
size_gini_z,0,41,-0.06503109320820408,0.037197775169668414,41
near_support_5,2,39,-0.06511716692081683,0.023506698838706166,41
fvg_bearish_size_bps_z,0,40,-0.06315217384206614,0.027476174253844375,40
dist_to_s1_bps,2,38,-0.06017738294917835,0.07458671712831343,40
consecutive_direction_z,0,39,-0.059296072439550714,0.02948394219157055,39
volume_profile_skew_z,0,38,-0.060547397668527486,0.03657675331919646,38
busiest_quartile,0,38,-0.05995251510277988,0.04961472778659433,38
ew_impulse_detected,0,38,-0.061151835170149486,0.026483992936813958,38
failed_breakout_down_10,4,34,-0.06182099429712147,0.021728618049596804,38
aggression_imbalance_z,0,37,-0.061022392384922075,0.03428455739248925,37
taylor_rate_a1,0,37,-0.0615319701434641,0.04485747353903293,37
fib_size_ratio_pct_z,0,37,-0.0620116787684139,0.02994557069900553,37
ew_impulse_quality_z,0,35,-0.061114243004241134,0.03513255698998731,35
engulfing_bearish,2,32,-0.06075651846125744,0.014203700113656448,34
ob_demand,0,34,-0.06321915099671896,0.011994540676436466,34
near_support_20,2,31,-0.0714256005671254,0.015891072618354336,33
session_us,0,32,-0.057945781793697866,0.02235964520231618,32
trade_size_p25,0,31,-0.08974334431040391,0.028506201626838368,31
