feature,cluster,n_targets,mean_avg_r,mean_avg_sign,mean_avg_snr,composite
is_swing_low,81,8,0.11128155900330497,1.0,6.034471716903315,0.24451057644635235
is_swing_high,78,10,0.09634429177018786,0.9800000000000001,5.345044212380097,0.22640305136090363
close,100,11,0.059856081609063305,1.0,2.3964984322471663,0.14873677522061465
value_area_low,100,11,0.059789439430506026,1.0,2.380809803148354,0.1485711756279613
twap,100,11,0.05978014777857767,1.0,2.3986486454364413,0.14854808674029701
poc_price,100,11,0.059736227656583575,1.0,2.3785746257816966,0.1484389493370944
low,100,11,0.05972717987853815,1.0,2.3656733881199483,0.1484164664532635
fair_value,100,11,0.05969601449552171,1.0,2.388649109513521,0.14833902338576277
fair_price,100,11,0.059689162778256005,1.0,2.3938283136125973,0.14832199750796674
vwap_buy,100,11,0.05964286863760759,1.0,2.383026407286799,0.14820696089002328
vwap,100,11,0.059637050043278676,1.0,2.385708115307707,0.14819250222628294
vwap_sell,100,11,0.0596156993749438,1.0,2.3840244925924097,0.14813944780856017
value_area_high,100,11,0.05943294867291522,1.0,2.3785860718035665,0.14768532937383594
high,100,11,0.05886646665596107,1.0,2.3536348981572845,0.14627767444292125
open,100,11,0.058700123925483676,1.0,2.3220708763268005,0.14586432828581408
pivot_r1,100,11,0.05842537633469871,1.0,2.317238142837375,0.14518160617045928
pivot_pp,100,11,0.05834345602463074,0.9954545454545454,2.2995940103015924,0.14431905074791312
last_swing_low,100,11,0.05883185740148424,0.9863636363636363,2.30214975211741,0.14419815085346857
pivot_s1,100,11,0.05834167613931185,0.9909090909090907,2.2925363777352383,0.14365567700745976
pivot_r2,100,11,0.05800051777225548,0.9909090909090907,2.254225872218473,0.14281563710066633
pivot_s2,100,11,0.05787125073048644,0.9909090909090907,2.249473372045464,0.1424973407192641
last_swing_high,100,10,0.05687164957531989,0.97,2.1985367512173752,0.1322810918827179
avg_buy_size,112,10,0.054753656402350526,0.97,2.042867865925963,0.12735472783995389
market_pressure,170,9,0.05797710200776877,0.9388888888888888,1.4467094204975568,0.1253390479347562
absorption_ratio,170,9,0.05797710200776877,0.9388888888888888,1.4467094204975568,0.1253390479347562
bernoulli,170,9,0.05781909578988071,0.9388888888888888,1.438800544684312,0.12499745878607457
avg_trade_size,112,10,0.05288976424322587,0.975,1.9085216268719851,0.12365351276679531
hilbert_std_amplitude,94,10,0.05006420760507373,0.9800000000000001,1.9504273017806706,0.11764775221755049
avg_sell_size,112,10,0.051612930995570606,0.9399999999999998,1.6470868824761298,0.11633665905457441
trade_size_p25,109,10,0.04490502795369229,0.9549999999999998,1.782104711452017,0.10283206431356073
atr_percentile_14,118,7,0.05936551666912177,0.8214285714285715,1.086047113145312,0.10140299266486955
