target,mean_score,std_score,min_score,max_score,n_periods,pct_positive,all_positive,is_binary,avg_n_features
tgt_breakout_any_5,0.4832402234636871,,0.4832402234636871,0.4832402234636871,1,1.0,True,True,20.0
tgt_breakout_any_10,0.4776536312849162,,0.4776536312849162,0.4776536312849162,1,1.0,True,True,20.0
tgt_consolidation_5,0.3770588235294119,,0.3770588235294119,0.3770588235294119,1,1.0,True,True,20.0
tgt_breakout_down_10,0.34325671559124893,,0.34325671559124893,0.34325671559124893,1,1.0,True,True,20.0
tgt_breakout_up_5,0.3202468487394957,,0.3202468487394957,0.3202468487394957,1,1.0,True,True,20.0
tgt_consolidation_3,0.3176823176823177,,0.3176823176823177,0.3176823176823177,1,1.0,True,True,20.0
tgt_vol_expansion_10,0.31739682539682545,,0.31739682539682545,0.31739682539682545,1,1.0,True,True,20.0
tgt_breakout_up_3,0.3171811740890689,,0.3171811740890689,0.3171811740890689,1,1.0,True,True,20.0
tgt_crash_10,0.29091345384738443,,0.29091345384738443,0.29091345384738443,1,1.0,True,True,20.0
tgt_breakout_down_3,0.28755014113801813,,0.28755014113801813,0.28755014113801813,1,1.0,True,True,20.0
tgt_breakout_up_10,0.2860023041474655,,0.2860023041474655,0.2860023041474655,1,1.0,True,True,20.0
tgt_breakout_down_5,0.2837577160493827,,0.2837577160493827,0.2837577160493827,1,1.0,True,True,20.0
tgt_crash_5,0.2643870967741936,,0.2643870967741936,0.2643870967741936,1,1.0,True,True,20.0
tgt_tail_event_3,0.24052151655735088,,0.24052151655735088,0.24052151655735088,1,1.0,True,True,20.0
tgt_crash_3,0.2372789606640202,,0.2372789606640202,0.2372789606640202,1,1.0,True,True,20.0
tgt_vol_expansion_5,0.23436532507739938,,0.23436532507739938,0.23436532507739938,1,1.0,True,True,20.0
tgt_tail_event_5,0.23414434117003824,,0.23414434117003824,0.23414434117003824,1,1.0,True,True,20.0
tgt_tail_event_1,0.2066041140382533,,0.2066041140382533,0.2066041140382533,1,1.0,True,True,20.0
tgt_breakout_any_3,0.20171428571428562,,0.20171428571428562,0.20171428571428562,1,1.0,True,True,20.0
tgt_profitable_long_1,0.19187500000000002,,0.19187500000000002,0.19187500000000002,1,1.0,True,True,20.0
tgt_liquidation_cascade_5,0.18808080808080807,,0.18808080808080807,0.18808080808080807,1,1.0,True,True,20.0
tgt_profitable_long_3,0.18121879400844954,,0.18121879400844954,0.18121879400844954,1,1.0,True,True,20.0
tgt_profitable_short_1,0.17457458700782513,,0.17457458700782513,0.17457458700782513,1,1.0,True,True,20.0
tgt_profitable_long_5,0.17141500474833793,,0.17141500474833793,0.17141500474833793,1,1.0,True,True,20.0
tgt_profitable_short_5,0.1403556034482759,,0.1403556034482759,0.1403556034482759,1,1.0,True,True,20.0
tgt_best_side_5,0.13953330619997284,,0.13953330619997284,0.13953330619997284,1,1.0,True,True,20.0
tgt_profitable_short_3,0.11784662655229805,,0.11784662655229805,0.11784662655229805,1,1.0,True,True,20.0
tgt_alpha_1,0.11170067589503752,,0.11170067589503752,0.11170067589503752,1,1.0,True,False,5.0
tgt_relative_ret_1,0.11170067589503752,,0.11170067589503752,0.11170067589503752,1,1.0,True,False,5.0
tgt_mid_reversion_3,0.09217877094972071,,0.09217877094972071,0.09217877094972071,1,1.0,True,True,20.0
tgt_adverse_selection_1,0.08485898070262243,,0.08485898070262243,0.08485898070262243,1,1.0,True,True,20.0
tgt_profitable_long_10,0.08341369334619086,,0.08341369334619086,0.08341369334619086,1,1.0,True,True,20.0
