target,is_binary,n_features,features,trade_score,n_train,n_trade,metric,period,trade_start,trade_end
tgt_adverse_selection_1,True,8,"is_swing_low, breakout_up_bps_5_z, dist_to_resistance_10_bps_z, dist_to_support_5_bps, is_swing_high, dist_to_resistance_10_bps, dist_to_resistance_5_bps, golden_ratio_composite",0.06819313091090085,2160,180,AUC_dev,1,2024-12-29,2025-01-27
tgt_alpha_1,False,5,"is_swing_high, is_swing_low, resistance_touches_20, support_touches_20, breakout_net_10",0.0671012907868217,2160,180,R2,1,2024-12-29,2025-01-27
tgt_breakout_any_3,True,20,"burstiness, wave_wavelength_z, trade_rate_std, atr_change_pct_14, volume_per_second_std, max_drawdown, trade_time_uniformity, quartile_count_ratio, realized_vol, taylor_rate_r2, price_path_length, kinetic_energy, monotonicity_score, max_drawup, te_price_to_volume_z, vol_price_feedback_z, total_energy, max_trades_per_second_z, te_price_to_volume, roll_spread",0.2777777777777778,2160,180,AUC_dev,1,2024-12-29,2025-01-27
tgt_breakout_any_5,True,20,"atr_change_pct_14, wave_wavelength_z, volume_per_second_std, burstiness, trade_rate_std, quartile_count_ratio, max_up_sweep_z, max_drawup, max_drawdown, trade_time_uniformity, max_monotonic_run_z, realized_vol, price_path_length, taylor_rate_r2, vol_price_feedback_z, eigen_ratio_z, te_price_to_volume, kinetic_energy, max_monotonic_run, monotonicity_score",0.348314606741573,2160,180,AUC_dev,1,2024-12-29,2025-01-27
tgt_breakout_down_10,True,20,"close_to_vwap, max_drawup, dist_to_support_5_bps, dist_to_r1_bps, time_to_high_pct, is_swing_low, cvd_close_vs_range, breakout_up_bps_5_z, low, atr_change_pct_14, wave_wavelength_z, dist_to_resistance_10_bps_z, total_energy, kinetic_energy, max_up_sweep_z, disposition_sell_z, panic_sell_ratio, dist_to_resistance_5_bps, cvd_max, bos_net_z",0.2404615384615385,2160,180,AUC_dev,1,2024-12-29,2025-01-27
tgt_breakout_down_3,True,20,"close_to_vwap, max_drawup, dist_to_r1_bps, time_to_high_pct, dist_to_support_5_bps, is_swing_low, cvd_close_vs_range, dist_to_resistance_5_bps, panic_sell_ratio, disposition_sell_z, fair_value_change_bps_z, cvd_max, max_buy_run_z, aggression_imbalance, taylor_price_a0, atr_change_pct_14, ofi_persistence, breakout_up_bps_5_z, burstiness, bos_net_z",0.2982222222222223,2160,180,AUC_dev,1,2024-12-29,2025-01-27
tgt_breakout_down_5,True,20,"close_to_vwap, max_drawup, dist_to_r1_bps, time_to_high_pct, dist_to_support_5_bps, is_swing_low, cvd_close_vs_range, dist_to_resistance_5_bps, breakout_up_bps_5_z, panic_sell_ratio, dist_to_resistance_10_bps_z, aggression_imbalance, disposition_sell_z, atr_change_pct_14, fair_value_change_bps_z, kinetic_energy, max_buy_run_z, golden_ratio_composite, total_energy, cvd_max",0.2582417582417583,2160,180,AUC_dev,1,2024-12-29,2025-01-27
tgt_breakout_up_10,True,20,"close_to_vwap, is_swing_high, dist_to_r1_bps, max_drawdown, dist_to_resistance_10_bps_z, time_to_high_pct, cvd_close_vs_range, dist_to_resistance_5_bps, atr_change_pct_14, wave_wavelength_z, dist_to_support_5_bps, trade_rate_std, cvd_min, bos_net_z, dist_to_resistance_10_bps, te_price_to_volume_z, fair_value_change_bps_z, golden_ratio_composite, volume_per_second_std, ofi_persistence",0.2596059113300494,2160,180,AUC_dev,1,2024-12-29,2025-01-27
tgt_breakout_up_3,True,20,"close_to_vwap, dist_to_r1_bps, max_drawdown, is_swing_high, time_to_high_pct, dist_to_resistance_5_bps, cvd_close_vs_range, dist_to_support_5_bps, dist_to_resistance_10_bps_z, cvd_min, dist_to_resistance_10_bps, fair_value_change_bps_z, ofi_persistence, golden_ratio_composite, bos_net_z, aggression_imbalance, dist_to_support_20_bps, taylor_price_a0, panic_sell_ratio, wave_wavelength_z",0.32532504239683435,2160,180,AUC_dev,1,2024-12-29,2025-01-27
tgt_breakout_up_5,True,20,"close_to_vwap, dist_to_r1_bps, max_drawdown, time_to_high_pct, dist_to_resistance_5_bps, cvd_close_vs_range, is_swing_high, dist_to_resistance_10_bps_z, dist_to_support_5_bps, cvd_min, fair_value_change_bps_z, dist_to_resistance_10_bps, golden_ratio_composite, taylor_price_a0, bos_net_z, dist_to_support_20_bps, wave_wavelength_z, ofi_persistence, trade_rate_std, aggression_imbalance",0.3069135802469135,2160,180,AUC_dev,1,2024-12-29,2025-01-27
tgt_consolidation_3,True,20,"kinetic_energy, volume_per_second_std, trade_rate_std, price_path_length, max_drawup, realized_vol, wave_wavelength_z, atr_change_pct_14, burstiness, total_energy, monotonicity_score, max_up_sweep_z, trade_time_uniformity, eigen_ratio_z, roll_spread, max_trades_per_second_z, taylor_rate_r2, max_monotonic_run, quartile_count_ratio, te_price_to_volume",0.3282712948161681,2160,180,AUC_dev,1,2024-12-29,2025-01-27
tgt_consolidation_5,True,20,"atr_change_pct_14, wave_wavelength_z, kinetic_energy, volume_per_second_std, price_path_length, realized_vol, trade_rate_std, burstiness, total_energy, max_drawup, monotonicity_score, max_trades_per_second_z, te_price_to_volume, trade_time_uniformity, max_up_sweep_z, te_price_to_volume_z, eigen_ratio_z, vol_price_feedback_z, roll_spread, max_monotonic_run",0.35058823529411764,2160,180,AUC_dev,1,2024-12-29,2025-01-27
tgt_crash_10,True,20,"realized_vol, volume_per_second_std, trade_rate_std, roll_spread, price_path_length, max_trades_per_second_z, vol_price_feedback_z, max_sell_run, max_monotonic_run, eigen_ratio_z, max_sell_run_z, max_up_sweep_z, path_length_over_range, wave_wavelength_z, trade_time_uniformity, max_monotonic_run_z, max_drawdown, total_energy, kinetic_energy, max_drawup",0.29166666666666663,2160,180,AUC_dev,1,2024-12-29,2025-01-27
tgt_crash_3,True,20,"trade_rate_std, volume_per_second_std, realized_vol, vol_price_feedback_z, max_trades_per_second_z, roll_spread, max_drawdown, burstiness, price_path_length, trade_time_uniformity, max_monotonic_run, max_buy_run_z, turbulence, eigen_ratio_z, max_monotonic_run_z, quartile_count_ratio, taylor_rate_r2, breakout_net_10, trade_size_iqr, kinetic_energy",0.1294642857142857,2160,180,AUC_dev,1,2024-12-29,2025-01-27
tgt_crash_5,True,20,"realized_vol, volume_per_second_std, trade_rate_std, roll_spread, price_path_length, max_trades_per_second_z, vol_price_feedback_z, max_sell_run, max_drawdown, eigen_ratio_z, wave_wavelength_z, max_monotonic_run, max_sell_run_z, kinetic_energy, trade_time_uniformity, total_energy, turbulence, max_up_sweep_z, max_buy_run_z, path_length_over_range",0.2162471395881007,2160,180,AUC_dev,1,2024-12-29,2025-01-27
tgt_liquidation_cascade_5,True,20,"trade_rate_std, realized_vol, volume_per_second_std, price_path_length, roll_spread, max_sell_run, max_monotonic_run, vol_price_feedback_z, eigen_ratio_z, path_length_over_range, max_sell_run_z, max_trades_per_second_z, max_drawdown, trade_time_uniformity, atr_change_pct_14, burstiness, kinetic_energy, taylor_rate_r2, max_monotonic_run_z, turbulence",0.2162422839506173,2160,180,AUC_dev,1,2024-12-29,2025-01-27
tgt_profitable_long_1,True,20,"is_swing_low, is_swing_high, predator_follows_prey_z, close_to_vwap, dist_to_r1_bps, taylor_price_a0, low, dist_to_resistance_5_bps, side_switch_rate, hour_sin, dist_to_resistance_10_bps, cvd_close_vs_range, hilbert_amp_freq_corr_z, volume_per_second_std, max_drawdown, dist_to_support_5_bps, side_sequence_entropy_z, max_trades_per_second_z, burstiness, quartile_count_ratio",0.13947596094425907,2160,180,AUC_dev,1,2024-12-29,2025-01-27
tgt_profitable_long_10,True,20,"low, trade_size_iqr, hilbert_std_amplitude, gap_fill_rate_10, resistance_touches_20, fib_wave_avg_dist_z, breakout_up_bps_5_z, side_switch_rate, side_sequence_entropy_z, path_length_over_range, max_drawdown, realized_vol, total_energy, is_swing_high, volume_per_second_std, is_swing_low, kinetic_energy, price_path_length, fair_value_change_bps_z, turbulence",0.08377841261955032,2160,180,AUC_dev,1,2024-12-29,2025-01-27
tgt_profitable_long_3,True,20,"low, hilbert_std_amplitude, is_swing_low, support_touches_20, max_drawdown, fvg_bearish_count_10, predator_follows_prey_z, burstiness, taylor_price_a0, hour_sin, dist_to_resistance_5_bps, max_sell_run_z, cvd_min, hilbert_std_amplitude_z, quartile_count_ratio, net_tick_direction, dist_to_r1_bps, volume_per_second_std, is_swing_high, fib_wave_avg_dist_z",0.023270283723245355,2160,180,AUC_dev,1,2024-12-29,2025-01-27
tgt_profitable_long_5,True,20,"low, hilbert_std_amplitude, trade_size_iqr, gap_fill_rate_10, is_swing_low, max_drawdown, is_swing_high, predator_follows_prey_z, hilbert_std_amplitude_z, hilbert_amp_freq_corr_z, max_drawup, total_energy, fvg_bearish_count_10, fib_wave_avg_dist_z, realized_vol, kinetic_energy, price_path_length, resistance_touches_20, dist_to_support_5_bps, volume_per_second_std",0.07862103174603186,2160,180,AUC_dev,1,2024-12-29,2025-01-27
tgt_profitable_short_1,True,20,"is_swing_low, is_swing_high, close_to_vwap, dist_to_r1_bps, dist_to_resistance_5_bps, dist_to_resistance_10_bps, predator_follows_prey_z, taylor_price_a0, side_switch_rate, hilbert_amp_freq_corr_z, dist_to_support_5_bps, cvd_close_vs_range, hour_sin, panic_sell_ratio, low, dist_to_support_20_bps, net_tick_direction, side_sequence_entropy_z, cvd_min, max_drawdown",0.1399555500679095,2160,180,AUC_dev,1,2024-12-29,2025-01-27
tgt_profitable_short_10,True,20,"low, trade_size_iqr, hilbert_std_amplitude, gap_fill_rate_10, resistance_touches_20, breakout_up_bps_5_z, side_switch_rate, side_sequence_entropy_z, fib_wave_avg_dist_z, path_length_over_range, max_drawdown, is_swing_low, total_energy, is_swing_high, realized_vol, volume_per_second_std, turbulence, kinetic_energy, price_path_length, golden_ratio_composite",0.06949447273630605,2160,180,AUC_dev,1,2024-12-29,2025-01-27
tgt_profitable_short_3,True,20,"low, hilbert_std_amplitude, trade_size_iqr, is_swing_low, support_touches_20, max_drawdown, fvg_bearish_count_10, quartile_count_ratio, hour_sin, predator_follows_prey_z, burstiness, is_swing_high, taylor_price_a0, fib_wave_avg_dist_z, net_tick_direction, hilbert_std_amplitude_z, dist_to_resistance_5_bps, cvd_min, dist_to_r1_bps, max_sell_run_z",0.013563962170233923,2160,180,AUC_dev,1,2024-12-29,2025-01-27
tgt_profitable_short_5,True,17,"low, hilbert_std_amplitude, trade_size_iqr, is_swing_low, gap_fill_rate_10, max_drawdown, is_swing_high, predator_follows_prey_z, fvg_bearish_count_10, hilbert_amp_freq_corr_z, hilbert_std_amplitude_z, total_energy, kinetic_energy, realized_vol, max_drawup, dist_to_support_5_bps, price_path_length",0.07030861124937782,2160,180,AUC_dev,1,2024-12-29,2025-01-27
tgt_relative_ret_1,False,5,"is_swing_high, is_swing_low, resistance_touches_20, support_touches_20, breakout_net_10",0.0671012907868217,2160,180,R2,1,2024-12-29,2025-01-27
tgt_tail_event_1,True,20,"trade_rate_std, realized_vol, volume_per_second_std, price_path_length, max_monotonic_run, vol_price_feedback_z, roll_spread, eigen_ratio_z, max_trades_per_second_z, max_up_sweep_z, max_monotonic_run_z, max_sell_run, burstiness, te_price_to_volume, trade_time_uniformity, max_drawdown, wave_wavelength_z, max_buy_run_z, total_energy, max_sell_run_z",0.13361949598449185,2160,180,AUC_dev,1,2024-12-29,2025-01-27
tgt_tail_event_3,True,20,"realized_vol, trade_rate_std, volume_per_second_std, eigen_ratio_z, price_path_length, roll_spread, max_trades_per_second_z, max_sell_run, vol_price_feedback_z, max_monotonic_run, max_up_sweep_z, wave_wavelength_z, path_length_over_range, max_monotonic_run_z, max_sell_run_z, trade_time_uniformity, turbulence, max_drawdown, te_price_to_volume, burstiness",0.21544715447154472,2160,180,AUC_dev,1,2024-12-29,2025-01-27
tgt_tail_event_5,True,20,"realized_vol, volume_per_second_std, trade_rate_std, price_path_length, eigen_ratio_z, roll_spread, wave_wavelength_z, max_sell_run, vol_price_feedback_z, max_trades_per_second_z, path_length_over_range, max_monotonic_run, max_up_sweep_z, max_sell_run_z, max_monotonic_run_z, monotonicity_score, max_drawdown, kinetic_energy, total_energy, turbulence",0.23724903354532978,2160,180,AUC_dev,1,2024-12-29,2025-01-27
tgt_vol_expansion_10,True,20,"realized_vol, volume_per_second_std, trade_rate_std, price_path_length, eigen_ratio_z, roll_spread, wave_wavelength_z, max_trades_per_second_z, max_monotonic_run, max_up_sweep_z, vol_price_feedback_z, max_monotonic_run_z, max_sell_run, total_energy, max_drawdown, path_length_over_range, burstiness, kinetic_energy, atr_change_pct_14, monotonicity_score",0.3252314814814814,2160,180,AUC_dev,1,2024-12-29,2025-01-27
tgt_vol_expansion_5,True,20,"realized_vol, volume_per_second_std, trade_rate_std, price_path_length, roll_spread, eigen_ratio_z, wave_wavelength_z, max_trades_per_second_z, vol_price_feedback_z, max_sell_run, max_up_sweep_z, max_monotonic_run, path_length_over_range, total_energy, kinetic_energy, monotonicity_score, max_drawdown, burstiness, max_sell_run_z, trade_time_uniformity",0.272356719367589,2160,180,AUC_dev,1,2024-12-29,2025-01-27
tgt_adverse_selection_1,True,9,"is_swing_low, is_swing_high, total_energy, hour_sin, max_monotonic_run, breakout_up_bps_5_z, max_drawdown, max_monotonic_run_z, dist_to_resistance_10_bps",0.044836956521739024,2160,180,AUC_dev,2,2025-01-28,2025-02-26
tgt_alpha_1,False,4,"is_swing_low, is_swing_high, dist_to_resistance_10_bps, resistance_touches_20",0.0889835066595871,2160,180,R2,2,2025-01-28,2025-02-26
tgt_breakout_any_3,True,20,"wave_wavelength_z, burstiness, atr_change_pct_14, trade_rate_std, volume_per_second_std, quartile_count_ratio, monotonicity_score, max_drawdown, realized_vol, price_path_length, trade_time_uniformity, max_drawup, taylor_rate_r2, kinetic_energy, te_price_to_volume_z, te_price_to_volume, total_energy, vol_price_feedback_z, max_trades_per_second_z, eigen_ratio_z",0.20170454545454541,2160,180,AUC_dev,2,2025-01-28,2025-02-26
tgt_breakout_any_5,True,20,"wave_wavelength_z, atr_change_pct_14, burstiness, trade_rate_std, volume_per_second_std, max_drawup, price_path_length, quartile_count_ratio, realized_vol, max_monotonic_run_z, max_drawdown, trade_time_uniformity, max_up_sweep_z, kinetic_energy, te_price_to_volume, max_monotonic_run, taylor_rate_r2, eigen_ratio_z, te_price_to_volume_z, monotonicity_score",0.4832402234636871,2160,180,AUC_dev,2,2025-01-28,2025-02-26
tgt_breakout_down_10,True,20,"close_to_vwap, max_drawup, dist_to_r1_bps, dist_to_support_5_bps, time_to_high_pct, is_swing_low, breakout_up_bps_5_z, dist_to_resistance_10_bps_z, cvd_close_vs_range, dist_to_resistance_5_bps, fair_value_change_bps_z, low, disposition_sell_z, panic_sell_ratio, total_energy, aggression_imbalance, bos_net_z, atr_change_pct_14, max_up_sweep_z, wave_wavelength_z",0.3678125,2160,180,AUC_dev,2,2025-01-28,2025-02-26
tgt_breakout_down_3,True,20,"close_to_vwap, dist_to_r1_bps, max_drawup, time_to_high_pct, is_swing_low, dist_to_support_5_bps, cvd_close_vs_range, net_tick_direction, panic_sell_ratio, dist_to_resistance_5_bps, disposition_sell_z, aggression_imbalance, fair_value_change_bps_z, taylor_price_a0, ofi_persistence, breakout_up_bps_5_z, dist_to_resistance_10_bps_z, atr_change_pct_14, cvd_max, burstiness",0.30164158686730513,2160,180,AUC_dev,2,2025-01-28,2025-02-26
tgt_breakout_down_5,True,20,"close_to_vwap, max_drawup, dist_to_r1_bps, time_to_high_pct, dist_to_support_5_bps, is_swing_low, cvd_close_vs_range, net_tick_direction, dist_to_resistance_5_bps, dist_to_resistance_10_bps_z, panic_sell_ratio, breakout_up_bps_5_z, aggression_imbalance, disposition_sell_z, fair_value_change_bps_z, low, bos_net_z, total_energy, dist_to_resistance_10_bps, golden_ratio_composite",0.3045930701047542,2160,180,AUC_dev,2,2025-01-28,2025-02-26
tgt_breakout_up_10,True,20,"close_to_vwap, is_swing_high, dist_to_r1_bps, max_drawdown, dist_to_resistance_10_bps_z, time_to_high_pct, cvd_close_vs_range, dist_to_resistance_5_bps, net_tick_direction, dist_to_support_5_bps, bos_net_z, atr_change_pct_14, wave_wavelength_z, trade_rate_std, cvd_min, dist_to_resistance_10_bps, burstiness, te_price_to_volume, fair_value_change_bps_z, ofi_persistence",0.30557501050567304,2160,180,AUC_dev,2,2025-01-28,2025-02-26
