symbol,file,mid_price,bid_depth_usd,ask_depth_usd,total_depth_usd,spread_bps,fr_abs_bps,ob_source,bid_levels,ask_levels,entry_slip_500,exit_slip_500,rt_slip_500,filled_pct_500,net_pnl_ml_loso_p50_500,dollar_pnl_ml_loso_p50_500,net_pnl_fixed_10s_500,dollar_pnl_fixed_10s_500,net_pnl_fixed_5s_500,dollar_pnl_fixed_5s_500,entry_slip_1000,exit_slip_1000,rt_slip_1000,filled_pct_1000,net_pnl_ml_loso_p50_1000,dollar_pnl_ml_loso_p50_1000,net_pnl_fixed_10s_1000,dollar_pnl_fixed_10s_1000,net_pnl_fixed_5s_1000,dollar_pnl_fixed_5s_1000,entry_slip_2000,exit_slip_2000,rt_slip_2000,filled_pct_2000,net_pnl_ml_loso_p50_2000,dollar_pnl_ml_loso_p50_2000,net_pnl_fixed_10s_2000,dollar_pnl_fixed_10s_2000,net_pnl_fixed_5s_2000,dollar_pnl_fixed_5s_2000,entry_slip_3000,exit_slip_3000,rt_slip_3000,filled_pct_3000,net_pnl_ml_loso_p50_3000,dollar_pnl_ml_loso_p50_3000,net_pnl_fixed_10s_3000,dollar_pnl_fixed_10s_3000,net_pnl_fixed_5s_3000,dollar_pnl_fixed_5s_3000,entry_slip_5000,exit_slip_5000,rt_slip_5000,filled_pct_5000,net_pnl_ml_loso_p50_5000,dollar_pnl_ml_loso_p50_5000,net_pnl_fixed_10s_5000,dollar_pnl_fixed_10s_5000,net_pnl_fixed_5s_5000,dollar_pnl_fixed_5s_5000,entry_slip_7500,exit_slip_7500,rt_slip_7500,filled_pct_7500,net_pnl_ml_loso_p50_7500,dollar_pnl_ml_loso_p50_7500,net_pnl_fixed_10s_7500,dollar_pnl_fixed_10s_7500,net_pnl_fixed_5s_7500,dollar_pnl_fixed_5s_7500,entry_slip_10000,exit_slip_10000,rt_slip_10000,filled_pct_10000,net_pnl_ml_loso_p50_10000,dollar_pnl_ml_loso_p50_10000,net_pnl_fixed_10s_10000,dollar_pnl_fixed_10s_10000,net_pnl_fixed_5s_10000,dollar_pnl_fixed_5s_10000,entry_slip_15000,exit_slip_15000,rt_slip_15000,filled_pct_15000,net_pnl_ml_loso_p50_15000,dollar_pnl_ml_loso_p50_15000,net_pnl_fixed_10s_15000,dollar_pnl_fixed_10s_15000,net_pnl_fixed_5s_15000,dollar_pnl_fixed_5s_15000,entry_slip_20000,exit_slip_20000,rt_slip_20000,filled_pct_20000,net_pnl_ml_loso_p50_20000,dollar_pnl_ml_loso_p50_20000,net_pnl_fixed_10s_20000,dollar_pnl_fixed_10s_20000,net_pnl_fixed_5s_20000,dollar_pnl_fixed_5s_20000,entry_slip_30000,exit_slip_30000,rt_slip_30000,filled_pct_30000,net_pnl_ml_loso_p50_30000,dollar_pnl_ml_loso_p50_30000,net_pnl_fixed_10s_30000,dollar_pnl_fixed_10s_30000,net_pnl_fixed_5s_30000,dollar_pnl_fixed_5s_30000,entry_slip_50000,exit_slip_50000,rt_slip_50000,filled_pct_50000,net_pnl_ml_loso_p50_50000,dollar_pnl_ml_loso_p50_50000,net_pnl_fixed_10s_50000,dollar_pnl_fixed_10s_50000,net_pnl_fixed_5s_50000,dollar_pnl_fixed_5s_50000
ACEUSDT,ACEUSDT_20260227_180000.jsonl,0.163165,29622.253059999995,31017.106534999984,60639.35959499998,25.127937976894167,48.6008,ob200,200,200,29.044686517710097,20.131586744669573,49.17627326237967,100.0,-25.576273262379665,-1.2788136631189833,-32.576273262379665,-1.6288136631189833,-34.576273262379665,-1.728813663118983,38.51706210023855,24.917953327983252,63.4350154282218,100.0,-39.8350154282218,-3.98350154282218,-46.8350154282218,-4.68350154282218,-48.8350154282218,-4.88350154282218,54.51919624641346,32.743275597738815,87.26247184415227,100.0,-63.66247184415227,-12.732494368830455,-70.66247184415226,-14.132494368830454,-72.66247184415228,-14.532494368830458,72.93987406286016,42.148039476548185,115.08791353940833,100.0,-91.48791353940834,-27.4463740618225,-98.48791353940834,-29.5463740618225,-100.48791353940834,-30.146374061822502,101.45694945061423,64.52162730006557,165.9785767506798,100.0,-142.3785767506798,-71.1892883753399,-149.3785767506798,-74.6892883753399,-151.3785767506798,-75.6892883753399,132.52812121516263,107.05121158644795,239.57933280161058,100.0,-215.97933280161058,-161.98449960120794,-222.97933280161058,-167.23449960120794,-224.97933280161058,-168.73449960120794,157.8261130732606,135.2277317574585,293.0538448307191,100.0,-269.45384483071905,-269.45384483071905,-276.45384483071905,-276.45384483071905,-278.45384483071905,-278.45384483071905,191.43032098678654,185.22645472974006,376.65677571652657,100.0,-353.05677571652654,-529.5851635747898,-360.05677571652654,-540.0851635747898,-362.05677571652654,-543.0851635747898,214.2899475214668,225.6151558939894,439.9051034154562,100.0,-416.3051034154562,-832.6102068309124,-423.3051034154562,-846.6102068309125,-425.3051034154562,-850.6102068309125,261.2338610687197,290.4845586051537,551.7184196738734,98.74084353333332,-528.1184196738734,-1584.3552590216202,-535.1184196738734,-1605.3552590216202,-537.1184196738734,-1611.3552590216202,261.2338610687197,295.5637345844034,556.7975956531232,59.24450612,-533.1975956531231,-2665.9879782656158,-540.1975956531231,-2700.9879782656158,-542.1975956531231,-2710.9879782656158
AIXBTUSDT,AIXBTUSDT_20260227_120000.jsonl,0.024075,36003.41939,25665.621529999997,61669.04092,4.984423676013123,17.3154,ob200,200,200,7.22543102185833,4.097054387164622,11.322485409022953,100.0,12.277514590977049,0.6138757295488525,5.277514590977049,0.26387572954885247,3.277514590977047,0.16387572954885235,10.01861982548724,6.446082259938022,16.464702085425262,100.0,7.135297914574739,0.713529791457474,0.13529791457473905,0.013529791457473905,-1.8647020854252627,-0.18647020854252627,13.8162572584773,11.213069272950184,25.029326531427486,100.0,-1.4293265314274848,-0.28586530628549695,-8.429326531427485,-1.685865306285497,-10.429326531427487,-2.0858653062854975,16.86920417958383,15.00288509590239,31.872089275486218,100.0,-8.272089275486216,-2.481626782645865,-15.272089275486216,-4.581626782645865,-17.272089275486216,-5.181626782645865,22.139478362320965,21.39589892564325,43.53537728796422,100.0,-19.935377287964215,-9.967688643982108,-26.935377287964215,-13.467688643982108,-28.935377287964215,-14.467688643982108,27.04081029606405,28.335993269579102,55.37680356564315,100.0,-31.77680356564315,-23.832602674232362,-38.77680356564315,-29.08260267423236,-40.77680356564315,-30.58260267423236,31.740774020938048,33.64811814071073,65.38889216164878,100.0,-41.78889216164878,-41.78889216164878,-48.78889216164878,-48.78889216164878,-50.78889216164878,-50.78889216164878,39.48032335785931,43.60561411925699,83.0859374771163,100.0,-59.4859374771163,-89.22890621567446,-66.4859374771163,-99.72890621567444,-68.48593747711631,-102.72890621567447,47.25984564650751,51.2412977215385,98.501143368046,100.0,-74.90114336804601,-149.80228673609201,-81.90114336804601,-163.80228673609201,-83.90114336804601,-167.80228673609201,58.50921188325532,59.06181404427416,117.57102592752948,85.55207176666666,-93.97102592752947,-281.9130777825884,-100.97102592752947,-302.9130777825884,-102.97102592752948,-308.91307778258846,63.59210691398303,59.06181404427416,122.65392095825719,51.33124306,-99.05392095825718,-495.26960479128593,-106.05392095825718,-530.2696047912859,-108.0539209582572,-540.2696047912859
ALICEUSDT,ALICEUSDT_20260228_000000.jsonl,0.145885,60375.15234899999,43616.821762999985,103991.97411199997,10.28207149467123,219.00699999999998,ob200,200,200,7.2202070336766555,8.82161971709804,16.041826750774696,100.0,7.558173249225305,0.37790866246126525,0.5581732492253053,0.027908662461265266,-1.4418267507746965,-0.07209133753873483,9.303027179884657,12.357289662767439,21.660316842652094,100.0,1.9396831573479076,0.19396831573479076,-5.060316842652092,-0.5060316842652093,-7.060316842652094,-0.7060316842652095,13.41912760426472,16.269006705186204,29.688134309450923,100.0,-6.088134309450922,-1.2176268618901844,-13.088134309450922,-2.617626861890184,-15.088134309450924,-3.0176268618901845,15.901473883510473,19.279790295207818,35.181264178718294,100.0,-11.581264178718293,-3.4743792536154876,-18.581264178718293,-5.574379253615487,-20.581264178718293,-6.174379253615488,19.16058214065469,22.28816385582871,41.448745996483396,100.0,-17.848745996483395,-8.924372998241697,-24.848745996483395,-12.424372998241697,-26.848745996483395,-13.424372998241695,24.054399749356666,24.048792669622966,48.10319241897963,100.0,-24.50319241897963,-18.37739431423472,-31.50319241897963,-23.62739431423472,-33.50319241897963,-25.12739431423472,28.777987442045717,26.380308816134498,55.158296258180215,100.0,-31.558296258180214,-31.558296258180217,-38.558296258180214,-38.558296258180214,-40.558296258180214,-40.558296258180214,37.256801315725454,33.09423788356975,70.3510391992952,100.0,-46.7510391992952,-70.1265587989428,-53.7510391992952,-80.6265587989428,-55.7510391992952,-83.6265587989428,46.26224009498755,42.08766041363271,88.34990050862027,100.0,-64.74990050862027,-129.49980101724054,-71.74990050862027,-143.49980101724054,-73.74990050862027,-147.49980101724054,59.791553588177045,58.485331692990805,118.27688528116785,100.0,-94.67688528116784,-284.03065584350355,-101.67688528116784,-305.03065584350355,-103.67688528116786,-311.0306558435036,92.4739288252468,76.90801648505895,169.38194531030575,87.23364352599997,-145.78194531030576,-728.9097265515288,-152.78194531030576,-763.9097265515288,-154.78194531030576,-773.9097265515288
ALICEUSDT,ALICEUSDT_20260228_080000.jsonl,0.124875,61028.96573599997,63464.17584600001,124493.14158199998,7.207207207207747,42.413,ob200,200,200,6.4654043376935,9.912232258776807,16.377636596470307,100.0,7.222363403529695,0.36111817017648473,0.22236340352969464,0.011118170176484731,-1.7776365964703071,-0.08888182982351535,9.194511613565373,13.329991957068566,22.52450357063394,100.0,1.075496429366062,0.10754964293660621,-5.924503570633938,-0.5924503570633938,-7.92450357063394,-0.792450357063394,13.514256729400145,17.15625204119604,30.670508770596186,100.0,-7.070508770596184,-1.4141017541192369,-14.070508770596184,-2.814101754119237,-16.070508770596184,-3.214101754119237,16.581718116820873,20.42534058525362,37.00705870207449,100.0,-13.407058702074487,-4.022117610622346,-20.407058702074487,-6.122117610622346,-22.407058702074487,-6.7221176106223455,22.561704982539332,25.51762203789526,48.07932702043459,100.0,-24.47932702043459,-12.239663510217294,-31.47932702043459,-15.739663510217294,-33.47932702043459,-16.739663510217294,29.484317131504394,29.66774284953668,59.15205998104108,100.0,-35.552059981041076,-26.664044985780805,-42.552059981041076,-31.914044985780805,-44.552059981041076,-33.414044985780805,36.16949013910023,33.16652095390764,69.33601109300787,100.0,-45.73601109300787,-45.73601109300787,-52.73601109300787,-52.73601109300787,-54.73601109300787,-54.73601109300787,44.82998493783109,41.3490281250664,86.1790130628975,100.0,-62.579013062897495,-93.86851959434624,-69.5790130628975,-104.36851959434625,-71.5790130628975,-107.36851959434624,53.78365039932654,55.49548015450813,109.27913055383468,100.0,-85.67913055383468,-171.35826110766936,-92.67913055383468,-185.35826110766936,-94.67913055383468,-189.35826110766936,79.5471733500047,84.42919716939251,163.97637051939722,100.0,-140.37637051939723,-421.12911155819165,-147.37637051939723,-442.12911155819165,-149.37637051939723,-448.12911155819165,104.35756641037776,108.18020239995948,212.53776881033724,100.0,-188.93776881033725,-944.6888440516863,-195.93776881033725,-979.6888440516863,-197.93776881033725,-989.6888440516863
ALICEUSDT,ALICEUSDT_20260228_160000.jsonl,0.128705,56482.318207,33109.068021,89591.38622799999,3.8848529583172557,98.52369999999999,ob200,200,200,11.837510602622087,5.2507110617210895,17.088221664343177,100.0,6.511778335656825,0.32558891678284124,-0.4882216643431754,-0.024411083217158767,-2.488221664343177,-0.12441108321715885,13.309369006720232,8.130895827990818,21.44026483471105,100.0,2.15973516528895,0.21597351652889502,-4.84026483471105,-0.484026483471105,-6.840264834711052,-0.6840264834711052,17.9714389150633,10.283033656099853,28.254472571163152,100.0,-4.654472571163151,-0.9308945142326301,-11.65447257116315,-2.33089451423263,-13.654472571163152,-2.7308945142326304,22.41494302358343,11.15386670152531,33.568809725108736,100.0,-9.968809725108734,-2.9906429175326203,-16.968809725108734,-5.09064291753262,-18.968809725108734,-5.69064291753262,29.107702159479736,12.130971091217091,41.23867325069683,100.0,-17.638673250696826,-8.819336625348413,-24.638673250696826,-12.319336625348413,-26.638673250696826,-13.319336625348413,36.537305809639896,13.628270963414042,50.16557677305394,100.0,-26.56557677305394,-19.924182579790454,-33.56557677305394,-25.174182579790454,-35.56557677305394,-26.674182579790457,43.79737588228304,17.668465549622194,61.46584143190523,100.0,-37.86584143190523,-37.86584143190523,-44.86584143190523,-44.86584143190523,-46.86584143190523,-46.86584143190523,56.00665846109058,29.170483982760427,85.17714244385101,100.0,-61.57714244385101,-92.36571366577651,-68.57714244385102,-102.86571366577652,-70.57714244385102,-105.86571366577651,67.75768811057573,42.89958416415572,110.65727227473144,100.0,-87.05727227473145,-174.1145445494629,-94.05727227473145,-188.1145445494629,-96.05727227473145,-192.1145445494629,86.08262297415845,74.0462283690481,160.12885134320655,100.0,-136.52885134320655,-409.58655402961966,-143.52885134320655,-430.5865540296197,-145.52885134320655,-436.5865540296197,114.05541540619316,83.94232901749716,197.99774442369034,66.218136042,-174.39774442369034,-871.9887221184516,-181.39774442369034,-906.9887221184516,-183.39774442369034,-916.9887221184516
ANIMEUSDT,ANIMEUSDT_20260227_120000.jsonl,0.0051645,203833.88150600006,219167.16675000006,423001.04825600015,9.681479330041237,18.6099,ob200,200,200,7.451972059471281,7.775314130625528,15.227286190096809,100.0,8.372713809903193,0.41863569049515964,1.3727138099031926,0.06863569049515963,-0.6272861900968092,-0.031364309504840454,8.674332187191167,9.850531274374672,18.52486346156584,100.0,5.075136538434162,0.5075136538434162,-1.9248634615658382,-0.1924863461565838,-3.92486346156584,-0.39248634615658395,10.80129741894208,12.755755970793102,23.55705338973518,100.0,0.042946610264820606,0.00858932205296412,-6.957053389735179,-1.3914106779470359,-8.957053389735181,-1.7914106779470362,12.806826338516961,15.569283512317025,28.376109850833984,100.0,-4.776109850833983,-1.4328329552501948,-11.776109850833983,-3.532832955250195,-13.776109850833985,-4.132832955250196,17.29113511592489,19.94038003330711,37.231515149232,100.0,-13.631515149232001,-6.815757574616,-20.631515149232,-10.315757574616,-22.631515149232,-11.315757574616,21.361528131804498,25.721382231462634,47.08291036326713,100.0,-23.48291036326713,-17.612182772450346,-30.48291036326713,-22.862182772450346,-32.48291036326713,-24.362182772450346,26.1023627867061,31.86480566174331,57.967168448449414,100.0,-34.36716844844941,-34.36716844844941,-41.36716844844941,-41.36716844844941,-43.36716844844941,-43.36716844844941,40.1983857316443,43.287866134384736,83.48625186602904,100.0,-59.886251866029035,-89.82937779904354,-66.88625186602903,-100.32937779904354,-68.88625186602904,-103.32937779904356,53.128898996064166,58.38816306382538,111.51706205988955,100.0,-87.91706205988956,-175.83412411977912,-94.91706205988956,-189.83412411977912,-96.91706205988956,-193.83412411977912,80.80642095042353,86.23354453260231,167.03996548302584,100.0,-143.43996548302584,-430.3198964490775,-150.43996548302584,-451.3198964490775,-152.43996548302584,-457.3198964490775,147.78343383984125,147.40999189831146,295.1934257381527,100.0,-271.5934257381527,-1357.9671286907633,-278.5934257381527,-1392.9671286907633,-280.5934257381527,-1402.9671286907633
API3USDT,API3USDT_20260227_000000.jsonl,0.30105,305626.82408000005,106964.44497000003,412591.26905000006,3.321707357581431,24.3128,ob200,200,200,7.712796236796643,7.916841611698134,15.629637848494777,100.0,7.970362151505224,0.3985181075752612,0.9703621515052241,0.048518107575261205,-1.0296378484947777,-0.051481892424738884,11.373742329714956,12.162572027517918,23.536314357232875,100.0,0.06368564276712618,0.006368564276712618,-6.936314357232874,-0.6936314357232873,-8.936314357232876,-0.8936314357232875,15.038966394029725,20.187680802353853,35.22664719638358,100.0,-11.62664719638358,-2.325329439276716,-18.62664719638358,-3.725329439276716,-20.62664719638358,-4.125329439276716,18.12213366939768,26.096459928745485,44.218593598143165,100.0,-20.618593598143164,-6.185578079442949,-27.618593598143164,-8.28557807944295,-29.618593598143164,-8.885578079442949,24.04187455205164,34.141061206078106,58.182935758129744,100.0,-34.58293575812974,-17.29146787906487,-41.58293575812974,-20.79146787906487,-43.58293575812974,-21.79146787906487,31.5806245009901,42.6697207159361,74.2503452169262,100.0,-50.650345216926205,-37.98775891269465,-57.650345216926205,-43.23775891269465,-59.650345216926205,-44.73775891269465,39.06232035289334,52.66754468583584,91.72986503872917,100.0,-68.12986503872918,-68.12986503872918,-75.12986503872918,-75.12986503872918,-77.12986503872918,-77.12986503872918,55.9492738747833,85.28336204343073,141.23263591821404,100.0,-117.63263591821405,-176.44895387732106,-124.63263591821405,-186.94895387732106,-126.63263591821405,-189.94895387732106,73.5763056010695,119.01818645438962,192.5944920554591,100.0,-168.99449205545912,-337.98898411091824,-175.99449205545912,-351.98898411091824,-177.99449205545912,-355.98898411091824,95.6140312800768,205.3733547591947,300.98738603927154,100.0,-277.3873860392715,-832.1621581178146,-284.3873860392715,-853.1621581178146,-286.3873860392715,-859.1621581178146,146.19356690979,316.9553997815661,463.1489666913561,100.0,-439.5489666913561,-2197.7448334567803,-446.5489666913561,-2232.7448334567803,-448.5489666913561,-2242.7448334567803
ATHUSDT,ATHUSDT_20260227_160000.jsonl,0.0061025,273122.8879000001,216365.06873999996,489487.95664000005,8.193363375665378,140.0179,ob200,200,200,4.157364878116446,6.398628135617156,10.555993013733602,100.0,13.0440069862664,0.65220034931332,6.0440069862664,0.30220034931331996,4.044006986266398,0.20220034931331987,6.375382176588098,8.85380537503733,15.22918755162543,100.0,8.370812448374572,0.8370812448374573,1.370812448374572,0.1370812448374572,-0.6291875516254297,-0.06291875516254297,9.263943166335464,11.38283261738605,20.646775783721516,100.0,2.9532242162784854,0.5906448432556971,-4.046775783721515,-0.8093551567443029,-6.046775783721516,-1.2093551567443033,11.306874111323703,13.29950400937011,24.60637812069381,100.0,-1.0063781206938103,-0.3019134362081431,-8.00637812069381,-2.401913436208143,-10.006378120693812,-3.001913436208144,15.314908364117697,16.699601605673966,32.01450996979166,100.0,-8.41450996979166,-4.20725498489583,-15.41450996979166,-7.70725498489583,-17.41450996979166,-8.70725498489583,19.297800562416924,19.916719344108785,39.21451990652571,100.0,-15.614519906525707,-11.71088992989428,-22.614519906525707,-16.96088992989428,-24.614519906525707,-18.46088992989428,22.439939289291654,22.137510569125283,44.57744985841694,100.0,-20.97744985841694,-20.97744985841694,-27.97744985841694,-27.977449858416936,-29.97744985841694,-29.977449858416936,30.21194980649846,26.84716382020922,57.059113626707685,100.0,-33.45911362670768,-50.18867044006152,-40.45911362670768,-60.68867044006153,-42.45911362670768,-63.68867044006153,39.761156723087716,32.62004342586217,72.38120014894989,100.0,-48.781200148949885,-97.56240029789977,-55.781200148949885,-111.56240029789977,-57.781200148949885,-115.56240029789977,58.912002773242264,45.7809692216317,104.69297199487397,100.0,-81.09297199487398,-243.27891598462193,-88.09297199487398,-264.2789159846219,-90.09297199487398,-270.2789159846219,88.83753568046907,80.72610436453674,169.5636400450058,100.0,-145.9636400450058,-729.818200225029,-152.9636400450058,-764.818200225029,-154.9636400450058,-774.818200225029
ATHUSDT,ATHUSDT_20260227_200000.jsonl,0.005808499999999999,337887.3719,222417.98885999998,560305.3607600001,5.164844624258239,50.354299999999995,ob200,200,200,8.514295266906766,4.49676486602895,13.011060132935715,100.0,10.588939867064287,0.5294469933532144,3.588939867064287,0.17944699335321435,1.5889398670642851,0.07944699335321426,9.0757177430652,5.261150057160595,14.336867800225795,100.0,9.263132199774207,0.9263132199774207,2.2631321997742067,0.22631321997742065,0.2631321997742049,0.026313219977420487,10.560047976739067,7.60897948632477,18.169027463063838,100.0,5.430972536936164,1.0861945073872328,-1.5690274630638363,-0.3138054926127673,-3.569027463063838,-0.7138054926127676,11.344192258502611,9.744466750612599,21.08865900911521,100.0,2.51134099088479,0.753402297265437,-4.48865900911521,-1.346597702734563,-6.488659009115212,-1.9465977027345633,13.68227101281578,12.588515739645086,26.270786752460864,100.0,-2.670786752460863,-1.3353933762304315,-9.670786752460863,-4.8353933762304315,-11.670786752460865,-5.835393376230432,17.912274515871225,15.333720011394737,33.245994527265964,100.0,-9.645994527265962,-7.234495895449473,-16.645994527265962,-12.484495895449472,-18.645994527265962,-13.98449589544947,21.637132678327312,17.7979276593986,39.435060337725915,100.0,-15.835060337725913,-15.835060337725913,-22.835060337725913,-22.835060337725913,-24.835060337725913,-24.835060337725913,30.314953140116273,23.46582723740097,53.780780377517246,100.0,-30.180780377517245,-45.27117056627587,-37.180780377517245,-55.77117056627587,-39.180780377517245,-58.77117056627587,39.058989109943454,30.228327788401717,69.28731689834517,100.0,-45.687316898345166,-91.37463379669033,-52.687316898345166,-105.37463379669033,-54.687316898345166,-109.37463379669033,54.79258765888635,50.57450294417511,105.36709060306146,100.0,-81.76709060306146,-245.30127180918436,-88.76709060306146,-266.30127180918436,-90.76709060306146,-272.30127180918436,83.95811727439762,96.22503832272632,180.18315559712394,100.0,-156.58315559712395,-782.9157779856198,-163.58315559712395,-817.9157779856198,-165.58315559712395,-827.9157779856198
ATHUSDT,ATHUSDT_20260228_000000.jsonl,0.0058425000000000005,419771.8189,200001.29662999994,619773.11553,8.557980316646407,66.2973,ob200,200,200,4.278990158323945,4.278990158322461,8.557980316646407,100.0,15.042019683353594,0.7521009841676797,8.042019683353594,0.4021009841676797,6.042019683353592,0.3021009841676796,5.6690355368826015,5.0359402572634195,10.704975794146021,100.0,12.89502420585398,1.289502420585398,5.89502420585398,0.589502420585398,3.8950242058539786,0.38950242058539786,7.474478957814731,8.425711940504696,15.900190898319426,100.0,7.699809101680575,1.5399618203361152,0.6998091016805752,0.13996182033611504,-1.3001908983194266,-0.2600381796638853,8.120995736475091,10.74264168723364,18.86363742370873,100.0,4.73636257629127,1.4209087728873813,-2.2636374237087296,-0.6790912271126189,-4.263637423708731,-1.2790912271126194,8.638148927811404,13.945776807162364,22.583925734973768,100.0,1.0160742650262335,0.5080371325131168,-5.9839257349737665,-2.9919628674868832,-7.983925734973768,-3.9919628674868846,10.41137160195543,17.370895482206816,27.782267084162246,100.0,-4.182267084162245,-3.1367003131216835,-11.182267084162245,-8.386700313121683,-13.182267084162246,-9.886700313121684,12.617231482645735,20.257431860748266,32.874663343394005,100.0,-9.274663343394003,-9.274663343394003,-16.274663343394003,-16.274663343394003,-18.274663343394003,-18.274663343394003,18.251524107457126,28.07008472923299,46.32160883669012,100.0,-22.721608836690116,-34.08241325503517,-29.721608836690116,-44.58241325503517,-31.721608836690116,-47.58241325503517,22.465904195001965,36.79840485790337,59.26430905290533,100.0,-35.66430905290533,-71.32861810581066,-42.66430905290533,-85.32861810581066,-44.66430905290533,-89.32861810581066,31.2400754828021,51.46483970848812,82.70491519129023,100.0,-59.104915191290225,-177.31474557387068,-66.10491519129022,-198.31474557387065,-68.10491519129023,-204.3147455738707,50.705521872933126,89.56964320995421,140.27516508288733,100.0,-116.67516508288733,-583.3758254144367,-123.67516508288733,-618.3758254144367,-125.67516508288733,-628.3758254144367
