feature,timeframe,fwd_ret_1_corr,fwd_ret_1_pval,fwd_ret_1_scorr,fwd_ret_1_spval,fwd_ret_2_corr,fwd_ret_2_pval,fwd_ret_2_scorr,fwd_ret_2_spval,fwd_ret_3_corr,fwd_ret_3_pval,fwd_ret_3_scorr,fwd_ret_3_spval,fwd_ret_5_corr,fwd_ret_5_pval,fwd_ret_5_scorr,fwd_ret_5_spval,fwd_ret_10_corr,fwd_ret_10_pval,fwd_ret_10_scorr,fwd_ret_10_spval
range,15m,-0.011640251536397733,0.5256531565322832,0.006687829105325508,0.7153885198643763,-0.016959539915454992,0.35519696628114067,0.007199409311759792,0.6947217227404953,-0.019513584340540735,0.28749345699151746,0.019657967101175046,0.283941150800419,0.024611525622809872,0.17987627140381596,0.015080853809716126,0.4112413377958538,-0.0026437387206555384,0.8855634829530982,0.0008773508827878767,0.9619065030709015
return,15m,-0.032754669514861154,0.07405316040936095,-0.06774336013772929,0.00021759661377876056,-0.008683923648591885,0.6359404247963587,-0.06942566442144131,0.00015121404782856036,0.030871878230933486,0.09237716150761,-0.005429893094707609,0.7672729925931632,-0.024537233698937955,0.18119439040250626,-0.022632052378552075,0.21748571411356435,0.03118240636439408,0.08952250155296464,0.031235845893663378,0.08897431696637513
total_volume,15m,-0.008678268304249467,0.6361035704031742,0.008129158317614269,0.6576107900098205,-0.018261666439318314,0.31946726372125966,0.013148507974704021,0.4735126673755097,-0.04027238086573971,0.028104262528065097,0.010744939588175103,0.5581169512345763,0.0038550686586814897,0.8336363590891476,0.014324378103524141,0.4351033115947561,-0.01524337842844162,0.40661351271039053,-0.007069850400284541,0.700331067593218
total_notional,15m,-0.010441607664024025,0.569153491732661,0.007910737824860731,0.6662464504476384,-0.013980580735914638,0.44597692255244153,0.012325132450210843,0.5016559108579008,-0.03504568969882238,0.05604862594088241,0.010578296351852525,0.5642383844150225,0.004687028856705369,0.7984379451867174,0.014310870830533989,0.4355365129440333,-0.013437972737546494,0.4644311212712106,-0.006968210539215148,0.7044351628037442
total_trades,15m,-0.009632998516506328,0.5994376197037774,0.01071790973497256,0.5589753967236637,-0.01622633121257887,0.3763835472209569,0.01039091192277544,0.5710952914847128,-0.02982797296157253,0.10393801276280482,0.014951823848970024,0.4150984985473032,0.008782399546137968,0.6322879818971211,0.018136649876235655,0.3230363588600381,-0.02378079662838903,0.1954019943163805,-0.005594214274043916,0.7607161919363562
buy_volume,15m,-0.022968636801361873,0.21041323482112678,-0.0010009530965078184,0.9564789556791256,-0.010705076321317744,0.5595122495817325,0.006865794344097514,0.7082042430002677,-0.028176318108629313,0.12454355405388678,0.016109654435787164,0.37990567997500646,-0.002070134104675982,0.9101976892970426,0.012696208409851386,0.4890834285265745,-0.012569654012800344,0.49378931981364216,-0.0036505566272039803,0.8424741083463714
sell_volume,15m,0.00479159798638743,0.7939055192969646,0.02028090497161398,0.2687950765219007,-0.024371517787566563,0.1839388673250495,0.021001692050435665,0.25222601059902366,-0.04953908634695022,0.006899580566666208,0.005341517467375224,0.7709541666286486,0.009085580709232427,0.6205800187124321,0.016499210782697612,0.3686509303177986,-0.017016174513992267,0.3542411409345209,-0.010153840302513928,0.5804213255416628
net_volume_delta,15m,-0.061729145808709855,0.0007551666707648052,-0.07880626520419505,1.683019960530344e-05,0.03483379926490264,0.05750955088336536,-0.03350163726897563,0.06773945121978041,0.0574910810907676,0.0017127524120444753,0.02691052346934885,0.14238941099547955,-0.026429324476837934,0.14980364813160343,0.0014045665515340078,0.9390003419072748,0.01341730739224508,0.46511835833556736,0.02725290465023132,0.13784334119909275
buy_sell_volume_ratio,15m,-0.028774435779675776,0.11661869898155436,-0.06365356446936976,0.000512844782444538,-0.007773316254313378,0.671754510477998,-0.028551274422963725,0.11954429796795751,0.028205305009930695,0.1241563073406492,0.02423511485981375,0.18648023527066315,-0.001094179735139724,0.9524620768973153,-0.0032308284797918775,0.8602713684158438,0.017602007451681567,0.33791503446440074,0.020664140547311048,0.260574034696684
buy_trades,15m,-0.015439301780006801,0.399893885440754,0.0017197621271498262,0.9252977425229765,-0.018062668366246613,0.3247700381539495,0.0035639999744681286,0.845957048812717,-0.025031866149073625,0.1724077634318179,0.013650154233334079,0.45687685163525993,0.00865304389053774,0.6373117241084412,0.013372277838517611,0.46624209671838346,-0.030300314776692407,0.09896983341438229,-0.004797600767558729,0.7939587296066126
