# Experiment: novel
# Symbol: ETHUSDT
# Exchange: bybit_futures
# Period: 2025-11-01 → 2026-01-31
# Started: 2026-02-15 21:50:57 UTC


======================================================================
  NOVEL EXPERIMENTS (N01-N16)
  ETHUSDT on bybit_futures | 2025-11-01 → 2026-01-31 (92 days)
  Fee: 7.0 bps RT
  Experiments: 16
======================================================================

  Loading & computing features...
    [ 5/92] 2025-11-05  elapsed=13s  ETA=222s  RAM=8.1GB
    [10/92] 2025-11-10  elapsed=22s  ETA=184s  RAM=8.5GB
    [15/92] 2025-11-15  elapsed=35s  ETA=179s  RAM=8.1GB
    [20/92] 2025-11-20  elapsed=49s  ETA=178s  RAM=7.8GB
    [25/92] 2025-11-25  elapsed=62s  ETA=166s  RAM=8.3GB
    [30/92] 2025-11-30  elapsed=69s  ETA=142s  RAM=8.6GB
    [35/92] 2025-12-05  elapsed=79s  ETA=129s  RAM=7.8GB
    [40/92] 2025-12-10  elapsed=89s  ETA=115s  RAM=7.9GB
    [45/92] 2025-12-15  elapsed=97s  ETA=101s  RAM=7.8GB
    [50/92] 2025-12-20  elapsed=107s  ETA=90s  RAM=7.8GB
    [55/92] 2025-12-25  elapsed=114s  ETA=77s  RAM=8.0GB
    [60/92] 2025-12-30  elapsed=119s  ETA=64s  RAM=8.1GB
    [65/92] 2026-01-04  elapsed=124s  ETA=52s  RAM=8.0GB
    [70/92] 2026-01-09  elapsed=133s  ETA=42s  RAM=7.9GB
    [75/92] 2026-01-14  elapsed=139s  ETA=32s  RAM=7.8GB
    [80/92] 2026-01-19  elapsed=145s  ETA=22s  RAM=7.9GB
    [85/92] 2026-01-24  elapsed=152s  ETA=13s  RAM=7.9GB
    [90/92] 2026-01-29  elapsed=160s  ETA=4s  RAM=7.8GB
    [92/92] 2026-01-31  elapsed=167s  ETA=0s  RAM=7.7GB
  26,496 bars, adding derived features...

  📋 N01_vpin_toxicity: VPIN: high toxicity predicts adverse selection → fade it
    - thresh=1.0, hold=1h_c, trades=1871, avg=-7.01, total=-13124.9, WR=42%, sharpe=-0.10
    - thresh=1.0, hold=1h_m, trades=1871, avg=-6.99, total=-13069.1, WR=42%, sharpe=-0.10
    - thresh=1.0, hold=2h_c, trades=1017, avg=-5.59, total=-5687.3, WR=45%, sharpe=-0.05
    - thresh=1.0, hold=2h_m, trades=1017, avg=-8.41, total=-8550.7, WR=41%, sharpe=-0.08
    - thresh=1.0, hold=4h_c, trades=526, avg=-8.99, total=-4729.4, WR=47%, sharpe=-0.06
    - thresh=1.0, hold=4h_m, trades=526, avg=-5.01, total=-2634.6, WR=46%, sharpe=-0.03
    - thresh=1.5, hold=1h_c, trades=1443, avg=-8.52, total=-12290.1, WR=43%, sharpe=-0.12
    - thresh=1.5, hold=1h_m, trades=1443, avg=-5.48, total=-7911.9, WR=41%, sharpe=-0.07
    - thresh=1.5, hold=2h_c, trades=858, avg=-8.72, total=-7480.5, WR=45%, sharpe=-0.09
    - thresh=1.5, hold=2h_m, trades=858, avg=-5.28, total=-4531.5, WR=43%, sharpe=-0.05
    - thresh=1.5, hold=4h_c, trades=488, avg=-11.91, total=-5813.1, WR=48%, sharpe=-0.08
    - thresh=1.5, hold=4h_m, trades=488, avg=-2.09, total=-1018.9, WR=44%, sharpe=-0.01
    - thresh=2.0, hold=1h_c, trades=752, avg=-7.38, total=-5548.3, WR=42%, sharpe=-0.12
    - thresh=2.0, hold=1h_m, trades=752, avg=-6.62, total=-4979.7, WR=41%, sharpe=-0.11
    - thresh=2.0, hold=2h_c, trades=551, avg=-8.30, total=-4573.4, WR=43%, sharpe=-0.09
    - thresh=2.0, hold=2h_m, trades=551, avg=-5.70, total=-3140.6, WR=44%, sharpe=-0.06
    - thresh=2.0, hold=4h_c, trades=360, avg=-13.51, total=-4864.3, WR=44%, sharpe=-0.10
    - thresh=2.0, hold=4h_m, trades=360, avg=-0.49, total=-175.7, WR=45%, sharpe=-0.00
       BEST: thresh=2.0, hold=4h_m, trades=360, avg=-0.49 bps, total=-175.7, WR=45%, sharpe=-0.00

  📋 N02_hurst_regime: Hurst exponent: H>0.5 = trending, H<0.5 = mean-reverting → adapt
    - thresh=1.0, hold=1h, trades=1701, avg=-7.08, total=-12048.7, WR=41%, sharpe=-0.09
    - thresh=1.0, hold=2h, trades=942, avg=-6.61, total=-6224.0, WR=42%, sharpe=-0.06
    - thresh=1.0, hold=4h, trades=510, avg=-7.21, total=-3676.2, WR=45%, sharpe=-0.05
    - thresh=1.5, hold=1h, trades=1094, avg=-5.01, total=-5484.8, WR=41%, sharpe=-0.06
    - thresh=1.5, hold=2h, trades=729, avg=-4.14, total=-3018.3, WR=45%, sharpe=-0.04
    - thresh=1.5, hold=4h, trades=422, avg=-15.08, total=-6365.1, WR=43%, sharpe=-0.10
       BEST: thresh=1.5, hold=2h, trades=729, avg=-4.14 bps, total=-3018.3, WR=45%, sharpe=-0.04

  📋 N03_sign_persistence: Order flow autocorrelation: persistent flow = informed → follow
    - thresh=1.0, hold=1h, trades=1953, avg=-7.61, total=-14857.2, WR=42%, sharpe=-0.11
    - thresh=1.0, hold=2h, trades=1022, avg=-6.08, total=-6209.7, WR=44%, sharpe=-0.06
    - thresh=1.0, hold=4h, trades=528, avg=-0.07, total=-34.4, WR=47%, sharpe=-0.00
       BEST: thresh=1.0, hold=4h, trades=528, avg=-0.07 bps, total=-34.4, WR=47%, sharpe=-0.00

  📋 N04_info_decay: Trade informativeness: first-half flow predicts second-half price
    - thresh=1.0, hold=1h, trades=1346, avg=-6.89, total=-9271.8, WR=42%, sharpe=-0.10
    - thresh=1.0, hold=2h, trades=840, avg=-12.53, total=-10527.1, WR=41%, sharpe=-0.12
    - thresh=1.0, hold=4h, trades=471, avg=-17.72, total=-8347.8, WR=48%, sharpe=-0.11
    - thresh=1.5, hold=1h, trades=759, avg=-5.87, total=-4454.4, WR=40%, sharpe=-0.08
    - thresh=1.5, hold=2h, trades=553, avg=-10.36, total=-5731.0, WR=42%, sharpe=-0.10
    - thresh=1.5, hold=4h, trades=371, avg=-6.16, total=-2285.2, WR=45%, sharpe=-0.04
