# Experiment: novel
# Symbol: SOLUSDT
# Exchange: bybit_futures
# Period: 2025-11-01 → 2026-01-31
# Started: 2026-02-15 21:53:46 UTC


======================================================================
  NOVEL EXPERIMENTS (N01-N16)
  SOLUSDT on bybit_futures | 2025-11-01 → 2026-01-31 (92 days)
  Fee: 7.0 bps RT
  Experiments: 16
======================================================================

  Loading & computing features...
    [ 5/92] 2025-11-05  elapsed=8s  ETA=139s  RAM=8.2GB
    [10/92] 2025-11-10  elapsed=15s  ETA=119s  RAM=8.3GB
    [15/92] 2025-11-15  elapsed=22s  ETA=112s  RAM=8.1GB
    [20/92] 2025-11-20  elapsed=29s  ETA=105s  RAM=8.1GB
    [25/92] 2025-11-25  elapsed=35s  ETA=95s  RAM=8.1GB
    [30/92] 2025-11-30  elapsed=39s  ETA=81s  RAM=8.0GB
    [35/92] 2025-12-05  elapsed=44s  ETA=72s  RAM=8.0GB
    [40/92] 2025-12-10  elapsed=49s  ETA=63s  RAM=8.2GB
    [45/92] 2025-12-15  elapsed=53s  ETA=55s  RAM=8.0GB
    [50/92] 2025-12-20  elapsed=58s  ETA=48s  RAM=8.1GB
    [55/92] 2025-12-25  elapsed=61s  ETA=41s  RAM=8.0GB
    [60/92] 2025-12-30  elapsed=63s  ETA=34s  RAM=7.9GB
    [65/92] 2026-01-04  elapsed=67s  ETA=28s  RAM=7.8GB
    [70/92] 2026-01-09  elapsed=71s  ETA=22s  RAM=7.9GB
    [75/92] 2026-01-14  elapsed=76s  ETA=17s  RAM=7.9GB
    [80/92] 2026-01-19  elapsed=79s  ETA=12s  RAM=7.9GB
    [85/92] 2026-01-24  elapsed=82s  ETA=7s  RAM=7.9GB
    [90/92] 2026-01-29  elapsed=86s  ETA=2s  RAM=8.0GB
    [92/92] 2026-01-31  elapsed=89s  ETA=0s  RAM=7.8GB
  26,496 bars, adding derived features...

  📋 N01_vpin_toxicity: VPIN: high toxicity predicts adverse selection → fade it
    - thresh=1.0, hold=1h_c, trades=1876, avg=-7.69, total=-14428.7, WR=44%, sharpe=-0.10
    - thresh=1.0, hold=1h_m, trades=1876, avg=-6.31, total=-11835.3, WR=44%, sharpe=-0.08
    - thresh=1.0, hold=2h_c, trades=1014, avg=-5.84, total=-5919.5, WR=48%, sharpe=-0.05
    - thresh=1.0, hold=2h_m, trades=1014, avg=-8.16, total=-8276.5, WR=45%, sharpe=-0.07
    - thresh=1.0, hold=4h_c, trades=526, avg=-9.88, total=-5195.0, WR=46%, sharpe=-0.06
    - thresh=1.0, hold=4h_m, trades=526, avg=-4.12, total=-2169.0, WR=47%, sharpe=-0.03
    - thresh=1.5, hold=1h_c, trades=1419, avg=-9.79, total=-13898.5, WR=44%, sharpe=-0.12
    - thresh=1.5, hold=1h_m, trades=1419, avg=-4.21, total=-5967.5, WR=45%, sharpe=-0.05
    - thresh=1.5, hold=2h_c, trades=868, avg=-4.36, total=-3780.6, WR=49%, sharpe=-0.04
    - thresh=1.5, hold=2h_m, trades=868, avg=-9.64, total=-8371.4, WR=43%, sharpe=-0.08
    - thresh=1.5, hold=4h_c, trades=485, avg=-7.21, total=-3498.6, WR=48%, sharpe=-0.04
    - thresh=1.5, hold=4h_m, trades=485, avg=-6.79, total=-3291.4, WR=45%, sharpe=-0.04
    - thresh=2.0, hold=1h_c, trades=751, avg=-11.07, total=-8316.4, WR=43%, sharpe=-0.16
    - thresh=2.0, hold=1h_m, trades=751, avg=-2.93, total=-2197.6, WR=44%, sharpe=-0.04
    - thresh=2.0, hold=2h_c, trades=547, avg=-2.07, total=-1131.3, WR=48%, sharpe=-0.02
    - thresh=2.0, hold=2h_m, trades=547, avg=-11.93, total=-6526.7, WR=45%, sharpe=-0.11
    - thresh=2.0, hold=4h_c, trades=366, avg=-9.97, total=-3649.1, WR=43%, sharpe=-0.07
    - thresh=2.0, hold=4h_m, trades=366, avg=-4.03, total=-1474.9, WR=49%, sharpe=-0.03
       BEST: thresh=2.0, hold=2h_c, trades=547, avg=-2.07 bps, total=-1131.3, WR=48%, sharpe=-0.02

