hour_utc,Mon,Tue,Wed,Thu,Fri,Sat,Sun,sessions_active,tokyo,london,new_york,n_sessions
00:00,131.81,118.49,107.89,110.4,116.6,95.24,86.28,Tokyo,1,0,0,1
01:00,128.46,112.39,107.71,107.43,114.97,87.35,80.53,Tokyo,1,0,0,1
02:00,115.08,102.57,93.99,97.71,103.64,75.91,74.17,Tokyo,1,0,0,1
03:00,94.86,88.78,84.35,88.06,89.0,67.97,67.12,Tokyo,1,0,0,1
04:00,84.15,84.57,81.67,82.83,85.37,69.26,65.19,Tokyo,1,0,0,1
05:00,89.28,87.41,80.53,79.46,83.3,67.88,62.04,Tokyo,1,0,0,1
06:00,97.78,86.95,82.66,84.6,87.23,67.67,60.27,Tokyo,1,0,0,1
07:00,100.93,90.13,85.98,83.73,95.34,68.3,64.6,Tokyo + London,1,1,0,2
08:00,103.2,96.79,94.64,88.42,97.23,72.98,68.08,Tokyo + London,1,1,0,2
09:00,102.9,91.91,88.24,85.7,93.41,69.24,70.59,London,0,1,0,1
10:00,95.2,90.65,84.75,86.46,89.52,68.9,67.86,London,0,1,0,1
11:00,91.79,92.27,88.8,88.38,90.69,66.75,69.38,London,0,1,0,1
12:00,100.06,108.05,116.16,113.15,112.87,71.26,76.29,London + New York,0,1,1,2
13:00,128.44,134.05,132.26,134.9,131.43,78.4,83.85,London + New York,0,1,1,2
14:00,158.26,167.62,153.79,150.82,156.81,82.35,95.07,London + New York,0,1,1,2
15:00,150.41,158.24,144.13,149.64,154.0,84.45,95.79,London + New York,0,1,1,2
16:00,140.15,140.87,134.38,137.87,140.76,89.25,99.41,New York,0,0,1,1
17:00,131.13,129.26,130.33,123.74,125.67,85.31,93.23,New York,0,0,1,1
18:00,118.95,117.85,133.83,118.99,117.65,77.1,89.66,New York,0,0,1,1
19:00,116.22,118.45,133.23,116.18,104.0,72.47,85.65,New York,0,0,1,1
20:00,110.27,114.03,130.17,116.75,102.75,78.45,89.91,New York,0,0,1,1
21:00,107.63,109.88,111.53,115.51,113.12,74.4,89.1,Quiet,0,0,0,0
22:00,100.08,100.59,99.67,99.18,95.43,71.24,112.45,Quiet,0,0,0,0
23:00,89.67,87.71,89.06,87.54,80.19,71.98,105.98,Quiet,0,0,0,0
