hour_utc,Mon,Tue,Wed,Thu,Fri,Sat,Sun,session
00:00,23.73,20.37,18.68,19.61,19.75,14.57,12.25,Asia
01:00,23.09,20.44,19.28,19.2,20.64,13.32,12.07,Asia
02:00,19.62,18.54,16.52,17.97,18.93,11.46,11.1,Asia
03:00,16.32,15.82,14.35,15.5,15.77,10.02,10.06,Asia
04:00,14.03,14.3,13.99,14.05,14.53,9.51,9.46,Asia
05:00,15.06,15.05,13.48,13.3,14.13,9.38,8.86,Asia
06:00,16.97,14.63,13.93,14.3,14.73,9.34,8.62,Asia
07:00,17.14,15.33,14.7,14.27,16.82,9.67,9.15,Asia
08:00,17.58,16.62,16.44,15.27,17.22,10.22,9.89,Europe
09:00,17.75,15.99,15.42,14.61,16.42,9.83,10.58,Europe
10:00,16.41,15.61,14.95,14.5,15.67,9.77,9.82,Europe
11:00,16.09,15.9,16.08,15.38,16.12,9.54,10.61,Europe
12:00,18.39,19.75,21.87,20.77,21.34,10.54,11.81,Europe
13:00,25.34,25.43,26.11,26.36,25.93,11.39,13.4,Europe
14:00,32.43,34.57,32.18,31.88,32.79,12.17,15.71,Europe
15:00,30.33,31.95,29.49,30.95,31.83,12.74,15.95,Europe
16:00,26.74,27.46,26.44,26.73,27.91,12.86,16.25,US
17:00,25.43,25.54,25.95,25.01,25.23,12.45,15.64,US
18:00,23.22,23.55,27.09,23.66,22.93,11.57,15.18,US
19:00,23.18,23.85,27.04,23.85,21.11,10.91,14.31,US
20:00,20.81,22.11,26.17,23.54,20.32,12.16,15.1,US
21:00,19.74,21.07,21.79,22.47,19.54,11.49,15.78,US
22:00,19.14,19.04,18.89,18.82,16.9,11.01,21.22,US
23:00,16.73,16.16,16.73,15.86,13.65,11.34,20.31,US
