hour_utc,Mon,Tue,Wed,Thu,Fri,Sat,Sun,sessions_active,tokyo,london,new_york,n_sessions
00:00,48.03,45.16,39.7,39.38,41.35,36.85,35.06,Tokyo,1,0,0,1
01:00,44.85,41.76,38.83,38.81,39.91,35.41,32.21,Tokyo,1,0,0,1
02:00,41.32,37.89,34.31,34.03,35.66,29.7,29.23,Tokyo,1,0,0,1
03:00,33.94,32.6,32.23,32.3,31.08,27.04,26.53,Tokyo,1,0,0,1
04:00,31.52,32.31,29.97,31.22,29.45,29.02,26.49,Tokyo,1,0,0,1
05:00,33.77,33.11,29.85,29.38,29.34,27.23,24.03,Tokyo,1,0,0,1
06:00,35.66,32.38,30.43,30.63,31.13,27.55,23.5,Tokyo,1,0,0,1
07:00,36.52,32.83,31.78,30.05,33.18,27.94,25.96,Tokyo + London,1,1,0,2
08:00,37.47,34.71,34.56,31.86,33.3,28.98,26.56,Tokyo + London,1,1,0,2
09:00,36.86,32.83,31.68,30.78,32.63,27.78,27.58,London,0,1,0,1
10:00,34.43,33.23,30.03,32.42,31.05,27.72,25.37,London,0,1,0,1
11:00,32.66,33.76,30.51,31.55,31.64,26.29,26.11,London,0,1,0,1
12:00,35.62,38.72,39.61,39.67,38.27,27.97,28.98,London + New York,0,1,1,2
13:00,44.08,48.2,44.41,46.44,45.2,31.39,31.02,London + New York,0,1,1,2
14:00,52.88,56.97,50.38,49.85,51.84,32.13,35.44,London + New York,0,1,1,2
15:00,50.98,53.68,48.42,48.23,50.96,32.65,34.95,London + New York,0,1,1,2
16:00,49.33,50.14,47.6,48.1,48.6,37.04,38.56,New York,0,0,1,1
17:00,46.53,45.83,44.75,40.05,42.73,34.55,34.73,New York,0,0,1,1
18:00,42.36,40.24,44.15,38.43,39.57,30.77,33.39,New York,0,0,1,1
19:00,39.16,40.24,43.56,37.49,33.48,28.72,32.26,New York,0,0,1,1
20:00,37.99,38.36,42.38,39.11,33.46,30.25,32.57,New York,0,0,1,1
21:00,36.77,36.25,36.21,37.17,43.42,28.35,31.2,Quiet,0,0,0,0
22:00,34.12,34.26,33.48,33.78,34.71,27.28,38.47,Quiet,0,0,0,0
23:00,31.54,29.61,30.25,30.66,29.01,27.57,36.24,Quiet,0,0,0,0
