hour_utc,Mon,Tue,Wed,Thu,Fri,Sat,Sun,session
00:00,32.03,28.21,25.85,26.64,27.74,21.78,19.16,Asia
01:00,32.1,26.83,26.74,26.62,28.22,19.82,18.53,Asia
02:00,29.09,24.58,22.94,24.05,25.69,16.94,16.94,Asia
03:00,22.47,21.01,19.91,21.13,21.43,14.98,15.27,Asia
04:00,19.34,19.19,19.38,19.7,20.52,14.5,14.28,Asia
05:00,20.93,19.96,19.5,18.67,19.71,14.51,14.01,Asia
06:00,23.27,20.13,19.06,19.9,20.89,14.61,13.56,Asia
07:00,23.6,21.2,19.82,20.13,23.77,14.95,14.21,Asia
08:00,24.22,23.06,22.33,21.49,24.25,16.93,15.76,Europe
09:00,25.09,21.54,21.32,20.3,22.88,15.49,16.41,Europe
10:00,22.86,21.02,20.54,20.81,21.38,15.45,15.11,Europe
11:00,21.58,21.73,21.3,20.93,22.03,14.92,15.96,Europe
12:00,23.77,25.41,27.99,28.19,27.69,16.43,17.2,Europe
13:00,31.48,32.92,32.7,33.69,32.8,17.95,20.13,Europe
14:00,40.24,42.37,40.45,38.81,40.92,19.15,23.53,Europe
15:00,37.13,39.77,36.75,38.71,39.47,19.74,22.77,Europe
16:00,33.89,34.63,33.59,34.08,35.31,20.84,24.02,US
17:00,32.09,32.44,33.14,30.97,31.6,19.82,23.65,US
18:00,29.19,29.39,34.64,29.66,29.0,18.3,22.31,US
19:00,29.36,29.38,33.67,28.79,26.12,16.94,20.7,US
20:00,26.85,28.39,32.11,29.38,25.61,18.09,22.01,US
21:00,26.58,27.21,27.48,29.48,26.46,18.17,22.34,US
22:00,24.85,25.16,24.78,24.47,22.78,16.98,29.68,US
23:00,21.8,21.7,22.29,21.32,18.91,16.93,26.9,US
