hour_utc,Mon,Tue,Wed,Thu,Fri,Sat,Sun,session
00:00,49.05,44.85,42.05,43.44,46.87,39.02,36.12,Asia
01:00,48.49,42.77,41.34,40.96,44.47,34.72,33.17,Asia
02:00,44.58,39.36,36.23,37.63,39.23,31.79,30.73,Asia
03:00,37.33,34.11,32.89,33.72,34.63,27.8,27.82,Asia
04:00,33.28,33.44,31.74,31.67,33.41,29.39,28.07,Asia
05:00,34.56,33.88,30.82,30.84,32.67,28.96,26.28,Asia
06:00,36.68,33.6,32.24,32.19,33.4,28.78,25.35,Asia
07:00,39.13,33.77,32.75,31.71,35.66,28.07,27.03,Asia
08:00,39.13,36.23,35.58,33.11,36.61,29.2,27.88,Europe
09:00,38.61,34.98,33.12,33.27,35.51,28.14,28.0,Europe
10:00,36.07,33.89,32.37,32.26,34.56,27.67,27.96,Europe
11:00,34.34,34.44,34.01,34.89,34.09,26.76,27.62,Europe
12:00,37.37,40.07,44.87,42.98,42.7,28.54,30.62,Europe
13:00,47.73,48.83,48.86,49.59,48.29,31.56,33.04,Europe
14:00,57.0,60.27,55.01,53.96,55.61,33.28,36.14,Europe
15:00,55.62,57.92,52.78,53.84,55.36,33.13,37.94,Europe
16:00,50.73,52.48,48.99,51.2,51.35,35.18,38.47,US
17:00,46.91,46.75,46.74,45.08,46.02,34.53,35.81,US
18:00,42.49,42.54,49.44,42.63,44.2,30.42,34.1,US
19:00,41.47,42.35,48.95,41.68,38.4,28.41,32.23,US
20:00,39.33,41.37,47.1,41.86,38.22,31.16,34.77,US
21:00,38.25,40.72,41.19,40.48,40.28,29.31,33.96,US
22:00,36.55,36.93,37.3,36.7,36.85,28.96,42.13,US
23:00,33.56,33.25,33.51,33.18,32.08,29.2,39.33,US
