hour_utc,Mon,Tue,Wed,Thu,Fri,Sat,Sun,sessions_active,tokyo,london,new_york,n_sessions
00:00,41.11,36.87,32.76,32.99,36.7,30.34,27.64,Tokyo,1,0,0,1
01:00,39.76,33.2,31.44,31.69,35.14,27.6,24.4,Tokyo,1,0,0,1
02:00,34.68,29.98,27.72,28.56,31.57,23.48,22.68,Tokyo,1,0,0,1
03:00,29.55,26.53,24.87,26.41,27.23,21.84,20.21,Tokyo,1,0,0,1
04:00,26.22,25.78,24.87,25.29,27.38,22.39,19.22,Tokyo,1,0,0,1
05:00,27.57,27.01,24.78,24.87,26.6,22.25,19.34,Tokyo,1,0,0,1
06:00,31.43,27.74,26.3,27.65,28.25,21.7,18.82,Tokyo,1,0,0,1
07:00,32.84,29.84,27.79,26.85,29.93,22.06,20.5,Tokyo + London,1,1,0,2
08:00,34.23,32.03,30.47,28.05,30.65,24.2,21.44,Tokyo + London,1,1,0,2
09:00,33.12,29.9,27.81,27.08,29.28,22.68,22.55,London,0,1,0,1
10:00,30.29,29.98,25.98,27.5,28.52,22.82,23.19,London,0,1,0,1
11:00,30.26,30.14,27.61,26.95,28.71,22.48,22.71,London,0,1,0,1
12:00,31.21,34.62,35.03,33.49,34.18,22.85,25.0,London + New York,0,1,1,2
13:00,37.66,40.47,39.61,39.71,38.21,25.31,26.46,London + New York,0,1,1,2
14:00,45.69,47.73,42.25,41.64,43.75,26.49,29.47,London + New York,0,1,1,2
15:00,43.74,45.6,40.11,43.12,43.91,27.9,29.93,London + New York,0,1,1,2
16:00,44.24,40.31,38.36,40.47,40.8,28.43,30.11,New York,0,0,1,1
17:00,40.07,36.74,37.78,37.16,35.78,26.69,27.12,New York,0,0,1,1
18:00,35.56,34.48,37.11,37.45,34.78,23.86,26.75,New York,0,0,1,1
19:00,34.49,35.2,38.67,35.22,30.06,22.96,26.77,New York,0,0,1,1
20:00,35.74,34.99,40.36,34.31,30.4,25.09,27.81,New York,0,0,1,1
21:00,35.84,34.05,34.68,37.32,38.09,22.75,26.59,Quiet,0,0,0,0
22:00,30.34,30.45,29.99,30.09,28.75,21.19,31.05,Quiet,0,0,0,0
23:00,26.66,26.52,26.04,26.51,24.1,21.43,30.53,Quiet,0,0,0,0
