hour_utc,summer_session,winter_session,BTCUSDT_summer_range,BTCUSDT_winter_range,ETHUSDT_summer_range,ETHUSDT_winter_range,SOLUSDT_summer_range,SOLUSDT_winter_range,DOGEUSDT_summer_range,DOGEUSDT_winter_range,XRPUSDT_summer_range,XRPUSDT_winter_range
00:00,Tokyo,Tokyo,19.02,22.79,26.35,31.01,41.29,51.87,39.68,47.81,31.48,43.78
01:00,Tokyo,Tokyo,19.05,23.0,26.42,30.92,39.94,49.73,38.21,45.21,29.9,41.52
02:00,Tokyo,Tokyo,16.78,20.88,23.24,28.67,35.12,46.57,33.62,41.69,26.35,37.44
03:00,Tokyo,Tokyo,14.41,17.46,19.7,23.67,31.62,39.4,30.13,36.26,23.56,32.52
04:00,Tokyo,Tokyo,13.17,15.86,18.36,21.74,30.05,37.14,28.57,34.77,23.03,30.72
05:00,Tokyo,Tokyo,13.38,15.58,18.67,21.56,30.31,36.3,29.1,34.41,23.48,30.64
06:00,Tokyo(late),Tokyo(late),14.26,16.01,19.95,21.83,31.5,37.17,30.43,34.74,26.13,31.86
07:00,Tokyo(late) + London,Tokyo(late),15.17,16.47,21.13,22.66,32.03,38.9,31.52,35.14,27.65,32.46
08:00,Tokyo(late) + London,Tokyo(late) + London,15.82,17.97,22.21,24.51,33.75,40.12,32.57,37.4,28.29,35.76
09:00,London,London,14.86,18.01,20.9,24.45,32.18,39.98,30.51,37.03,26.34,34.62
10:00,London,London,14.7,16.65,20.5,22.7,31.26,38.13,30.5,35.13,25.98,32.59
11:00,London,London,15.07,17.33,20.61,23.02,31.38,39.32,29.89,35.58,25.51,34.12
12:00,London,London,20.78,19.83,27.13,25.74,40.62,43.22,38.45,38.25,31.72,37.01
13:00,London + NYSE(pre),London,26.95,23.97,33.7,31.08,48.23,49.37,46.07,44.98,37.72,41.49
14:00,London + NYSE,London + NYSE(pre),31.37,35.11,38.42,44.11,52.73,62.45,49.62,57.0,39.62,51.87
15:00,NYSE,London + NYSE,26.74,37.86,33.17,47.02,48.46,66.18,45.13,59.33,37.46,53.02
16:00,NYSE,NYSE,24.09,32.0,31.08,39.66,45.74,59.64,44.24,56.29,36.0,48.91
17:00,NYSE,NYSE,22.83,29.77,29.57,36.18,42.49,52.64,40.24,50.22,33.62,43.98
18:00,NYSE,NYSE,21.98,27.61,28.39,33.69,41.26,49.25,38.96,44.28,32.97,40.7
19:00,NYSE,NYSE,21.85,27.05,27.17,33.29,38.69,49.04,36.05,43.34,31.42,40.24
20:00,Quiet,NYSE,19.17,28.29,25.26,33.81,36.71,49.68,34.69,44.2,30.67,42.65
21:00,Quiet,Quiet,18.89,24.3,25.21,31.16,36.26,46.73,35.94,41.33,33.13,40.77
22:00,Quiet,Quiet,15.79,23.17,21.1,29.93,31.88,45.18,30.22,40.49,25.15,37.88
23:00,Quiet,Quiet,13.95,18.95,19.03,24.84,29.31,39.46,27.21,35.23,22.44,31.84
