bar_in_cycle,minutes_since_funding,pct_through_cycle,BTCUSDT_range_bps,ETHUSDT_range_bps,SOLUSDT_range_bps,DOGEUSDT_range_bps,XRPUSDT_range_bps,BTCUSDT_volume,ETHUSDT_volume,SOLUSDT_volume,DOGEUSDT_volume,XRPUSDT_volume
0,0,0.0,19.96,26.84,46.36,44.66,37.58,30369624.0,14158231.0,5952597.0,1879862.0,3140013.0
1,5,1.0,19.86,27.29,44.7,42.19,35.84,27465167.0,14323567.0,5501257.0,1803642.0,2939203.0
2,10,2.1,18.68,25.12,41.23,38.74,33.15,25708704.0,14193152.0,5135053.0,1607527.0,2715256.0
3,15,3.1,20.15,28.6,45.14,43.99,36.43,27382409.0,15350818.0,5545798.0,1815502.0,2924156.0
4,20,4.2,19.61,27.26,41.93,40.59,34.24,26251656.0,13119707.0,5194482.0,1677423.0,2793251.0
5,25,5.2,18.19,24.83,38.48,37.03,31.67,24382524.0,11565692.0,4693607.0,1481953.0,2501762.0
6,30,6.2,20.09,28.21,44.04,42.95,35.98,26722785.0,13177431.0,5326210.0,1756566.0,2880529.0
7,35,7.3,19.39,26.89,41.43,39.63,33.08,25299807.0,12639493.0,5068597.0,1668566.0,2666274.0
8,40,8.3,17.74,24.44,37.69,36.3,30.87,23497751.0,11782101.0,4621994.0,1582645.0,2535352.0
9,45,9.4,19.13,26.45,41.9,41.23,33.97,24278412.0,12022793.0,4796813.0,1657579.0,2616781.0
10,50,10.4,17.71,24.44,37.92,36.55,30.63,23171939.0,11541837.0,4466691.0,1504616.0,2412432.0
11,55,11.5,16.08,21.49,34.9,31.75,27.8,21388858.0,9950588.0,4211267.0,1266017.0,2139939.0
12,60,12.5,19.36,26.48,43.01,41.12,34.58,25291697.0,12260660.0,5029349.0,1596628.0,2671798.0
13,65,13.5,18.91,26.64,41.23,39.18,33.72,25138525.0,12501797.0,4938814.0,1548162.0,2620777.0
14,70,14.6,17.8,24.43,38.09,36.29,30.32,23187877.0,11429313.0,4561661.0,1445573.0,2235436.0
15,75,15.6,19.77,27.25,42.58,40.74,33.73,24850752.0,12088362.0,4835418.0,1524786.0,2422447.0
16,80,16.7,18.64,25.62,39.72,37.81,31.57,24118407.0,11733417.0,4797141.0,1498391.0,2423811.0
17,85,17.7,17.38,23.71,36.31,34.43,28.82,22304160.0,11031923.0,4325857.0,1369758.0,2193979.0
18,90,18.8,19.75,27.5,41.73,40.78,33.57,25028819.0,12304618.0,4862619.0,1535664.0,2462546.0
19,95,19.8,18.66,25.48,39.28,37.63,31.89,23690771.0,11649519.0,4674229.0,1496728.0,2446748.0
20,100,20.8,17.34,23.29,36.37,34.27,29.25,22614806.0,11016135.0,4445226.0,1356409.0,2279721.0
21,105,21.9,18.56,25.36,39.73,38.07,32.07,23519126.0,11569044.0,4700842.0,1452716.0,2410753.0
22,110,22.9,17.39,23.41,36.9,34.73,29.39,21814405.0,10661427.0,4311639.0,1348774.0,2189111.0
23,115,24.0,15.8,21.17,33.25,31.27,26.52,20770453.0,10173891.0,4041675.0,1281943.0,2060336.0
24,120,25.0,18.95,25.9,42.12,40.16,33.79,25820343.0,12504692.0,5025500.0,1562381.0,2569707.0
25,125,26.0,18.2,25.3,39.16,37.31,31.94,23427584.0,11380562.0,4700898.0,1500413.0,2375428.0
26,130,27.1,16.79,22.92,36.3,33.68,29.05,21884064.0,10382874.0,4351811.0,1328895.0,2159800.0
27,135,28.1,18.12,25.42,39.75,38.08,31.78,22549760.0,11299714.0,4685611.0,1432947.0,2321633.0
28,140,29.2,17.24,23.9,36.82,34.49,29.45,21700804.0,10759614.0,4357348.0,1318126.0,2184148.0
29,145,30.2,16.14,21.64,34.39,31.74,27.2,20054603.0,9626830.0,4069146.0,1221852.0,1986357.0
30,150,31.2,18.12,24.94,39.19,37.38,30.97,22759328.0,10952374.0,4572545.0,1410947.0,2216401.0
31,155,32.3,17.24,23.72,36.66,34.78,29.41,21410599.0,10747386.0,4370883.0,1405848.0,2087714.0
32,160,33.3,15.92,21.45,33.8,31.36,26.85,19923851.0,9729182.0,4012146.0,1253403.0,1932281.0
33,165,34.4,17.32,23.44,37.03,34.98,29.63,20696436.0,10027350.0,4274500.0,1296051.0,2066422.0
34,170,35.4,16.11,21.92,34.09,32.24,27.77,20103369.0,9680591.0,4071680.0,1342313.0,1982003.0
35,175,36.5,14.45,19.37,30.75,28.26,24.69,18575685.0,8763977.0,3657458.0,1150323.0,1741890.0
36,180,37.5,17.71,24.0,38.79,36.52,31.55,23073958.0,10769062.0,4504162.0,1417771.0,2230633.0
37,185,38.5,17.23,23.08,36.6,34.77,30.12,22195285.0,10480036.0,4318783.0,1443006.0,2252311.0
38,190,39.6,16.09,21.37,34.02,31.77,27.6,20279026.0,9491309.0,4047409.0,1248440.0,2015961.0
39,195,40.6,17.47,23.84,37.13,35.47,30.22,21452511.0,10359427.0,4405273.0,1363314.0,2184811.0
40,200,41.7,16.43,22.43,35.06,32.92,28.13,20346452.0,10084035.0,4049063.0,1292685.0,1997968.0
41,205,42.7,15.15,20.65,32.22,30.16,25.91,19718276.0,9569573.0,3851980.0,1203419.0,1842635.0
42,210,43.8,17.02,23.28,36.88,35.34,29.66,21211082.0,10535861.0,4282436.0,1342010.0,2178172.0
