symbol,day_type,n_bars,avg_range_bps,median_range_bps,avg_volume
BTCUSDT,weekend,94176,12.09,8.87,13158515.0
BTCUSDT,other_weekday,166752,20.55,15.7,28950235.0
BTCUSDT,regular_friday,36288,20.54,15.36,28689006.0
BTCUSDT,pre_monthly_expiry,10656,17.73,14.62,23110066.0
BTCUSDT,monthly_expiry_fri,7200,18.68,14.55,26280605.0
BTCUSDT,post_monthly_expiry,10656,19.22,15.01,27176053.0
BTCUSDT,quarterly_expiry_fri,3456,17.19,14.0,23184166.0
ETHUSDT,weekend,94176,18.31,13.87,7491897.0
ETHUSDT,other_weekday,166752,26.81,20.81,13250753.0
ETHUSDT,regular_friday,36288,27.07,20.64,13785527.0
ETHUSDT,pre_monthly_expiry,10656,24.28,20.3,11606793.0
ETHUSDT,monthly_expiry_fri,7200,25.22,19.86,12422740.0
ETHUSDT,post_monthly_expiry,10656,26.31,19.75,12845506.0
ETHUSDT,quarterly_expiry_fri,3456,22.75,18.81,10463848.0
SOLUSDT,weekend,94176,31.43,24.15,3390375.0
SOLUSDT,other_weekday,166752,40.99,32.81,5207105.0
SOLUSDT,regular_friday,36288,41.57,32.67,5327275.0
SOLUSDT,pre_monthly_expiry,10656,36.63,31.34,4648497.0
SOLUSDT,monthly_expiry_fri,7200,35.83,29.79,4982847.0
SOLUSDT,post_monthly_expiry,10656,38.13,31.02,5105913.0
SOLUSDT,quarterly_expiry_fri,3456,38.1,30.25,4308199.0
DOGEUSDT,weekend,94176,30.35,22.31,1174592.0
DOGEUSDT,other_weekday,166752,38.51,29.11,1599265.0
DOGEUSDT,regular_friday,36288,38.56,28.77,1557696.0
DOGEUSDT,pre_monthly_expiry,10656,32.71,26.33,1242465.0
DOGEUSDT,monthly_expiry_fri,7200,31.86,25.41,1187869.0
DOGEUSDT,post_monthly_expiry,10656,38.19,27.45,1685192.0
DOGEUSDT,quarterly_expiry_fri,3456,33.02,26.91,1086543.0
XRPUSDT,weekend,94176,24.57,17.45,1760669.0
XRPUSDT,other_weekday,166752,33.36,24.51,2605317.0
XRPUSDT,regular_friday,36288,33.76,24.29,2739731.0
XRPUSDT,pre_monthly_expiry,10656,27.07,21.1,1895150.0
XRPUSDT,monthly_expiry_fri,7200,29.05,21.5,2274442.0
XRPUSDT,post_monthly_expiry,10656,34.67,22.14,3852168.0
XRPUSDT,quarterly_expiry_fri,3456,28.03,22.82,1918984.0
