symbol,day_type,hour,avg_range_bps
BTCUSDT,regular_friday,0,20.85
BTCUSDT,regular_friday,1,20.74
BTCUSDT,regular_friday,2,19.07
BTCUSDT,regular_friday,3,16.2
BTCUSDT,regular_friday,4,14.7
BTCUSDT,regular_friday,5,14.27
BTCUSDT,regular_friday,6,15.24
BTCUSDT,regular_friday,7,16.66
BTCUSDT,regular_friday,8,17.22
BTCUSDT,regular_friday,9,16.54
BTCUSDT,regular_friday,10,16.15
BTCUSDT,regular_friday,11,16.46
BTCUSDT,regular_friday,12,21.68
BTCUSDT,regular_friday,13,26.17
BTCUSDT,regular_friday,14,33.4
BTCUSDT,regular_friday,15,32.82
BTCUSDT,regular_friday,16,28.65
BTCUSDT,regular_friday,17,26.14
BTCUSDT,regular_friday,18,23.52
BTCUSDT,regular_friday,19,21.75
BTCUSDT,regular_friday,20,21.18
BTCUSDT,regular_friday,21,21.35
BTCUSDT,regular_friday,22,18.03
BTCUSDT,regular_friday,23,14.18
BTCUSDT,monthly_expiry,0,15.99
BTCUSDT,monthly_expiry,1,20.3
BTCUSDT,monthly_expiry,2,18.48
BTCUSDT,monthly_expiry,3,14.32
BTCUSDT,monthly_expiry,4,13.95
BTCUSDT,monthly_expiry,5,13.66
BTCUSDT,monthly_expiry,6,12.98
BTCUSDT,monthly_expiry,7,17.36
BTCUSDT,monthly_expiry,8,17.24
BTCUSDT,monthly_expiry,9,16.01
BTCUSDT,monthly_expiry,10,14.04
BTCUSDT,monthly_expiry,11,14.95
BTCUSDT,monthly_expiry,12,20.16
BTCUSDT,monthly_expiry,13,25.14
BTCUSDT,monthly_expiry,14,30.7
BTCUSDT,monthly_expiry,15,28.46
BTCUSDT,monthly_expiry,16,25.39
BTCUSDT,monthly_expiry,17,22.14
BTCUSDT,monthly_expiry,18,20.92
BTCUSDT,monthly_expiry,19,18.9
BTCUSDT,monthly_expiry,20,17.4
BTCUSDT,monthly_expiry,21,13.38
BTCUSDT,monthly_expiry,22,13.06
BTCUSDT,monthly_expiry,23,11.84
BTCUSDT,other_weekday,0,20.6
BTCUSDT,other_weekday,1,20.51
BTCUSDT,other_weekday,2,18.16
BTCUSDT,other_weekday,3,15.5
BTCUSDT,other_weekday,4,14.09
BTCUSDT,other_weekday,5,14.22
BTCUSDT,other_weekday,6,14.96
BTCUSDT,other_weekday,7,15.36
BTCUSDT,other_weekday,8,16.48
BTCUSDT,other_weekday,9,15.95
BTCUSDT,other_weekday,10,15.37
BTCUSDT,other_weekday,11,15.86
BTCUSDT,other_weekday,12,20.19
BTCUSDT,other_weekday,13,25.81
BTCUSDT,other_weekday,14,32.77
BTCUSDT,other_weekday,15,30.68
BTCUSDT,other_weekday,16,26.84
BTCUSDT,other_weekday,17,25.48
BTCUSDT,other_weekday,18,24.38
BTCUSDT,other_weekday,19,24.48
BTCUSDT,other_weekday,20,23.16
BTCUSDT,other_weekday,21,21.26
BTCUSDT,other_weekday,22,18.97
BTCUSDT,other_weekday,23,16.37
ETHUSDT,regular_friday,0,29.21
ETHUSDT,regular_friday,1,28.05
ETHUSDT,regular_friday,2,25.66
ETHUSDT,regular_friday,3,22.0
ETHUSDT,regular_friday,4,20.15
ETHUSDT,regular_friday,5,19.85
ETHUSDT,regular_friday,6,21.19
ETHUSDT,regular_friday,7,23.67
ETHUSDT,regular_friday,8,24.53
ETHUSDT,regular_friday,9,23.1
