lag_bars,lag_minutes,BTC_vs_ETHUSDT,BTC_vs_SOLUSDT,BTC_vs_DOGEUSDT,BTC_vs_XRPUSDT
-60,-300,0.37902,0.30288,0.310149,0.302089
-59,-295,0.370084,0.290432,0.298795,0.290754
-58,-290,0.368925,0.289942,0.298756,0.291503
-57,-285,0.379297,0.30137,0.309664,0.300512
-56,-280,0.372316,0.29111,0.299947,0.291545
-55,-275,0.374075,0.294767,0.302226,0.293058
-54,-270,0.385809,0.308687,0.315008,0.305801
-53,-265,0.378526,0.296935,0.303902,0.295836
-52,-260,0.379439,0.29877,0.305943,0.297102
-51,-255,0.390084,0.311104,0.318421,0.307957
-50,-250,0.382683,0.300989,0.307603,0.298252
-49,-245,0.385024,0.303693,0.310707,0.301063
-48,-240,0.397767,0.318366,0.324732,0.313878
-47,-235,0.389437,0.307025,0.313441,0.303335
-46,-230,0.389568,0.307637,0.313662,0.304272
-45,-225,0.398945,0.318699,0.32494,0.313075
-44,-220,0.391293,0.309267,0.315015,0.305639
-43,-215,0.393128,0.311957,0.318332,0.307799
-42,-210,0.406224,0.326018,0.331183,0.319624
-41,-205,0.396665,0.314795,0.319222,0.308697
-40,-200,0.399076,0.317494,0.322913,0.312225
-39,-195,0.410896,0.331582,0.335681,0.322504
-38,-190,0.405349,0.323082,0.326552,0.31517
-37,-185,0.408987,0.32698,0.329281,0.318548
-36,-180,0.422819,0.342742,0.344414,0.331356
-35,-175,0.415305,0.332392,0.333925,0.321835
-34,-170,0.416034,0.333109,0.335697,0.323474
-33,-165,0.427151,0.345638,0.346934,0.334311
-32,-160,0.421224,0.337199,0.337688,0.326039
-31,-155,0.425021,0.341532,0.341998,0.329013
-30,-150,0.437741,0.357039,0.356606,0.341534
-29,-145,0.43049,0.346879,0.347123,0.333417
-28,-140,0.433721,0.350434,0.350264,0.336662
-27,-135,0.446807,0.364397,0.364622,0.347624
-26,-130,0.442387,0.357184,0.357059,0.34157
-25,-125,0.447186,0.363257,0.362282,0.347433
-24,-120,0.462001,0.37967,0.377308,0.360494
-23,-115,0.45461,0.368793,0.366538,0.351297
-22,-110,0.455859,0.371739,0.368619,0.353293
-21,-105,0.468201,0.385075,0.380875,0.364691
-20,-100,0.462086,0.376062,0.372592,0.356582
-19,-95,0.467492,0.382237,0.378027,0.361487
-18,-90,0.481322,0.398528,0.392655,0.376396
-17,-85,0.475053,0.389359,0.384268,0.368187
-16,-80,0.480245,0.393994,0.388844,0.371857
-15,-75,0.49424,0.409025,0.403279,0.385868
