year,pair,lag0,peak_lag,peak_lag_min,peak_corr
2023,BTC-ETHUSDT,0.8502,0,0,0.8502
2023,BTC-SOLUSDT,0.6064,0,0,0.6064
2023,BTC-DOGEUSDT,0.568,0,0,0.568
2023,BTC-XRPUSDT,0.5309,0,0,0.5309
2024,BTC-ETHUSDT,0.8231,0,0,0.8231
2024,BTC-SOLUSDT,0.7293,0,0,0.7293
2024,BTC-DOGEUSDT,0.6293,0,0,0.6293
2024,BTC-XRPUSDT,0.5792,0,0,0.5792
2025,BTC-ETHUSDT,0.7827,0,0,0.7827
2025,BTC-SOLUSDT,0.7453,0,0,0.7453
2025,BTC-DOGEUSDT,0.688,0,0,0.688
2025,BTC-XRPUSDT,0.7054,0,0,0.7054
2026,BTC-ETHUSDT,0.9146,0,0,0.9146
2026,BTC-SOLUSDT,0.8738,0,0,0.8738
2026,BTC-DOGEUSDT,0.7802,0,0,0.7802
2026,BTC-XRPUSDT,0.823,0,0,0.823
