symbol,direction,lag,F_stat,p_value,significant
BTCUSDT,Volume→Range,1,8194.5,1.1102230246251565e-16,True
BTCUSDT,Volume→Range,2,1778.42,1.1102230246251565e-16,True
BTCUSDT,Volume→Range,3,1132.71,1.1102230246251565e-16,True
BTCUSDT,Volume→Range,4,956.13,1.1102230246251565e-16,True
BTCUSDT,Volume→Range,5,861.61,1.1102230246251565e-16,True
BTCUSDT,Volume→Range,6,808.03,1.1102230246251565e-16,True
BTCUSDT,Range→Volume,1,616.92,1.1102230246251565e-16,True
BTCUSDT,Range→Volume,2,289.15,1.1102230246251565e-16,True
BTCUSDT,Range→Volume,3,127.44,1.1102230246251565e-16,True
BTCUSDT,Range→Volume,4,82.16,1.1102230246251565e-16,True
BTCUSDT,Range→Volume,5,52.21,1.1102230246251565e-16,True
BTCUSDT,Range→Volume,6,45.73,1.1102230246251565e-16,True
ETHUSDT,Volume→Range,1,11001.49,1.1102230246251565e-16,True
ETHUSDT,Volume→Range,2,2427.82,1.1102230246251565e-16,True
ETHUSDT,Volume→Range,3,1237.93,1.1102230246251565e-16,True
ETHUSDT,Volume→Range,4,919.29,1.1102230246251565e-16,True
ETHUSDT,Volume→Range,5,730.24,1.1102230246251565e-16,True
ETHUSDT,Volume→Range,6,628.09,1.1102230246251565e-16,True
ETHUSDT,Range→Volume,1,1074.99,1.1102230246251565e-16,True
ETHUSDT,Range→Volume,2,553.96,1.1102230246251565e-16,True
ETHUSDT,Range→Volume,3,293.58,1.1102230246251565e-16,True
ETHUSDT,Range→Volume,4,238.64,1.1102230246251565e-16,True
ETHUSDT,Range→Volume,5,187.65,1.1102230246251565e-16,True
ETHUSDT,Range→Volume,6,154.56,1.1102230246251565e-16,True
SOLUSDT,Volume→Range,1,2928.48,1.1102230246251565e-16,True
SOLUSDT,Volume→Range,2,506.43,1.1102230246251565e-16,True
SOLUSDT,Volume→Range,3,474.74,1.1102230246251565e-16,True
SOLUSDT,Volume→Range,4,484.89,1.1102230246251565e-16,True
SOLUSDT,Volume→Range,5,470.28,1.1102230246251565e-16,True
SOLUSDT,Volume→Range,6,482.76,1.1102230246251565e-16,True
SOLUSDT,Range→Volume,1,2287.07,1.1102230246251565e-16,True
SOLUSDT,Range→Volume,2,1447.58,1.1102230246251565e-16,True
SOLUSDT,Range→Volume,3,636.75,1.1102230246251565e-16,True
SOLUSDT,Range→Volume,4,540.59,1.1102230246251565e-16,True
SOLUSDT,Range→Volume,5,412.59,1.1102230246251565e-16,True
SOLUSDT,Range→Volume,6,301.39,1.1102230246251565e-16,True
DOGEUSDT,Volume→Range,1,16134.09,1.1102230246251565e-16,True
DOGEUSDT,Volume→Range,2,3878.79,1.1102230246251565e-16,True
DOGEUSDT,Volume→Range,3,1640.72,1.1102230246251565e-16,True
DOGEUSDT,Volume→Range,4,1091.43,1.1102230246251565e-16,True
DOGEUSDT,Volume→Range,5,795.07,1.1102230246251565e-16,True
DOGEUSDT,Volume→Range,6,620.91,1.1102230246251565e-16,True
DOGEUSDT,Range→Volume,1,952.86,1.1102230246251565e-16,True
DOGEUSDT,Range→Volume,2,650.98,1.1102230246251565e-16,True
DOGEUSDT,Range→Volume,3,414.48,1.1102230246251565e-16,True
DOGEUSDT,Range→Volume,4,431.35,1.1102230246251565e-16,True
DOGEUSDT,Range→Volume,5,407.98,1.1102230246251565e-16,True
DOGEUSDT,Range→Volume,6,354.53,1.1102230246251565e-16,True
XRPUSDT,Volume→Range,1,12104.28,1.1102230246251565e-16,True
XRPUSDT,Volume→Range,2,2749.25,1.1102230246251565e-16,True
XRPUSDT,Volume→Range,3,1249.79,1.1102230246251565e-16,True
XRPUSDT,Volume→Range,4,876.07,1.1102230246251565e-16,True
XRPUSDT,Volume→Range,5,695.93,1.1102230246251565e-16,True
XRPUSDT,Volume→Range,6,605.75,1.1102230246251565e-16,True
XRPUSDT,Range→Volume,1,0.53,0.46797502761878707,False
XRPUSDT,Range→Volume,2,524.58,1.1102230246251565e-16,True
XRPUSDT,Range→Volume,3,329.72,1.1102230246251565e-16,True
XRPUSDT,Range→Volume,4,357.3,1.1102230246251565e-16,True
XRPUSDT,Range→Volume,5,315.31,1.1102230246251565e-16,True
XRPUSDT,Range→Volume,6,262.68,1.1102230246251565e-16,True
