lag_bars,lag_minutes,BTCUSDT_vol_leads_range,ETHUSDT_vol_leads_range,SOLUSDT_vol_leads_range,DOGEUSDT_vol_leads_range,XRPUSDT_vol_leads_range
-24,-120,0.430441,0.47437,0.310979,0.539575,0.486752
-23,-115,0.428508,0.470707,0.304744,0.533524,0.482245
-22,-110,0.431402,0.472198,0.306718,0.534896,0.483498
-21,-105,0.440195,0.480143,0.316142,0.542143,0.491121
-20,-100,0.439833,0.478174,0.311407,0.53903,0.488955
-19,-95,0.445282,0.482838,0.315119,0.54281,0.492328
-18,-90,0.455518,0.493471,0.327611,0.552538,0.502263
-17,-85,0.456233,0.491618,0.323425,0.547635,0.499682
-16,-80,0.46189,0.496917,0.32694,0.551498,0.502573
-15,-75,0.472909,0.507356,0.33803,0.561285,0.512033
-14,-70,0.474975,0.507292,0.336754,0.559607,0.512218
-13,-65,0.481637,0.514171,0.34275,0.564739,0.517729
-12,-60,0.496114,0.527251,0.356569,0.575912,0.529679
-11,-55,0.497456,0.526263,0.352291,0.57178,0.526065
-10,-50,0.5033,0.530618,0.355862,0.575642,0.530687
-9,-45,0.51605,0.542579,0.367862,0.585517,0.540763
-8,-40,0.519094,0.543451,0.368021,0.584282,0.54105
-7,-35,0.527728,0.550669,0.375636,0.590226,0.548376
-6,-30,0.545692,0.568018,0.39252,0.604366,0.562991
-5,-25,0.552154,0.572159,0.3932,0.6053,0.565355
-4,-20,0.566461,0.584434,0.404362,0.6147,0.575649
-3,-15,0.589449,0.606869,0.425735,0.633206,0.59507
-2,-10,0.612166,0.626668,0.440052,0.644643,0.610082
-1,-5,0.670387,0.680421,0.491174,0.683627,0.652161
0,0,0.828522,0.82784,0.624166,0.799245,0.776083
1,5,0.660109,0.666418,0.470919,0.672262,0.63994
2,10,0.619466,0.626092,0.440373,0.646174,0.612689
3,15,0.600703,0.609287,0.429517,0.636208,0.602014
4,20,0.580014,0.589035,0.410356,0.619318,0.584357
5,25,0.566721,0.576205,0.399782,0.610857,0.574622
6,30,0.56185,0.573494,0.39965,0.609749,0.572903
7,35,0.546503,0.558016,0.383237,0.596037,0.558514
8,40,0.536816,0.54971,0.376469,0.59002,0.552276
9,45,0.534921,0.548578,0.377427,0.592016,0.552806
10,50,0.523601,0.537769,0.365485,0.581826,0.542703
11,55,0.517508,0.533552,0.36299,0.579707,0.539312
12,60,0.519966,0.537201,0.368409,0.58436,0.543018
13,65,0.507317,0.524884,0.355037,0.572934,0.531744
14,70,0.500064,0.518495,0.350522,0.568082,0.527541
15,75,0.499637,0.520119,0.352096,0.570243,0.527499
16,80,0.490123,0.509536,0.341361,0.560655,0.519224
17,85,0.484221,0.504805,0.338074,0.55704,0.516203
18,90,0.484365,0.50768,0.341934,0.561127,0.518617
19,95,0.475459,0.497985,0.331486,0.552536,0.50979
20,100,0.470406,0.49354,0.327626,0.548347,0.506564
21,105,0.471059,0.49617,0.331012,0.552192,0.509022
22,110,0.463114,0.487886,0.322584,0.54482,0.501617
23,115,0.461156,0.4861,0.321647,0.54398,0.500684
24,120,0.464817,0.491314,0.328409,0.550625,0.506082
