symbol,dow,day_name,first_3h_range
BTCUSDT,0,Mon,22.15
BTCUSDT,1,Tue,19.78
BTCUSDT,2,Wed,18.16
BTCUSDT,3,Thu,18.93
BTCUSDT,4,Fri,19.77
BTCUSDT,5,Sat,13.12
BTCUSDT,6,Sun,11.8
ETHUSDT,0,Mon,31.07
ETHUSDT,1,Tue,26.54
ETHUSDT,2,Wed,25.18
ETHUSDT,3,Thu,25.77
ETHUSDT,4,Fri,27.22
ETHUSDT,5,Sat,19.52
ETHUSDT,6,Sun,18.21
SOLUSDT,0,Mon,47.38
SOLUSDT,1,Tue,42.32
SOLUSDT,2,Wed,39.87
SOLUSDT,3,Thu,40.68
SOLUSDT,4,Fri,43.52
SOLUSDT,5,Sat,35.18
SOLUSDT,6,Sun,33.34
DOGEUSDT,0,Mon,44.73
DOGEUSDT,1,Tue,41.6
DOGEUSDT,2,Wed,37.61
DOGEUSDT,3,Thu,37.41
DOGEUSDT,4,Fri,38.97
DOGEUSDT,5,Sat,33.99
DOGEUSDT,6,Sun,32.17
XRPUSDT,0,Mon,38.51
XRPUSDT,1,Tue,33.35
XRPUSDT,2,Wed,30.64
XRPUSDT,3,Thu,31.08
XRPUSDT,4,Fri,34.47
XRPUSDT,5,Sat,27.14
XRPUSDT,6,Sun,24.91
