symbol,transition,relative_hour,actual_hour,avg_range_bps
BTCUSDT,Fri→Sat,-3,21,19.54
BTCUSDT,Fri→Sat,-2,22,16.9
BTCUSDT,Fri→Sat,-1,23,13.65
BTCUSDT,Fri→Sat,0,0,14.57
BTCUSDT,Fri→Sat,1,1,13.32
BTCUSDT,Fri→Sat,2,2,11.46
BTCUSDT,Sat→Sun,-3,21,11.49
BTCUSDT,Sat→Sun,-2,22,11.01
BTCUSDT,Sat→Sun,-1,23,11.34
BTCUSDT,Sat→Sun,0,0,12.25
BTCUSDT,Sat→Sun,1,1,12.07
BTCUSDT,Sat→Sun,2,2,11.1
BTCUSDT,Sun→Mon,-3,21,15.78
BTCUSDT,Sun→Mon,-2,22,21.22
BTCUSDT,Sun→Mon,-1,23,20.31
BTCUSDT,Sun→Mon,0,0,23.73
BTCUSDT,Sun→Mon,1,1,23.09
BTCUSDT,Sun→Mon,2,2,19.62
BTCUSDT,Mon→Tue,-3,21,19.74
BTCUSDT,Mon→Tue,-2,22,19.14
BTCUSDT,Mon→Tue,-1,23,16.73
BTCUSDT,Mon→Tue,0,0,20.37
BTCUSDT,Mon→Tue,1,1,20.44
BTCUSDT,Mon→Tue,2,2,18.54
BTCUSDT,Tue→Wed,-3,21,21.07
BTCUSDT,Tue→Wed,-2,22,19.04
BTCUSDT,Tue→Wed,-1,23,16.16
BTCUSDT,Tue→Wed,0,0,18.68
BTCUSDT,Tue→Wed,1,1,19.28
BTCUSDT,Tue→Wed,2,2,16.52
BTCUSDT,Wed→Thu,-3,21,21.79
BTCUSDT,Wed→Thu,-2,22,18.89
BTCUSDT,Wed→Thu,-1,23,16.73
BTCUSDT,Wed→Thu,0,0,19.61
BTCUSDT,Wed→Thu,1,1,19.2
BTCUSDT,Wed→Thu,2,2,17.97
BTCUSDT,Thu→Fri,-3,21,22.47
BTCUSDT,Thu→Fri,-2,22,18.82
BTCUSDT,Thu→Fri,-1,23,15.86
BTCUSDT,Thu→Fri,0,0,19.75
BTCUSDT,Thu→Fri,1,1,20.64
BTCUSDT,Thu→Fri,2,2,18.93
ETHUSDT,Fri→Sat,-3,21,26.46
ETHUSDT,Fri→Sat,-2,22,22.78
ETHUSDT,Fri→Sat,-1,23,18.91
