symbol,day_of_month,avg_range_bps,n_bars
BTCUSDT,1,16.42,10944
BTCUSDT,2,17.92,10944
BTCUSDT,3,17.96,10944
BTCUSDT,4,17.94,10944
BTCUSDT,5,21.55,10944
BTCUSDT,6,18.85,10944
BTCUSDT,7,17.98,10944
BTCUSDT,8,16.71,10944
BTCUSDT,9,17.92,10944
BTCUSDT,10,19.04,10944
BTCUSDT,11,18.96,10944
BTCUSDT,12,19.27,10944
BTCUSDT,13,19.21,10944
BTCUSDT,14,19.77,10944
BTCUSDT,15,18.35,10944
BTCUSDT,16,18.16,10944
BTCUSDT,17,18.46,10656
BTCUSDT,18,18.13,10656
BTCUSDT,19,18.33,10656
BTCUSDT,20,19.18,10656
BTCUSDT,21,19.01,10656
BTCUSDT,22,17.61,10656
BTCUSDT,23,17.6,10656
BTCUSDT,24,17.37,10656
BTCUSDT,25,16.45,10656
BTCUSDT,26,16.08,10656
BTCUSDT,27,16.24,10656
BTCUSDT,28,16.21,10656
BTCUSDT,29,15.84,10080
BTCUSDT,30,15.75,9792
BTCUSDT,31,15.7,6336
ETHUSDT,1,21.8,10944
ETHUSDT,2,23.56,10944
ETHUSDT,3,24.53,10944
ETHUSDT,4,24.41,10944
ETHUSDT,5,27.82,10944
ETHUSDT,6,24.53,10944
ETHUSDT,7,24.29,10944
ETHUSDT,8,22.77,10944
ETHUSDT,9,25.39,10944
ETHUSDT,10,26.86,10944
ETHUSDT,11,26.16,10944
ETHUSDT,12,26.22,10944
ETHUSDT,13,26.33,10944
ETHUSDT,14,26.16,10944
ETHUSDT,15,24.31,10944
ETHUSDT,16,24.16,10944
ETHUSDT,17,24.36,10656
ETHUSDT,18,24.4,10656
ETHUSDT,19,24.77,10656
ETHUSDT,20,25.1,10656
ETHUSDT,21,25.62,10656
ETHUSDT,22,24.94,10656
ETHUSDT,23,24.83,10656
ETHUSDT,24,23.32,10656
ETHUSDT,25,23.33,10656
ETHUSDT,26,21.71,10656
ETHUSDT,27,21.68,10656
ETHUSDT,28,22.02,10656
ETHUSDT,29,21.01,10080
ETHUSDT,30,21.7,9792
ETHUSDT,31,21.1,6336
SOLUSDT,1,35.25,10944
SOLUSDT,2,38.43,10944
SOLUSDT,3,39.33,10944
SOLUSDT,4,37.49,10944
SOLUSDT,5,40.63,10944
SOLUSDT,6,37.43,10944
SOLUSDT,7,36.67,10944
SOLUSDT,8,35.29,10944
SOLUSDT,9,38.45,10944
SOLUSDT,10,42.27,10944
SOLUSDT,11,40.49,10944
SOLUSDT,12,40.09,10944
SOLUSDT,13,41.19,10944
SOLUSDT,14,44.0,10944
SOLUSDT,15,39.56,10944
SOLUSDT,16,38.74,10944
SOLUSDT,17,39.37,10656
SOLUSDT,18,39.83,10656
SOLUSDT,19,39.98,10656
SOLUSDT,20,40.41,10656
SOLUSDT,21,40.5,10656
SOLUSDT,22,37.75,10656
SOLUSDT,23,35.99,10656
SOLUSDT,24,37.24,10656
SOLUSDT,25,36.87,10656
SOLUSDT,26,33.69,10656
SOLUSDT,27,33.02,10656
SOLUSDT,28,33.55,10656
SOLUSDT,29,33.46,10080
SOLUSDT,30,33.85,9792
SOLUSDT,31,31.93,6336
DOGEUSDT,1,33.25,10944
DOGEUSDT,2,35.76,10944
DOGEUSDT,3,37.93,10944
DOGEUSDT,4,38.5,10944
DOGEUSDT,5,42.1,10944
DOGEUSDT,6,38.02,10944
DOGEUSDT,7,35.18,10944
DOGEUSDT,8,32.95,10944
DOGEUSDT,9,36.25,10944
DOGEUSDT,10,40.16,10944
DOGEUSDT,11,39.03,10944
DOGEUSDT,12,39.02,10944
DOGEUSDT,13,38.65,10944
DOGEUSDT,14,39.1,10944
DOGEUSDT,15,36.26,10944
DOGEUSDT,16,35.2,10944
DOGEUSDT,17,35.9,10656
DOGEUSDT,18,36.62,10656
DOGEUSDT,19,35.69,10656
DOGEUSDT,20,37.02,10656
DOGEUSDT,21,38.49,10656
DOGEUSDT,22,35.41,10656
DOGEUSDT,23,34.05,10656
DOGEUSDT,24,34.56,10656
DOGEUSDT,25,33.25,10656
DOGEUSDT,26,30.82,10656
DOGEUSDT,27,30.88,10656
DOGEUSDT,28,32.43,10656
DOGEUSDT,29,32.09,10080
DOGEUSDT,30,30.06,9792
DOGEUSDT,31,31.49,6336
XRPUSDT,1,27.4,10944
XRPUSDT,2,32.97,10944
XRPUSDT,3,34.78,10944
XRPUSDT,4,31.07,10944
XRPUSDT,5,33.31,10944
XRPUSDT,6,29.82,10944
XRPUSDT,7,31.76,10944
XRPUSDT,8,28.74,10944
XRPUSDT,9,30.42,10944
XRPUSDT,10,32.8,10944
XRPUSDT,11,31.69,10944
XRPUSDT,12,32.03,10944
XRPUSDT,13,35.39,10944
XRPUSDT,14,34.68,10944
XRPUSDT,15,31.84,10944
XRPUSDT,16,33.12,10944
XRPUSDT,17,32.74,10656
XRPUSDT,18,31.99,10656
XRPUSDT,19,32.32,10656
XRPUSDT,20,31.23,10656
XRPUSDT,21,31.48,10656
XRPUSDT,22,30.18,10656
XRPUSDT,23,29.01,10656
XRPUSDT,24,28.81,10656
XRPUSDT,25,28.37,10656
XRPUSDT,26,25.29,10656
XRPUSDT,27,25.53,10656
XRPUSDT,28,26.17,10656
XRPUSDT,29,26.1,10080
XRPUSDT,30,27.46,9792
XRPUSDT,31,26.66,6336
