symbol,week,avg_range_bps,n_bars
BTCUSDT,1,18.38,76608
BTCUSDT,2,18.7,76608
BTCUSDT,3,18.52,75168
BTCUSDT,4,16.79,74592
BTCUSDT,5,15.77,26208
ETHUSDT,1,24.42,76608
ETHUSDT,2,25.7,76608
ETHUSDT,3,24.67,75168
ETHUSDT,4,23.12,74592
ETHUSDT,5,21.29,26208
SOLUSDT,1,37.89,76608
SOLUSDT,2,40.25,76608
SOLUSDT,3,39.77,75168
SOLUSDT,4,35.45,74592
SOLUSDT,5,33.23,26208
DOGEUSDT,1,37.25,76608
DOGEUSDT,2,37.88,76608
DOGEUSDT,3,36.45,75168
DOGEUSDT,4,33.06,74592
DOGEUSDT,5,31.19,26208
XRPUSDT,1,31.59,76608
XRPUSDT,2,32.25,76608
XRPUSDT,3,32.11,75168
XRPUSDT,4,27.62,74592
XRPUSDT,5,26.74,26208
