symbol,hour,avg_abs_dev_bps,std_dev_bps,reversion_corr
BTCUSDT,0,12.78,20.8,-0.0392
BTCUSDT,1,20.01,31.58,-0.0468
BTCUSDT,2,24.41,36.93,-0.034
BTCUSDT,3,27.26,39.57,-0.0331
BTCUSDT,4,28.49,42.37,-0.0319
BTCUSDT,5,30.25,46.08,-0.0342
BTCUSDT,6,32.84,50.71,-0.0251
BTCUSDT,7,35.44,51.93,-0.0289
BTCUSDT,8,38.1,55.7,-0.0272
BTCUSDT,9,39.71,57.8,-0.0266
BTCUSDT,10,41.97,61.03,-0.0352
BTCUSDT,11,42.34,61.92,-0.0245
BTCUSDT,12,44.21,64.8,-0.0429
BTCUSDT,13,47.4,67.87,-0.0353
BTCUSDT,14,55.68,78.19,-0.002
BTCUSDT,15,66.03,92.64,0.0043
BTCUSDT,16,71.79,100.59,-0.0227
BTCUSDT,17,75.08,106.56,-0.0082
BTCUSDT,18,77.76,110.52,-0.0083
BTCUSDT,19,82.07,117.14,0.0076
BTCUSDT,20,83.62,121.32,-0.0438
BTCUSDT,21,81.61,119.38,-0.0443
BTCUSDT,22,82.99,121.7,-0.026
BTCUSDT,23,84.95,122.29,
ETHUSDT,0,17.16,27.16,-0.0334
ETHUSDT,1,27.38,43.38,-0.0468
ETHUSDT,2,33.78,51.94,-0.0293
ETHUSDT,3,37.45,53.9,-0.0329
ETHUSDT,4,39.17,56.25,-0.0438
ETHUSDT,5,42.37,62.11,-0.031
ETHUSDT,6,46.27,69.06,-0.0214
ETHUSDT,7,49.5,72.38,-0.0291
ETHUSDT,8,54.06,78.63,-0.0297
ETHUSDT,9,56.49,79.81,-0.0234
ETHUSDT,10,59.15,83.21,-0.0378
ETHUSDT,11,59.55,84.91,-0.0293
ETHUSDT,12,60.98,86.88,-0.0489
ETHUSDT,13,64.02,89.97,-0.0437
ETHUSDT,14,75.2,103.68,-0.011
ETHUSDT,15,87.51,120.63,0.0014
ETHUSDT,16,95.23,132.08,-0.0202
ETHUSDT,17,100.54,141.86,-0.0111
ETHUSDT,18,104.98,149.68,-0.0181
ETHUSDT,19,107.62,154.15,-0.0105
ETHUSDT,20,111.12,162.38,-0.0447
ETHUSDT,21,111.3,163.7,-0.0381
ETHUSDT,22,114.04,167.61,-0.0318
ETHUSDT,23,114.85,168.12,
SOLUSDT,0,28.65,43.11,-0.0323
SOLUSDT,1,44.92,66.23,-0.0365
SOLUSDT,2,56.86,82.08,-0.0203
SOLUSDT,3,62.6,85.93,-0.0413
SOLUSDT,4,65.66,93.86,-0.0341
SOLUSDT,5,71.2,102.19,-0.0367
SOLUSDT,6,76.13,112.57,-0.0202
SOLUSDT,7,82.19,117.43,-0.0275
SOLUSDT,8,87.96,122.28,-0.017
SOLUSDT,9,90.23,123.47,-0.0358
SOLUSDT,10,94.32,128.03,-0.0297
SOLUSDT,11,96.33,132.49,-0.0201
SOLUSDT,12,97.78,134.2,-0.0466
SOLUSDT,13,101.68,138.22,-0.0345
SOLUSDT,14,114.47,154.16,-0.0057
SOLUSDT,15,130.8,175.37,-0.0016
SOLUSDT,16,142.94,191.79,-0.0209
SOLUSDT,17,147.31,199.39,-0.0134
SOLUSDT,18,150.65,206.24,-0.0163
SOLUSDT,19,157.29,213.61,0.0036
SOLUSDT,20,162.19,220.84,-0.0348
SOLUSDT,21,164.24,223.47,-0.013
SOLUSDT,22,172.76,235.97,-0.0126
SOLUSDT,23,176.46,240.51,
DOGEUSDT,0,28.16,45.1,-0.0168
DOGEUSDT,1,44.18,66.33,-0.0266
DOGEUSDT,2,53.88,79.74,-0.0305
DOGEUSDT,3,58.32,87.23,-0.0427
DOGEUSDT,4,61.42,98.72,-0.0383
DOGEUSDT,5,66.97,105.39,-0.0289
DOGEUSDT,6,73.3,115.72,-0.0247
DOGEUSDT,7,78.52,118.45,-0.0209
DOGEUSDT,8,84.51,126.68,-0.0229
DOGEUSDT,9,86.55,126.56,-0.0319
DOGEUSDT,10,89.12,128.31,-0.0278
DOGEUSDT,11,89.26,132.27,-0.0451
DOGEUSDT,12,90.52,130.6,-0.0414
DOGEUSDT,13,96.18,135.79,-0.0382
DOGEUSDT,14,107.37,148.65,-0.0117
DOGEUSDT,15,124.12,169.84,0.0008
DOGEUSDT,16,137.38,194.5,-0.0245
DOGEUSDT,17,142.69,205.51,-0.0151
DOGEUSDT,18,144.55,208.74,-0.0266
DOGEUSDT,19,149.25,216.71,-0.0094
DOGEUSDT,20,154.54,225.97,-0.0316
DOGEUSDT,21,156.22,232.93,-0.0242
DOGEUSDT,22,162.8,234.7,-0.013
DOGEUSDT,23,163.9,232.52,
XRPUSDT,0,22.51,37.33,-0.0264
XRPUSDT,1,35.13,57.6,-0.0381
XRPUSDT,2,42.16,66.02,-0.0465
XRPUSDT,3,46.1,69.12,-0.0437
XRPUSDT,4,49.3,75.07,-0.0327
XRPUSDT,5,54.4,84.28,-0.0242
XRPUSDT,6,59.54,92.36,-0.0319
XRPUSDT,7,63.51,98.02,-0.0246
XRPUSDT,8,69.42,105.98,-0.0297
XRPUSDT,9,71.17,108.07,-0.0295
XRPUSDT,10,76.55,114.58,-0.0258
XRPUSDT,11,76.96,116.8,-0.0434
XRPUSDT,12,76.51,115.97,-0.0526
XRPUSDT,13,79.73,120.9,-0.0456
XRPUSDT,14,87.59,133.44,-0.0246
XRPUSDT,15,100.97,153.89,-0.0224
XRPUSDT,16,109.93,166.28,-0.0239
XRPUSDT,17,115.04,175.94,-0.0363
XRPUSDT,18,117.65,186.38,-0.0253
