symbol,moon_pct,avg_range_bps,n_bars
BTCUSDT,0,23.07,2195
BTCUSDT,1,25.13,2232
BTCUSDT,2,24.55,2290
BTCUSDT,3,22.44,2288
BTCUSDT,4,22.46,2376
BTCUSDT,5,22.31,2304
BTCUSDT,6,21.29,2294
BTCUSDT,7,20.65,2375
BTCUSDT,8,21.3,2364
BTCUSDT,9,19.84,2369
BTCUSDT,10,21.34,2324
BTCUSDT,11,18.57,2279
BTCUSDT,12,19.57,2372
BTCUSDT,13,21.63,2369
BTCUSDT,14,20.82,2364
BTCUSDT,15,21.6,2339
BTCUSDT,16,23.7,2284
BTCUSDT,17,21.15,2350
BTCUSDT,18,19.85,2337
BTCUSDT,19,19.98,2285
BTCUSDT,20,18.4,2263
BTCUSDT,21,21.2,2199
BTCUSDT,22,18.82,2255
BTCUSDT,23,17.86,2262
BTCUSDT,24,19.89,2199
BTCUSDT,25,19.81,2257
BTCUSDT,26,19.31,2279
BTCUSDT,27,20.99,2324
BTCUSDT,28,18.64,2366
BTCUSDT,29,21.41,2281
BTCUSDT,30,22.23,2328
BTCUSDT,31,22.45,2366
BTCUSDT,32,23.28,2393
BTCUSDT,33,19.36,2461
BTCUSDT,34,19.99,2371
BTCUSDT,35,21.07,2396
BTCUSDT,36,20.88,2462
BTCUSDT,37,23.15,2442
BTCUSDT,38,20.54,2461
BTCUSDT,39,21.35,2398
BTCUSDT,40,18.89,2370
BTCUSDT,41,20.79,2459
BTCUSDT,42,18.93,2397
BTCUSDT,43,17.1,2364
BTCUSDT,44,18.65,2330
BTCUSDT,45,18.87,2283
BTCUSDT,46,17.51,2362
BTCUSDT,47,17.91,2327
BTCUSDT,48,16.94,2280
BTCUSDT,49,17.29,2335
BTCUSDT,50,16.87,2285
BTCUSDT,51,20.86,2345
BTCUSDT,52,18.6,2342
BTCUSDT,53,17.47,2285
BTCUSDT,54,17.47,2345
BTCUSDT,55,16.69,2370
BTCUSDT,56,18.67,2419
BTCUSDT,57,18.62,2438
BTCUSDT,58,19.93,2369
BTCUSDT,59,19.1,2421
BTCUSDT,60,20.84,2449
BTCUSDT,61,21.67,2455
BTCUSDT,62,23.67,2458
